Geneid,featureCounts on data 282: Counts_HISAT2 on data 20 and data 19: aligned reads (BAM),featureCounts on data 288: Counts_HISAT2 on data 26 and data 25: aligned reads (BAM),featureCounts on data 296: Counts_HISAT2 on data 34 and data 33: aligned reads (BAM),featureCounts on data 300: Counts_HISAT2 on data 38 and data 37: aligned reads (BAM),featureCounts on data 304: Counts_HISAT2 on data 42 and data 41: aligned reads (BAM),featureCounts on data 310: Counts_HISAT2 on data 48 and data 47: aligned reads (BAM),featureCounts on data 312: Counts_HISAT2 on data 50 and data 49: aligned reads (BAM),featureCounts on data 322: Counts_HISAT2 on data 60 and data 59: aligned reads (BAM)
100033801,43,25,11,35,22,33,19,51
100033802,25,14,16,23,20,10,20,40
100033803,8,3,7,10,6,10,6,10
100033804,13,14,6,21,15,8,3,10
100033805,4,5,17,7,15,9,9,12
100033806,169,165,124,167,210,86,77,254
100033807,53,37,53,74,60,38,25,68
100033808,2,9,3,13,19,6,6,6
100033809,50,56,45,68,65,45,50,60
100033810,3,6,5,2,12,1,6,2
100033811,21,8,11,14,22,6,17,9
100033812,10,13,8,23,11,4,7,13
100033813,18,14,17,9,7,12,6,10
100033814,37,21,38,36,27,18,19,13
100033815,38,18,12,32,53,17,23,29
100033816,13,14,24,31,22,13,7,15
100033817,23,11,21,12,19,10,17,17
100033818,25,12,13,16,41,12,10,23
100033819,0,0,0,0,0,0,0,0
100033820,33,36,21,41,29,13,22,19
100033821,48,44,51,303,87,29,38,41
100033822,3,6,4,12,2,8,1,6
100034743,76,35,27,80,91,50,58,90
100036563,6,2,2,4,7,4,4,5
100036564,43,6,20,15,26,13,23,37
100036565,16,7,15,6,10,3,9,8
100036566,103,82,84,91,63,74,55,121
100036567,1,6,8,11,0,6,7,5
100037417,0,0,1,0,0,0,0,0
100038246,0,0,0,0,0,0,0,0
10004,2,4,16,4,22,3,6,4
100048912,23,47,36,66,179,43,32,30
100049076,80,21,121,91,183,88,28,10
100049587,1,29,7,49,39,14,14,3
100049613,0,0,0,4,3,0,0,0
100049614,0,1,0,0,0,0,0,0
100049716,127,202,180,278,274,234,159,136
10005,232,396,594,594,635,308,267,333
10006,2284,4122,5064,7276,7182,3903,3363,3856
10007,494,869,1007,1340,1285,745,488,720
100073347,60,107,92,106,157,38,28,64
10008,39,158,120,246,208,99,129,123
10009,1107,2194,2562,4164,3719,1657,1606,2301
100093630,159,481,548,515,752,326,204,316
100093631,659,871,2301,1070,1374,858,554,454
100093698,3,0,7,1,27,5,6,13
1001,141,95,163,150,337,107,78,93
10010,803,1388,1687,2640,1975,1096,1080,1182
100101115,0,0,0,0,0,0,0,0
100101116,0,0,0,0,0,0,0,0
100101117,0,0,0,0,0,0,0,0
100101118,0,0,0,0,0,0,0,0
100101120,0,0,0,0,0,0,0,0
100101121,0,0,0,0,0,0,0,0
100101148,5,2,4,5,2,5,4,1
100101266,96,70,152,109,189,104,67,107
100101267,1052,833,1138,830,1555,601,508,810
100101440,11,12,4,12,79,1,13,41
100101467,941,1162,1198,1970,1969,1366,982,844
100101478,14,6,10,3,21,3,4,5
100101490,107,125,114,104,153,107,82,99
100101938,420,1080,530,1113,865,659,263,393
10011,276,494,606,721,943,383,316,430
100113378,0,0,8,11,10,6,6,0
100113379,1,2,1,2,5,3,1,0
100113380,0,0,0,0,0,0,0,0
100113381,2,2,9,7,8,6,3,5
100113382,5,9,11,97,40,10,5,17
100113384,0,0,0,0,2,0,0,2
100113386,36,26,50,34,96,28,22,26
100113389,1,3,0,14,4,3,1,1
100113391,0,0,3,0,0,0,1,0
100113392,9,12,8,21,9,11,9,10
100113393,6,7,18,24,11,7,2,6
100113402,1,1,0,2,3,3,4,4
100113403,9,18,10,21,5,16,15,18
100113404,0,0,0,0,0,0,0,0
100113407,4501,8307,11953,15277,15638,5885,5754,7057
100124412,0,0,1,0,0,0,0,0
100124516,8,4,6,16,18,2,13,6
100124533,6,6,3,8,5,17,4,4
100124534,0,0,1,0,0,1,0,0
100124535,4,0,4,3,0,0,4,2
100124536,9,22,16,36,28,8,6,16
100124537,4,2,1,1,5,2,3,5
100124538,1,2,5,3,4,2,1,3
100124539,5,2,8,2,7,4,3,4
100124540,0,1,0,2,6,0,0,1
100124541,0,0,3,2,4,0,0,0
100124700,0,0,0,0,0,0,0,0
100125288,32,37,56,70,103,30,25,42
100125556,10,18,44,27,33,21,7,32
100126270,37,29,31,58,43,25,20,29
100126296,1,0,0,0,0,0,0,0
100126297,1,1,0,3,3,4,1,3
100126299,0,0,0,5,0,5,0,2
100126301,0,0,0,0,0,0,0,0
100126302,0,0,0,0,0,0,0,0
100126303,0,0,0,0,0,0,1,0
100126304,0,0,0,0,0,0,0,0
100126306,0,0,0,0,0,0,0,0
100126307,0,0,0,0,0,2,0,0
100126308,1,0,0,2,3,2,0,4
100126309,0,0,1,0,0,0,0,0
100126310,4,10,13,8,2,1,2,4
100126311,0,0,0,0,0,0,0,0
100126313,2,2,2,13,4,5,2,2
100126314,0,0,0,0,0,0,0,0
100126315,1,0,0,0,0,0,1,0
100126316,1,1,4,2,0,0,0,1
100126317,0,0,1,1,0,0,0,1
100126318,0,0,0,0,0,0,0,0
100126319,0,0,0,0,0,0,0,0
100126320,12,11,3,9,12,3,13,4
100126321,0,0,0,0,0,0,0,0
100126323,0,0,0,0,0,0,0,0
100126324,0,0,0,0,0,0,0,0
100126325,0,0,0,0,0,0,0,0
100126326,0,0,0,0,0,0,0,0
100126327,0,0,0,0,0,0,2,0
100126328,2,0,2,2,0,1,2,0
100126329,0,0,0,0,0,0,0,0
100126330,0,0,0,0,0,0,0,0
100126331,0,0,1,0,0,2,0,5
100126332,0,0,0,0,0,0,0,0
100126333,0,0,2,0,0,2,1,2
100126334,0,0,0,0,0,0,0,1
100126335,0,0,0,1,7,0,0,1
100126336,0,0,0,0,0,0,0,0
100126337,0,0,0,0,0,0,0,0
100126338,0,0,0,0,0,0,0,0
100126339,0,0,0,0,0,0,0,0
100126340,0,0,0,0,0,0,0,0
100126341,0,0,0,0,0,0,0,0
100126342,0,0,0,1,0,0,0,0
100126343,12,3,2,5,8,4,2,4
100126345,1,1,4,4,1,1,0,2
100126346,0,0,0,0,0,0,0,0
100126347,2,1,0,1,1,1,0,0
100126348,3,9,5,5,4,4,1,6
100126349,21,2,5,6,6,8,1,10
100126350,0,5,0,2,1,3,0,0
100126351,0,0,0,0,0,0,0,0
100126352,0,0,0,0,0,0,0,0
100126354,0,0,0,0,0,0,0,0
100126355,0,1,0,1,4,0,1,0
100126356,0,0,0,0,0,1,2,2
100126447,3,2,0,0,0,0,0,1
100126476,0,0,0,0,0,0,0,0
100126481,0,0,0,0,0,0,0,0
100126484,0,0,0,0,0,0,0,0
100126488,3,13,2,9,9,11,5,0
100126510,0,0,0,0,0,0,0,0
100126512,3,10,7,31,8,13,17,10
100126514,0,0,0,0,0,0,0,0
100126517,0,0,0,2,4,0,0,0
100126520,11,2,2,4,5,2,0,2
100126533,0,2,0,2,0,0,1,2
100126693,0,0,0,0,0,2,0,0
100126780,0,0,0,0,0,0,0,0
100126781,0,0,0,0,0,0,0,0
100126784,322,366,597,449,724,206,231,297
100126791,68,34,29,44,79,22,24,67
100126793,108,138,164,141,259,80,69,84
100126798,0,0,0,0,0,0,0,0
100126799,0,0,0,0,0,0,0,0
100126800,0,0,0,0,0,0,0,0
100127206,2,7,7,2,0,2,5,2
100127888,8,6,17,1,15,7,1,2
100127889,99,67,122,129,245,111,87,84
100127967,0,1,0,0,0,0,0,0
100127983,25,58,44,69,76,72,41,45
100128006,7,2,8,9,2,5,8,3
100128023,0,0,1,8,10,0,2,6
100128025,8,2,5,3,3,3,0,2
100128054,47,32,56,41,60,50,31,33
100128055,4,0,17,23,14,14,10,4
100128071,9,3,15,16,35,11,13,3
100128076,2,2,2,1,3,1,2,5
100128081,102,79,89,75,102,14,54,120
100128098,5,1,9,4,7,3,0,2
100128108,21,17,22,20,51,30,25,9
100128124,4,4,0,7,0,2,3,1
100128126,25,21,36,37,51,31,12,23
100128127,30,22,56,19,86,27,13,33
100128139,0,0,0,1,4,0,0,0
100128164,28,49,23,73,43,91,38,33
100128176,65,51,33,54,58,32,32,56
100128191,20,29,17,32,47,16,18,19
100128233,7,14,3,8,7,3,4,8
100128239,66,61,202,146,135,76,29,66
100128252,413,802,1264,1419,1660,637,444,728
100128264,180,697,768,919,555,290,295,408
100128285,19,17,22,19,32,4,17,12
100128288,259,257,303,421,462,253,193,170
100128292,0,0,2,0,0,0,0,0
100128317,3,0,4,0,1,2,2,2
100128327,1,8,4,12,7,12,2,1
100128338,0,0,0,1,0,0,0,0
100128361,107,56,53,91,123,88,59,96
100128378,2,2,4,2,5,2,0,0
100128385,27,15,26,37,41,32,25,11
100128398,260,266,315,502,417,325,278,262
100128420,1,0,1,0,10,6,1,7
100128494,137,124,181,195,267,177,114,97
100128496,1,0,2,0,6,0,1,4
100128505,152,93,78,112,101,81,59,96
100128511,2,10,16,17,31,9,4,7
100128531,110,86,104,72,147,76,39,93
100128553,3,6,4,6,6,0,2,4
100128554,16,9,114,54,122,19,26,15
100128560,7,6,4,6,11,24,8,6
100128568,4,6,8,12,18,4,3,8
100128569,29,35,50,37,68,27,20,30
100128573,11,4,12,6,5,4,2,3
100128590,534,687,453,830,427,394,421,832
100128593,0,0,4,0,3,0,0,0
100128627,47,27,43,27,47,22,24,60
100128640,54,21,54,48,91,40,31,36
100128653,11,19,25,22,49,18,13,17
100128675,123,36,52,218,166,189,131,84
100128682,6,2,1,2,2,4,1,3
100128714,10,6,50,4,42,4,11,4
100128731,146,247,418,351,713,226,216,181
100128750,6,6,2,6,2,3,1,7
100128770,4,2,9,2,2,9,1,3
100128782,585,474,632,972,1118,625,501,485
100128787,2,0,1,0,0,0,0,5
100128788,14,13,8,34,21,22,10,8
100128811,4,16,11,11,20,17,16,10
100128822,62,112,53,205,228,98,84,77
100128881,20,8,27,13,31,9,28,10
100128885,53,39,69,62,63,31,31,39
100128890,102,105,166,164,322,80,127,43
100128893,0,0,0,4,0,0,0,0
100128905,0,0,2,0,0,2,0,0
100128927,3,8,28,29,27,3,4,10
100128946,61,34,29,62,89,69,32,52
100128977,0,1,0,0,4,0,3,0
100128993,1,0,4,0,5,2,2,2
100128998,0,0,0,0,0,0,1,1
100129027,10,8,22,14,24,3,4,5
100129034,1360,1604,2156,2091,3128,1172,1064,1205
100129046,33,49,57,64,98,40,34,45
100129055,39,35,42,73,96,80,33,51
100129066,0,1,1,0,0,2,0,0
100129075,25,24,27,44,40,38,28,32
100129083,0,0,0,0,1,0,0,0
100129094,1,2,0,4,3,0,0,0
100129098,0,2,2,0,1,1,3,1
100129128,2,4,6,2,16,4,3,3
100129138,3,9,18,21,12,4,9,7
100129148,8,17,28,54,44,30,22,19
100129175,0,0,0,0,6,0,0,0
100129195,91,105,128,233,272,153,87,102
100129196,27,9,4,36,21,52,21,11
100129203,35,94,104,147,169,61,61,52
100129213,17,15,33,39,32,31,20,13
100129215,53,31,55,32,120,28,28,23
100129216,26,20,18,36,30,20,27,17
100129223,382,284,325,364,349,195,200,342
100129239,0,0,0,0,0,0,0,0
100129250,46,88,138,144,220,63,76,78
100129269,6,8,2,10,5,7,10,7
100129271,0,0,0,0,0,0,0,0
100129278,10,7,5,1,11,7,2,12
100129307,2,1,0,0,2,0,0,0
100129316,21,13,15,19,32,14,8,14
100129345,0,3,0,3,0,0,0,2
100129354,1,7,2,0,1,0,4,4
100129361,0,0,2,0,4,3,0,2
100129385,7,3,2,3,6,1,3,3
100129387,1307,744,965,1212,1587,1724,775,1112
100129396,52,46,13,31,46,66,18,46
100129405,58,34,87,61,117,55,35,31
100129407,0,1,1,1,8,0,3,0
100129424,45,38,36,53,100,33,33,26
100129427,0,0,0,0,0,0,0,0
100129434,51,65,122,81,150,99,58,53
100129460,364,576,786,1331,1671,608,442,415
100129461,79,83,69,107,104,98,71,75
100129464,35,29,11,28,66,28,23,29
100129480,150,88,135,156,236,145,96,143
100129482,4486,5890,6665,8275,9760,4474,3577,4810
100129503,11,11,22,13,26,9,7,6
100129515,1,4,2,2,5,0,0,2
100129518,22,39,38,74,87,48,22,26
100129520,0,2,14,4,4,0,0,4
100129528,0,0,0,1,0,0,0,2
100129534,49,63,67,62,140,23,25,80
100129543,52,100,159,212,173,129,36,53
100129550,515,488,468,887,709,476,403,567
100129583,65,165,207,261,319,130,110,170
100129597,0,0,0,1,4,0,0,0
100129603,0,1,2,1,1,0,0,2
100129617,104,46,73,34,98,52,43,50
100129620,33,37,15,54,59,19,24,57
100129636,0,0,0,0,0,0,0,0
100129654,15,8,6,6,18,11,0,8
100129662,22,12,20,16,23,17,25,29
100129669,0,0,2,0,4,1,0,1
100129697,7,4,10,3,10,4,1,2
100129716,17,23,18,38,27,33,17,29
100129722,0,0,1,0,0,0,0,1
100129726,8,9,6,7,18,5,15,3
100129792,317,479,501,917,733,513,367,351
100129794,35,53,41,110,88,49,47,49
100129827,67,52,87,91,145,53,64,55
100129842,2187,3292,3880,6283,5772,2936,2396,3029
100129845,1,6,7,2,3,4,2,2
100129858,33,40,92,82,116,56,39,44
100129860,0,0,0,6,0,2,0,0
100129917,241,174,254,217,412,164,138,156
100129924,9,8,4,8,10,1,3,8
100129931,19,10,18,7,48,10,23,24
100129935,7,0,5,0,2,0,3,0
100129940,17,16,11,37,24,8,14,19
100129961,108,140,283,404,385,135,99,141
100129973,30,76,98,112,102,39,43,68
10013,1185,1326,2058,1849,3134,1330,1057,1039
100130015,32,18,39,28,73,23,18,48
100130017,0,0,0,1,2,0,0,0
100130075,15,25,28,16,31,17,15,10
100130086,7,18,12,23,13,6,8,21
100130093,75,82,87,79,146,80,61,67
100130097,262,204,192,229,314,137,147,205
100130100,121,127,117,115,174,117,64,96
100130148,7,0,2,0,0,4,2,0
100130155,1938,1990,2576,3772,3219,1491,1256,2236
100130197,19,9,12,14,13,16,16,13
100130231,18,32,16,24,31,17,25,14
100130238,105,66,139,47,227,27,44,53
100130264,37,21,45,43,37,34,38,59
100130274,0,0,0,0,0,0,0,0
100130275,4,0,0,0,0,0,0,1
100130298,4,15,16,36,28,13,16,9
100130301,5,15,10,13,12,3,11,4
100130302,2,0,20,4,7,2,1,2
100130311,123,136,181,86,210,93,50,100
100130331,23,11,34,25,39,6,9,13
100130342,8,12,6,13,18,16,10,6
100130345,24,13,62,88,32,43,40,19
100130348,8,12,19,23,18,14,14,15
100130357,292,142,179,195,357,180,138,178
100130361,0,0,0,0,0,0,0,0
100130370,268,161,165,326,394,387,289,228
100130386,4,12,22,13,34,6,2,5
100130417,8,10,5,22,4,10,10,12
100130418,153,164,125,227,315,196,99,129
100130449,67,82,108,50,117,24,68,34
100130451,12,12,11,18,11,10,6,5
100130452,0,4,7,2,1,0,2,8
100130460,4,8,3,1,3,1,0,0
100130476,1,4,12,5,7,9,4,6
100130480,0,3,0,0,0,0,2,0
100130519,41,53,97,44,73,22,31,16
100130520,2,0,0,0,1,1,2,1
100130522,121,83,138,90,149,70,80,77
100130539,13,6,14,12,35,8,5,9
100130557,201,197,190,372,290,329,234,180
100130581,45,44,62,119,115,57,42,36
100130587,38,18,70,22,73,26,20,25
100130613,0,0,6,2,0,0,2,0
100130673,25,40,7,14,5,15,12,14
100130691,351,343,434,571,615,461,287,403
100130700,4,0,0,0,0,0,0,0
100130705,130,126,258,170,323,79,102,96
100130717,6,8,12,4,17,5,4,4
100130733,96,117,78,241,136,128,107,130
100130742,54,83,44,111,127,94,62,47
100130744,93,105,102,150,178,81,73,77
100130771,21,39,45,52,81,37,30,43
100130776,8,1,10,10,49,4,10,6
100130827,0,0,0,0,0,0,0,0
100130849,0,0,0,0,0,0,0,0
100130855,71,96,63,109,115,88,70,75
100130872,229,119,243,89,302,41,37,97
100130880,5,11,8,19,18,21,10,15
100130887,135,103,231,314,16,175,110,99
100130889,0,0,0,0,1,0,0,0
100130890,365,423,501,728,782,412,237,379
100130894,118,76,202,150,267,112,93,99
100130899,10,11,20,18,4,11,18,6
100130933,67,39,61,98,108,68,41,32
100130934,90,80,99,95,155,77,63,70
100130935,0,0,0,2,0,0,0,0
100130950,127,112,165,83,266,91,72,107
100130954,0,0,1,0,2,0,1,0
100130958,12,4,23,7,13,32,3,5
100130964,0,0,0,0,0,0,0,0
100130967,20,7,14,14,29,11,7,17
100130987,32,32,49,22,57,23,13,16
100130988,0,2,2,7,2,2,0,2
100130992,311,453,392,973,680,427,352,448
100131017,537,476,934,611,1286,450,340,462
100131047,1,0,0,1,0,0,0,0
100131060,45,59,78,80,108,52,34,37
100131067,435,334,492,500,656,492,256,149
100131089,258,268,242,305,267,231,146,174
100131094,8,11,14,8,33,16,15,6
100131096,212,165,194,376,297,262,159,141
100131107,0,0,4,0,0,0,0,0
100131117,151,190,134,217,222,211,130,148
100131137,2,7,4,4,4,0,0,0
100131138,0,2,1,2,0,0,1,0
100131176,6,15,15,20,11,20,11,11
100131187,167,347,450,497,571,200,164,243
100131193,30,37,50,56,100,45,29,44
100131205,150,279,289,374,849,224,177,155
100131208,110,238,282,282,429,136,170,143
100131211,959,1047,892,1846,1279,1160,816,1125
100131213,37,37,47,43,48,35,34,38
100131234,147,216,162,365,406,304,188,145
100131244,70,40,73,56,93,42,41,74
100131257,18,17,21,16,24,19,16,9
100131289,14,7,17,19,25,14,19,6
100131303,0,0,2,0,2,0,0,0
100131315,0,0,0,0,0,0,0,0
100131320,75,83,31,148,28,90,98,59
100131347,15,11,26,9,39,11,9,9
100131366,2,0,2,0,0,2,0,0
100131378,4,2,2,5,6,6,5,0
100131390,19,20,37,11,49,12,9,18
100131434,208,110,180,183,353,120,143,207
100131439,0,0,0,0,0,0,0,0
100131454,28,53,62,74,80,47,25,35
100131496,88,44,77,48,86,68,48,60
100131532,5,9,7,8,72,9,12,8
100131539,30,18,10,44,43,21,9,18
100131551,0,0,4,0,10,0,0,0
100131561,13,17,18,36,18,28,15,10
100131564,827,890,974,1699,1973,1375,893,952
100131608,0,0,0,0,0,0,0,0
100131626,19,5,7,16,17,10,21,6
100131635,37,25,25,26,17,26,11,15
100131655,6,8,23,24,19,6,11,23
100131691,25,28,22,22,32,17,12,18
100131726,4,6,0,0,2,0,0,0
100131733,21,15,7,21,11,17,14,7
100131755,2041,2297,3125,2724,4433,2110,1613,2141
100131801,342,451,804,784,838,374,331,424
100131814,25,18,17,58,61,27,21,31
100131816,0,0,0,0,1,0,0,0
100131825,66,37,34,57,141,35,39,49
100131827,1139,1096,1505,1927,2599,1152,1002,992
100131897,489,491,740,1685,1116,641,673,394
100131902,6,0,0,0,0,0,0,0
100131980,6,30,0,8,4,7,2,2
100131997,39,48,52,56,108,34,21,32
100131998,267,245,329,405,453,181,177,235
100132004,10,2,4,13,11,13,2,5
100132057,200,228,235,228,402,209,200,118
100132062,4,6,5,5,17,13,0,3
100132074,40,26,49,41,59,6,21,36
100132077,25,47,68,38,67,31,38,49
100132078,4,3,3,8,11,13,3,1
100132101,9,5,9,1,25,3,3,3
100132103,20,22,54,48,94,39,32,18
100132111,83,198,282,317,183,75,96,116
100132116,130,132,118,128,157,102,86,129
100132146,4,5,0,5,7,2,0,0
100132154,5,6,0,4,18,8,9,3
100132159,20,41,57,47,22,13,11,7
100132163,27,14,19,21,43,10,9,16
100132169,0,0,6,5,8,10,4,2
100132174,2,0,0,0,0,0,0,0
100132215,100,133,126,234,318,86,82,87
100132247,662,545,584,525,1244,457,278,419
100132273,0,0,0,0,2,1,0,0
100132287,0,7,11,17,14,1,5,6
100132288,16,20,36,2,20,41,12,4
100132304,0,0,0,0,2,1,0,2
100132341,262,235,440,295,643,239,192,232
100132352,647,951,1109,1245,1742,942,664,958
100132354,53,19,25,22,29,14,18,30
100132356,131,103,165,165,337,118,92,111
100132386,0,0,0,0,0,0,0,0
100132396,0,0,0,0,0,0,0,0
100132399,0,0,0,0,0,0,0,0
100132403,3,11,8,3,65,0,6,0
100132406,158,381,279,206,551,206,63,155
100132417,1,19,0,30,59,7,12,14
100132463,0,1,5,3,0,4,5,6
100132464,0,0,0,0,0,0,0,0
100132476,0,0,0,0,0,0,0,0
100132526,61,57,124,57,180,36,31,49
100132529,5,5,9,0,3,1,5,3
100132541,279,268,398,441,571,211,176,368
100132565,0,0,2,0,0,0,0,0
100132594,25,14,32,25,29,14,6,13
100132596,0,0,0,0,0,0,0,0
100132618,74,115,60,148,156,127,77,94
100132677,36,17,73,48,80,15,11,40
100132707,112,157,147,348,335,147,161,140
100132708,0,0,0,0,0,0,0,0
100132724,156,89,87,229,250,194,87,127
100132735,0,0,1,2,1,0,0,0
100132741,11,6,12,15,15,4,2,10
100132774,33,45,26,58,47,53,59,27
100132781,76,130,100,201,186,178,107,114
100132813,316,355,355,384,314,250,237,438
100132815,767,893,1451,1096,2256,787,723,800
100132831,0,0,0,0,0,0,0,0
100132832,155,258,258,174,405,157,23,97
100132874,53,35,14,12,0,32,14,34
100132891,289,643,315,735,697,302,255,620
100132911,41,42,33,75,53,37,23,26
100132916,0,0,5,8,2,0,0,4
100132923,200,92,270,253,303,127,73,167
100132929,0,0,0,2,0,0,2,0
100132948,9,9,11,11,33,8,17,9
100132963,1,2,0,0,1,0,1,0
100132967,0,0,1,1,1,0,0,0
100132979,1,1,0,0,1,1,0,0
100132987,84,68,95,84,189,65,79,72
100132994,0,0,0,0,1,1,0,0
100133036,7,3,9,2,7,1,4,3
100133050,5,8,13,5,13,7,3,1
100133053,0,0,0,0,0,0,0,0
100133077,70,23,62,24,115,20,37,23
100133091,2,2,4,2,0,1,0,0
100133093,0,0,0,0,0,0,0,0
100133121,27,15,40,37,75,11,16,41
100133123,0,1,0,2,0,2,2,6
100133161,8,0,2,2,11,4,1,1
100133172,13,20,58,24,70,16,19,20
100133205,31,28,52,52,46,35,14,26
100133220,0,2,4,0,9,0,0,1
100133234,137,105,184,112,251,66,84,98
100133251,2,1,6,1,2,1,1,0
100133267,0,0,0,0,0,0,0,0
100133286,8,16,15,12,5,13,9,8
100133301,10,0,8,4,8,0,0,4
100133308,51,16,15,34,4,9,15,11
100133311,0,0,0,0,1,0,0,0
100133315,70,74,83,90,106,102,55,52
100133319,334,279,430,454,457,257,148,340
100133331,11,12,4,14,166,12,5,20
100133461,0,0,0,0,0,0,0,0
100133545,0,0,0,0,9,6,0,2
100133612,3,4,11,2,5,4,6,2
100133669,19,46,68,105,78,41,39,62
100133920,43,23,30,38,59,38,33,47
100133941,139,298,601,416,672,736,571,1338
100133957,3,8,3,7,7,3,6,0
100133985,7,6,2,15,11,12,6,4
100133991,43,54,48,54,80,41,18,70
100134015,41,41,30,38,58,39,29,38
100134229,75,86,232,184,150,100,70,61
100134259,20,19,24,18,21,19,8,1
100134317,27,13,27,23,74,23,5,5
100134368,19,16,16,32,25,16,9,13
100134391,1,0,1,0,0,2,1,2
100134444,1,1,2,0,0,0,0,0
100134713,63,26,46,52,72,61,23,47
100134868,74,35,88,32,63,56,43,39
100134869,12,3,0,4,1,6,0,4
100134934,0,0,0,0,0,0,0,0
100134938,0,0,0,1,1,1,0,0
100137047,107,138,166,153,402,116,105,143
100137049,3,4,5,4,4,4,1,1
10014,2043,2272,4040,2991,4888,1697,1545,1839
100141515,0,1,0,0,0,0,0,2
100142659,0,0,0,2,4,2,6,1
100144595,88,71,83,150,83,102,64,53
100144596,3,2,4,4,0,3,2,0
100144597,4,0,1,8,3,0,0,0
100144602,22,17,32,33,39,25,21,34
100144603,69,64,62,95,111,61,39,65
100144604,5,7,7,2,30,0,4,4
100144748,40,64,101,92,120,54,38,73
100147744,0,0,0,1,3,0,0,0
100147773,101,76,114,158,167,120,77,129
10015,3622,5770,6039,12242,7779,5914,4296,6007
100151643,2,0,0,0,0,0,0,0
100151683,49,89,82,271,111,71,51,64
100151684,62,32,35,101,76,36,15,85
100158262,42,13,32,46,35,26,26,22
10016,796,1633,1806,2446,2184,1255,1002,1143
100169751,0,0,0,0,0,0,0,0
100169752,0,0,0,0,0,0,0,0
100169753,0,0,0,0,0,0,0,0
100169754,0,0,0,0,0,0,0,0
100169755,0,0,1,0,0,0,0,0
100169756,0,0,0,0,0,0,0,0
100169757,0,0,0,0,0,0,0,0
100169758,0,0,0,0,0,0,0,0
100169759,0,0,0,0,0,0,0,0
100169760,0,0,2,0,0,0,0,0
100169761,0,0,0,0,0,0,0,0
100169762,0,0,0,0,0,0,0,0
100169763,0,0,0,0,0,0,0,0
