Name_GeneSymbol,AI,AI_Pval,CG,CG_Pval,DLPFC,DLPFC_Pval,NAC,NAC_Pval,OFC,OFC_Pval,SUB,SUB_Pval
CPSF4,7.08E-06,0.999981145,0,0,0,0,0,0,-0.002621274,0.985970949,0,0
INTS3,0.77860409,0.049570237,0,0,0,0,0,0,0.470875091,0.182622455,0,0
S100A4,0.460233994,0.388415622,0.601708991,0.371878509,0.311081061,0.590759204,0.199145555,0.70778566,0,0,0,0
GATA2,0.432736093,0.310005057,0,0,0,0,0,0,0.281757775,0.517855495,0.377904642,0.397506828
IL1B,0.378483662,0.392786172,0.706842164,0.145511231,0.7079166,0.13104746,0,0,0.447553726,0.276334416,0,0
MYL9,0.342074409,0.48503829,0,0,0.308543235,0.390501046,-0.000363767,0.998961522,0.226452095,0.476034656,0,0
LAMA3,0.332020373,0.006919383,0,0,0,0,0.289990984,0.063766538,0,0,0,0
PLK1,0.31760567,0.391350256,0,0,-0.006819306,0.986430464,-0.003983441,0.992583823,0,0,0,0
IGF2BP2,0.277495086,0.603517715,0,0,0,0,0,0,0,0,0,0
RAC2,0.26975139,0.608817299,0.257155923,0.650029744,0,0,0,0,0,0,0.209111308,0.699957592
KIF2C,0.258673311,0.498653526,0,0,0,0,0,0,0,0,0,0
STAP2,0.246524801,0.557093114,0,0,0,0,0,0,0.394411187,0.328678933,0,0
NUSAP1,0.240439841,0.517395841,0,0,0,0,0,0,0,0,-0.009359813,0.979098975
MKNK1,0.236656809,0.016132878,0,0,0,0,0,0,0,0,0,0
GSTM2,0.229351693,0.077799461,0,0,0,0,0,0,0,0,0,0
ICAM1,0.227912889,0.482621345,0.366376733,0.263248125,0,0,-0.001594925,0.994929983,0.279618766,0.405189144,0,0
PTPN6,0.227367221,0.469431896,0,0,0.151064119,0.633097501,0,0,0,0,0.201058589,0.432539867
COL1A1,0.225595566,0.680095369,0.403706494,0.387222309,0,0,0,0,-0.007467904,0.989455844,0,0
PPARG,0.224396965,0.246310156,0,0,0,0,0.183988839,0.325864049,0.26775987,0.100046016,0.184213117,0.363622425
LSR,0.222860294,0.380362055,0,0,0.16213898,0.558245798,0,0,0,0,0,0
IL4R,0.222339813,0.389261588,0.240344855,0.323124653,0.345090217,0.192142555,0.135297726,0.558506374,0.187839631,0.447470509,0.211463791,0.409489135
PRKCH,0.210940953,0.191852898,0,0,0,0,0,0,0,0,0,0
GPER1,0.210356545,0.346382203,0,0,0,0,0,0,0,0,0,0
CCDC85B,0.201858056,0.392579252,0.217591152,0.130819542,0.227357656,0.312250467,0,0,0.148091618,0.228501114,0,0
CASP10,0.200730743,0.339364285,0,0,0,0,0.137234322,0.420677389,0.149099442,0.504709021,0,0
ADRB2,0.200666801,0.44636362,0.246538742,0.337987692,0,0,0,0,0.242974145,0.358875643,0,0
MRPL12,0.195863872,0.417156365,0,0,0.166728097,0.428571619,0,0,0,0,0,0
TSPAN4,0.189196022,0.586035817,0,0,0,0,0.167380901,0.628671236,0.146970997,0.675202372,0,0
PRKX,0.187755007,0.165719447,0,0,0,0,0.12466791,0.34830782,0,0,0,0
NOS3,0.184911627,0.613923235,0.249484211,0.584601093,0.231842892,0.556265532,0,0,0.266721424,0.463692473,0.142040824,0.705315992
CCDC92,0.1822052,0.44530788,0.30034135,0.287096734,0,0,0,0,0.167490619,0.46417972,0,0
PPIC,0.18061644,0.529813322,0.206437579,0.530728583,0,0,0,0,0,0,0,0
TGFBR2,0.17719785,0.146994628,0,0,0.125085096,0.296811563,0,0,0,0,0,0
PLCB3,0.173364804,0.30400866,0,0,0,0,0,0,0,0,0,0
FAS,0.172765012,0.464778405,0,0,0,0,0.195482442,0.167665922,0.17472584,0.22528456,0.216025634,0.152300014
SYNE2,0.171858068,0.029721292,0,0,0,0,0.139765545,0.049297142,0,0,0,0
NET1,0.16659115,0.055644115,0,0,0.213070285,0.021814333,0.146650264,0.108137083,0.177673986,0.035686367,0,0
BDH1,0.163092083,0.311218697,0,0,0,0,0,0,-0.005421966,0.969853981,0,0
BUB1B,0.161269195,0.70849674,0,0,0,0,0.139521834,0.598346794,0,0,0,0
TP53,0.160994647,0.504125641,0.233056592,0.415003632,0,0,0.144219853,0.522063889,0,0,0,0
IKBKB,0.160097036,0.09338934,0,0,0,0,0,0,0,0,0,0
SLC5A6,0.159618832,0.224728676,0,0,0,0,-0.000146423,0.999203016,0,0,0,0
HOOK2,0.158444932,0.217340019,-0.009905777,0.948284728,0,0,-0.006224542,0.974877554,0,0,0,0
RRS1,0.158095276,0.392943549,0,0,0.148677599,0.344936897,0,0,0,0,0,0
RAB27A,0.155978065,0.504368185,0,0,0,0,0,0,0,0,0,0
CD58,0.155911269,0.591363956,0,0,0,0,0.191132445,0.330972175,0.232508958,0.441885429,0,0
TCFL5,-0.00046489,0.996118995,0,0,0,0,0,0,0,0,0.202758111,0.027934079
MPZL1,-0.000605596,0.994966,0,0,-0.004843422,0.949482624,0,0,0,0,0,0
DPH2,-0.000616862,0.996862468,0,0,0,0,0,0,0,0,0,0
ENOSF1,-0.000639987,0.99605488,0,0,0.135817085,0.332614274,0,0,0,0,0,0
PIK3R3,-0.000736087,0.992887802,0,0,0,0,0,0,0,0,0,0
YKT6,-0.001082801,0.991557703,0,0,0,0,0,0,0,0,0,0
RPS5,-0.001384471,0.991655716,0,0,0,0,0,0,0,0,0,0
IFRD2,-0.001669229,0.99520887,0.22960974,0.511578057,0,0,0,0,0,0,0,0
PLS1,-0.002057431,0.988808977,0,0,-0.006130014,0.961063739,0,0,0,0,0,0
STK25,-0.002466622,0.960697733,0,0,0,0,0,0,0,0,0,0
WRB,-0.00250212,0.969917085,0,0,0,0,0,0,0,0,0,0
KDM5B,-0.002545687,0.971920775,0,0,0,0,0,0,0,0,0,0
CRELD2,-0.002890743,0.984333979,0,0,0,0,-0.005296448,0.964780374,0,0,0,0
KDM3A,-0.003298413,0.951230932,0,0,0,0,0,0,0,0,0,0
PCK2,-0.003309756,0.989658573,0,0,0,0,0,0,0,0,0,0
RPS6,-0.003400998,0.955715777,0,0,0,0,0,0,0,0,0,0
CLTB,-0.003429516,0.956086042,0,0,0,0,0,0,0,0,0,0
ATF1,-0.003480715,0.975251645,0,0,0,0,0,0,0,0,0,0
POLR2K,-0.003504632,0.966153923,0,0,0,0,0,0,0.163292692,0.037792533,0,0
NIPSNAP1,-0.003604644,0.958176375,0,0,0,0,0,0,0,0,-0.00395615,0.957164267
PHGDH,-0.004003464,0.95821402,0,0,0,0,0,0,0,0,0,0
CSNK2A2,-0.004104714,0.972616906,0,0,0,0,0,0,0,0,0,0
DHRS7,-0.004430103,0.957659321,0,0,0,0,0,0,0,0,0,0
RFC5,-0.004496515,0.968659184,0,0,0,0,0,0,0,0,0,0
UBE2A,-0.004560881,0.958205407,0,0,0,0,0,0,0,0,0,0
CHAC1,-0.00464295,0.985068723,0.469652413,0.240259547,0,0,0,0,0.162889847,0.555776828,0,0
KCTD5,-0.004874144,0.975840956,0,0,0,0,0,0,0,0,0,0
INPP4B,-0.004885037,0.952435879,0,0,0,0,0,0,0,0,-0.005453868,0.932733547
DNAJB6,-0.004888839,0.932788996,0,0,0,0,0,0,0,0,0,0
GHR,-0.004999123,0.973663333,0,0,0,0,0,0,0,0,0,0
CTTN,-0.005089491,0.886171843,0,0,0,0,0,0,0,0,-0.003900078,0.92202039
EED,-0.005218365,0.954354391,0,0,0,0,0,0,0,0,0,0
TOR1A,-0.005407121,0.949034285,0,0,0,0,0,0,0,0,0,0
HTATSF1,-0.005520008,0.929304474,0,0,0,0,0,0,0,0,0,0
CSK,-0.005620111,0.970765735,0,0,0,0,0,0,0,0,0,0
GRN,-0.005932064,0.97337864,0,0,0,0,0,0,0,0,0,0
RAB31,-0.006141314,0.940647957,0,0,0,0,0,0,0,0,0,0
HEATR1,-0.006166829,0.933899358,0,0,0,0,0,0,0,0,-0.004439021,0.949148983
WFS1,-0.006249178,0.938255854,0,0,0,0,0,0,0,0,-0.007561519,0.919250977
RBM34,-0.006261345,0.939482229,0,0,0,0,0,0,0,0,0,0
GLOD4,-0.006284027,0.91837847,0,0,0,0,-0.002422404,0.970148047,0,0,0,0
PCM1,-0.006365983,0.87268668,0,0,0,0,0,0,0,0,0,0
NCK1,-0.006384435,0.943621534,0,0,0,0,0,0,0,0,0,0
GTF2E2,-0.006884938,0.953963106,0,0,0,0,0,0,0,0,0,0
IFNAR1,-0.007348515,0.851101569,0,0,0,0,0,0,0,0,0,0
HDAC2,-0.00739278,0.908017613,0,0,0,0,0,0,0,0,0,0
FAIM,0,0,2.38E-06,0.999947341,0,0,0,0,0,0,0,0
PTPRK,0,0,0.835649895,0.056490355,0,0,0,0,0.52828738,0.234675198,0.588837534,0.11906425
PUF60,0,0,0.549135072,0.196268948,0,0,0,0,0,0,0,0
PDLIM1,0,0,0.478244041,0.346658603,0.234502006,0.611704976,0,0,0,0,0,0
ST6GALNAC2,0,0,0.471823832,0.374896382,0,0,0.37624085,0.230746275,0,0,0,0
SPR,0,0,0.428509942,0.124793264,0.202216728,0.345538422,0,0,0.188230093,0.346083049,0,0
SCAND1,0,0,0.413530082,0.185584481,0,0,0.158530561,0.637625398,0.205819681,0.396821989,0,0
DENND2D,0,0,0.400299174,0.337156301,0,0,0.119776465,0.701995307,0,0,0,0
STXBP2,0,0,0.356270501,0.415263549,0.161145403,0.704617418,0,0,0,0,0.233156802,0.513635013
MTHFD2,0,0,0.346075938,0.168373803,0.178569157,0.369909117,0,0,0,0,0,0
PTPRC,0,0,0.309344645,0.347670232,0,0,0.162214031,0.319973757,0.17202557,0.274015288,0.176920068,0.318303426
PCBD1,0,0,0.283579398,0.160151675,0,0,0,0,0.219521758,0.240912522,0,0
BAX,0,0,0.274268265,0.458638066,0,0,0,0,0,0,0,0
EPHA3,0,0,0.2738355,0.240364029,0,0,0,0,0,0,0,0
CEBPA,0,0,0.273568719,0.321032728,0,0,0,0,0,0,0,0
HMG20B,0,0,0.264885176,0.195228861,-0.002220022,0.9914209,0,0,0,0,0,0
ICAM3,0,0,0.259991371,0.539544861,0.171276769,0.615624473,0,0,0.1579651,0.652569291,0,0
PDIA5,0,0,0.257571255,0.374629517,0,0,0,0,0,0,0,0
ZFP36,0,0,0.252368993,0.555217555,0.215316079,0.53324332,0,0,0.163015564,0.688871938,0,0
RUVBL1,0,0,0.247625937,0.135895447,0,0,0,0,0,0,0,0
BACE2,0,0,0.24516384,0.286705949,0.243555982,0.19998967,0,0,0.169938222,0.344827239,0,0
PIP4K2B,0,0,0.238323729,0.732436231,0.378221827,0.251460611,0,0,0,0,0.239233887,0.66402342
DSG2,0,0,0.230228055,0.553883319,0,0,0,0,-0.001398185,0.997634512,0,0
PLP2,0,0,0.229163665,0.637157494,0,0,0,0,0,0,-0.004018839,0.994380275
CD44,0,0,0.225837881,0.6269826,0,0,0.615887549,0.118795271,0,0,0.181052586,0.486839126
BAD,0,0,0.220357231,0.482722357,0.191752019,0.40013663,0.197381583,0.508237322,0,0,0,0
IKZF1,0,0,0.219441864,0.370986552,0.190516433,0.405929543,0,0,0.227505491,0.309033702,0.252944661,0.21527471
IKBKE,0,0,0.207128109,0.551947095,0,0,0,0,0,0,0,0
ATP6V0B,0,0,0.197532245,0.176451502,0,0,0,0,0.241854277,0.022885418,0,0
EXOSC4,0,0,0.189797537,0.524961944,0,0,0,0,0,0,0,0
CD320,0,0,0.189183668,0.623928204,0.140015101,0.565562303,0,0,0.226447538,0.437202959,0,0
MEST,0,0,0.186181261,0.221259256,0,0,0,0,0,0,0,0
TRIM13,0,0,-0.001279475,0.988944744,0,0,0,0,0,0,0,0
HSPD1,0,0,-0.001701465,0.983658204,0,0,0,0,0,0,0,0
GFPT1,0,0,-0.001870929,0.982044037,0,0,0,0,0,0,0,0
STK10,0,0,-0.002115764,0.989393367,0,0,0,0,0,0,0,0
PRR7,0,0,-0.002291957,0.988188322,0,0,0,0,0,0,0,0
SKP1,0,0,-0.002571769,0.9750747,0,0,-0.001402786,0.971027468,0,0,0,0
NUP133,0,0,-0.002600266,0.974975507,0,0,0,0,0,0,0,0
PCNA,0,0,-0.002855903,0.991984572,0,0,0,0,0,0,0,0
BCL7B,0,0,-0.002982015,0.988744241,0,0,0,0,0,0,0,0
FZD7,0,0,-0.003312143,0.988995167,0,0,0,0,0,0,0,0
KEAP1,0,0,-0.003682516,0.981929695,0,0,0,0,0,0,0,0
RNPS1,0,0,-0.00376349,0.965459039,0,0,0,0,0,0,0,0
RALB,0,0,-0.003764361,0.966751251,0,0,0,0,0,0,0,0
ZNF451,0,0,-0.003856146,0.94401476,0,0,0,0,-0.00803552,0.84233367,0,0
SPTLC2,0,0,-0.00389704,0.977040225,0,0,0,0,0,0,0,0
MYLK,0,0,-0.003909866,0.979549001,0,0,0,0,0,0,0.149300699,0.031153977
ATP5S,0,0,-0.004111764,0.974866043,0,0,0,0,-0.001494878,0.987175568,0,0
