Source,Target,Similarity,SourceSignature,SourceCellLine,SourceTime,TargetSignature,TargetCellLine,TargetConcentration,TargetTime
NA_Overall,BRD-K13515789,0.34620817,InputSig,NA,NA,LINCSCP_61557,VCAP,5uM,24h
NA_Overall,BRD-K99567611,0.33421609,InputSig,NA,NA,LINCSCP_61857,VCAP,5uM,24h
NA_Overall,ATN-161 (trifluoroacetate salt),0.33346681,InputSig,NA,NA,LINCSCP_121937,HT29,10uM,24h
NA_Overall,Adarotene,0.32427391,InputSig,NA,NA,LINCSCP_121884,HT29,3.33uM,24h
NA_Overall,ascorbic-acid,0.31683854,InputSig,NA,NA,LINCSCP_122076,HT29,1.11uM,24h
NA_Overall,Lofexidine,0.3158355,InputSig,NA,NA,LINCSCP_122149,HT29,0.37uM,24h
NA_Overall,ST50840204,0.3129978,InputSig,NA,NA,LINCSCP_190553,A549,10uM,24h
NA_Overall,ABT-333,0.30952655,InputSig,NA,NA,LINCSCP_122144,HT29,0.12uM,24h
NA_Overall,TGX 221,0.30779959,InputSig,NA,NA,LINCSCP_132008,MCF7,1.11uM,24h
NA_Overall,CI-1040,0.29555951,InputSig,NA,NA,LINCSCP_29686,MCF10A,0.5uM,6h
NA_Overall,Roquinimex,0.29459367,InputSig,NA,NA,LINCSCP_122224,HT29,10uM,24h
NA_Overall,Lamivudine,0.29088373,InputSig,NA,NA,LINCSCP_122172,HT29,1.11uM,24h
NA_Overall,Mepivacaine,0.29025925,InputSig,NA,NA,LINCSCP_122214,HT29,1.11uM,24h
NA_Overall,BMS-299897,0.27607314,InputSig,NA,NA,LINCSCP_122166,HT29,1.11uM,24h
NA_Overall,BRD-K51288770,0.27577097,InputSig,NA,NA,LINCSCP_28127,HT29,5uM,24h
NA_Overall,BRD-K09547783,0.27426918,InputSig,NA,NA,LINCSCP_62619,VCAP,5uM,24h
NA_Overall,apigenin,0.27325733,InputSig,NA,NA,LINCSCP_144847,MDAMB231,0.12uM,24h
NA_Overall,AZD-6482,0.27231839,InputSig,NA,NA,LINCSCP_132015,MCF7,0.37uM,24h
NA_Overall,Dabrafenib,0.27051921,InputSig,NA,NA,LINCSCP_35,A375,3uM,6h
NA_Overall,SPECTRUM_001060,0.27038907,InputSig,NA,NA,LINCSCP_122095,HT29,0.37uM,24h
