Geneid,featureCounts on data 323: Counts_HISAT2 on data 31 and data 30: aligned reads (BAM),featureCounts on data 327: Counts_HISAT2 on data 35 and data 34: aligned reads (BAM),featureCounts on data 329: Counts_HISAT2 on data 37 and data 36: aligned reads (BAM),featureCounts on data 337: Counts_HISAT2 on data 45 and data 44: aligned reads (BAM),featureCounts on data 341: Counts_HISAT2 on data 49 and data 48: aligned reads (BAM),featureCounts on data 345: Counts_HISAT2 on data 53 and data 52: aligned reads (BAM),featureCounts on data 351: Counts_HISAT2 on data 59 and data 58: aligned reads (BAM),featureCounts on data 353: Counts_HISAT2 on data 61 and data 60: aligned reads (BAM),featureCounts on data 365: Counts_HISAT2 on data 73 and data 72: aligned reads (BAM)
1,42,95,68,34,73,43,64,36,53
10,1,10,4,11,2,8,6,2,11
100,92,98,70,82,122,68,45,16,59
1000,4898,8128,4327,5806,10646,6191,6017,3511,7552
10000,81,386,104,286,769,298,136,79,294
100008587,0,0,0,0,0,0,0,0,0
100008588,0,0,0,0,0,0,0,0,0
100008589,0,0,0,0,0,0,0,0,0
100009601,0,0,0,0,0,0,0,0,0
100009602,0,0,0,0,0,0,0,0,0
100009605,0,0,0,0,0,1,0,1,0
100009606,0,0,0,0,0,0,0,0,0
100009607,2,2,2,2,0,1,0,0,0
100009613,9,0,1,2,0,1,6,0,0
100009676,79,95,81,78,215,57,75,60,133
10001,1434,2089,1231,1546,3269,1863,1617,1007,1971
10002,32,72,31,46,89,60,43,25,53
10003,1755,1978,1480,1420,3202,2024,1615,1275,1732
100033411,65,58,26,28,56,24,38,43,26
100033413,100,434,247,78,238,90,104,104,273
100033414,28,42,18,7,30,20,21,15,32
100033415,15,8,7,7,21,20,8,11,26
100033416,177,114,125,95,238,113,88,70,99
100033417,25,7,11,6,6,3,6,6,15
100033418,58,110,65,45,110,52,28,28,82
100033419,31,38,16,21,58,36,28,28,27
100033420,34,46,38,20,39,15,19,17,29
100033421,20,11,4,8,19,9,6,8,5
100033422,29,23,23,10,11,22,17,11,18
100033423,31,47,18,23,47,29,24,21,44
100033424,49,39,43,27,74,38,27,24,33
100033425,104,118,92,100,240,70,100,64,132
100033426,103,189,100,91,189,66,114,133,162
100033427,91,160,100,45,138,87,71,59,181
100033428,34,36,24,14,16,15,10,10,24
100033429,12,18,5,9,16,4,9,3,9
100033430,72,41,49,27,168,69,89,49,65
100033431,103,156,95,85,101,90,93,81,156
100033432,79,82,70,63,0,106,87,59,107
100033433,107,162,107,58,116,70,79,70,193
100033434,228,369,269,136,300,144,200,123,507
100033435,230,392,234,160,512,170,142,139,448
100033436,126,320,101,82,252,115,126,80,355
100033437,52,903,26,26,48,34,22,29,48
100033438,300,652,344,244,617,310,411,298,657
100033439,194,397,159,114,411,198,245,118,584
100033440,197,155,177,101,274,176,204,109,316
100033441,96,42,47,40,42,46,60,36,61
100033442,3174,2138,3798,1864,4923,2852,2999,1852,10061
100033443,30,15,17,23,38,35,17,21,37
100033444,16,3,10,8,20,10,23,16,12
100033445,37,98,61,30,100,37,35,23,101
100033446,21,14,11,15,20,13,13,14,20
100033447,11,36,25,26,36,21,17,15,200
100033448,43,23,30,26,32,20,15,9,39
100033449,20,25,13,9,78,17,21,12,27
100033450,230,103,142,136,161,94,107,101,118
