Geneid,featureCounts on data 314: Counts_HISAT2 on data 22 and data 21: aligned reads (BAM),featureCounts on data 322: Counts_HISAT2 on data 30 and data 29: aligned reads (BAM),featureCounts on data 324: Counts_HISAT2 on data 32 and data 31: aligned reads (BAM),featureCounts on data 332: Counts_HISAT2 on data 40 and data 39: aligned reads (BAM),featureCounts on data 336: Counts_HISAT2 on data 44 and data 43: aligned reads (BAM),featureCounts on data 340: Counts_HISAT2 on data 48 and data 47: aligned reads (BAM),featureCounts on data 346: Counts_HISAT2 on data 54 and data 53: aligned reads (BAM),featureCounts on data 348: Counts_HISAT2 on data 56 and data 55: aligned reads (BAM),featureCounts on data 360: Counts_HISAT2 on data 68 and data 67: aligned reads (BAM)
1,33,38,55,52,63,23,51,59,41
10,9,4,0,5,6,0,7,13,6
100,89,58,45,83,43,33,65,106,62
1000,10083,5816,4929,9975,7926,5681,8897,10149,7633
10000,3396,545,685,661,770,594,916,824,429
100008587,0,0,0,0,0,0,0,0,0
100008588,0,0,0,0,0,0,0,0,0
100008589,0,0,0,0,0,0,0,0,0
100009601,0,0,0,0,0,0,0,0,0
100009602,0,0,0,2,0,0,0,0,0
100009605,0,0,0,0,0,0,0,0,0
100009606,0,0,0,2,1,0,0,0,0
100009607,0,5,1,0,7,1,1,2,0
100009613,0,0,0,1,4,0,2,3,2
100009676,97,57,68,136,97,77,110,117,128
10001,2461,1473,1500,2202,2223,1581,2368,2570,1926
10002,84,56,46,76,52,50,65,67,59
10003,2495,1672,1661,1942,1582,1422,2403,2300,1672
100033411,69,48,40,16,31,34,44,72,33
100033413,173,77,71,61,73,21,89,106,91
100033414,38,19,20,14,18,10,15,27,22
100033415,19,7,12,8,4,8,3,14,10
100033416,97,56,128,86,73,48,53,103,53
100033417,9,3,3,1,4,4,2,7,2
100033418,43,13,20,29,9,11,21,34,23
100033419,62,18,26,47,18,23,42,39,18
100033420,30,15,16,12,9,7,19,22,16
100033421,14,6,7,5,7,1,10,11,10
100033422,51,18,16,19,18,10,22,15,20
100033423,35,18,17,10,7,5,19,25,15
100033424,57,44,36,31,16,23,21,30,20
100033425,163,103,96,117,132,75,136,110,126
100033426,128,53,62,71,71,37,118,81,115
100033427,96,30,29,20,25,23,49,53,48
100033428,22,5,12,16,10,11,9,17,20
100033429,10,13,2,9,7,2,3,8,3
100033430,35,31,48,64,69,39,58,44,81
100033431,92,65,69,78,33,54,78,60,96
100033432,131,86,69,133,3,138,144,130,118
100033433,88,68,40,51,28,42,62,53,63
100033434,174,74,83,59,51,53,61,108,82
100033435,99,46,64,33,39,41,51,85,74
100033436,58,20,22,36,11,18,31,51,38
100033437,30,139,30,22,16,18,19,23,20
100033438,167,47,52,108,49,44,94,123,83
100033439,134,60,51,83,66,60,79,107,75
100033440,135,37,56,81,70,45,76,111,88
100033441,47,17,43,28,11,20,30,38,22
100033442,1537,219,389,697,684,457,842,1134,1084
100033443,26,8,32,12,8,14,22,18,18
100033444,19,8,23,8,5,8,12,27,12
100033445,25,8,29,12,6,7,15,24,12
100033446,19,6,9,11,3,14,4,12,5
100033447,29,14,9,10,10,10,8,14,16
100033448,35,16,32,24,14,10,14,28,32
100033449,21,30,15,33,13,11,11,13,12
100033450,197,83,138,112,100,54,105,121,87
100033451,64,40,42,32,25,17,40,41,49
100033453,21,4,13,6,7,12,9,6,13
100033454,13,12,6,15,3,4,9,3,3
100033455,13,7,2,20,14,2,11,6,13
100033456,13,1,3,2,2,1,3,10,3
100033458,13,13,10,4,0,6,13,9,9
100033460,98,125,83,58,37,31,40,47,47
100033603,86,42,66,62,19,27,23,55,37
100033799,63,31,56,62,31,35,39,81,30
100033800,0,0,0,0,0,0,0,0,0
100033801,67,30,46,39,16,19,17,25,31
100033802,38,23,52,17,11,13,26,26,23
100033803,23,13,11,10,12,6,14,10,14
100033804,28,23,11,12,17,11,20,10,33
100033805,34,14,15,13,4,6,15,16,15
100033806,1382,438,231,325,290,155,374,439,521
100033807,278,103,49,62,77,46,86,94,182
100033808,20,16,10,18,12,2,15,8,7
100033809,106,96,91,104,81,86,103,115,85
100033810,12,14,12,7,10,5,4,8,3
100033811,30,23,16,29,9,17,11,19,21
100033812,53,20,22,10,6,14,21,16,30
100033813,17,9,15,16,12,4,31,18,31
100033814,72,23,32,25,29,26,50,58,57
100033815,58,36,30,31,43,38,33,45,23
100033816,59,16,23,57,33,33,44,44,64
100033817,46,7,22,23,12,12,15,15,16
100033818,68,30,36,31,27,27,26,31,49
100033819,0,0,0,0,0,0,0,0,0
100033820,74,49,23,25,28,32,38,46,52
100033821,150,65,45,74,38,34,75,87,78
100033822,22,3,7,14,6,6,6,8,10
100034743,104,67,48,49,62,44,87,104,73
100036563,14,7,8,3,6,8,10,4,13
100036564,51,29,15,33,17,19,10,24,24
100036565,13,1,6,11,8,5,6,5,22
100036566,176,100,91,60,59,64,109,146,88
100036567,15,2,2,3,2,4,2,6,4
100037417,2,0,0,0,1,0,1,0,0
100038246,0,0,0,0,0,0,0,4,0
10004,3,8,19,8,11,15,4,9,11
100048912,49,58,31,47,62,74,57,83,68
100049076,77,36,48,120,67,55,90,48,0
100049587,6,22,6,10,22,8,17,38,8
100049613,1,0,1,3,0,0,0,0,0
100049614,1,0,0,0,7,0,1,6,0
100049716,163,182,86,158,139,114,211,283,128
10005,665,376,474,765,603,420,692,705,652
10006,6321,4148,3390,6199,6150,3972,6112,6631,5604
10007,1391,984,881,1860,1479,1154,1833,1855,1696
100073347,211,138,102,206,100,67,108,113,133
10008,38,104,84,154,149,75,88,146,85
10009,3680,2106,1646,3659,3129,2187,3824,4498,3378
100093630,307,351,431,575,430,269,407,469,349
100093631,1325,1467,689,1534,753,747,1135,1432,546
100093698,13,11,6,10,5,9,4,15,5
1001,194,111,152,244,148,97,154,172,128
10010,1552,1141,900,1713,1516,1032,1741,1870,1550
100101115,0,0,0,0,0,0,0,0,0
100101116,0,2,0,0,0,0,0,0,0
100101117,0,0,0,0,1,2,0,0,0
100101118,0,0,0,0,0,0,0,0,0
100101120,0,0,0,0,0,0,0,0,0
100101121,0,0,0,0,0,0,0,0,0
100101148,6,8,7,1,4,8,8,2,8
100101266,167,90,107,64,94,75,101,159,77
100101267,1958,798,1088,1391,980,708,980,1612,642
100101440,26,39,20,33,16,12,9,58,34
100101467,1563,817,757,1248,1146,823,1304,1628,1103
100101478,9,6,0,12,8,8,17,14,14
100101490,181,110,174,148,133,94,150,202,99
100101938,619,1139,689,763,578,428,861,386,275
10011,666,478,518,806,668,501,665,770,640
100113378,8,1,9,12,0,3,4,6,10
100113379,1,2,2,1,1,0,4,4,1
100113380,0,0,0,0,0,0,0,0,0
100113381,3,2,3,11,5,3,9,9,13
100113382,44,22,24,25,18,17,18,26,15
100113384,0,0,0,1,2,0,0,2,0
100113386,45,34,59,54,22,42,22,45,31
100113389,5,5,3,5,4,1,1,7,3
100113391,0,0,2,1,0,0,0,0,2
100113392,7,8,4,3,6,4,3,6,7
100113393,15,6,3,7,9,6,8,11,7
100113402,2,6,0,0,3,1,2,4,0
100113403,19,23,36,11,11,14,21,15,11
100113404,2,0,0,0,0,0,0,0,0
100113407,13727,9159,6985,14774,13097,8472,14527,16948,11533
100124412,0,0,0,4,0,0,0,0,0
100124516,5,2,7,5,4,2,9,3,11
100124533,6,5,2,3,6,3,10,7,10
100124534,0,0,0,0,1,0,0,3,0
100124535,18,0,1,1,2,1,3,1,0
100124536,39,10,3,15,7,3,13,21,19
100124537,1,3,2,1,2,0,4,0,5
100124538,1,3,2,5,2,2,2,4,0
100124539,6,3,5,9,2,2,4,4,7
100124540,0,0,0,2,2,0,2,2,1
100124541,0,2,2,0,0,1,0,0,1
100124700,0,0,0,0,0,0,0,0,0
100125288,87,61,83,88,48,66,36,36,36
100125556,38,28,60,66,27,44,28,22,37
100126270,34,31,20,8,19,16,22,31,19
100126296,0,0,1,1,0,0,0,1,0
100126297,2,3,6,3,0,3,2,4,3
100126299,4,0,0,1,4,2,6,8,5
100126301,0,2,0,0,0,0,0,0,0
100126302,0,0,0,0,0,0,0,0,0
100126303,0,0,0,0,1,0,0,0,1
100126304,0,0,0,0,0,0,0,0,0
100126306,0,0,0,0,0,1,0,0,0
100126307,0,0,0,0,0,0,0,0,0
100126308,1,0,3,3,3,0,1,2,0
100126309,0,0,1,0,0,0,0,1,1
100126310,14,9,5,3,5,6,6,12,8
100126311,0,0,0,0,0,0,0,0,0
100126313,15,7,0,7,3,8,5,15,13
100126314,0,0,0,0,0,0,0,0,0
100126315,0,0,0,1,0,0,0,4,1
100126316,2,0,3,1,1,2,5,8,1
100126317,1,0,1,0,2,0,0,3,0
100126318,0,0,0,0,0,0,0,0,0
100126319,0,0,0,0,0,0,0,0,0
100126320,10,10,0,2,8,6,6,5,10
100126321,0,0,0,0,0,0,0,0,0
100126323,0,0,0,0,0,0,0,1,1
100126324,0,0,0,0,0,0,0,0,0
100126325,0,0,0,0,0,0,0,0,0
100126326,0,0,0,0,0,0,0,0,0
100126327,0,0,0,0,0,0,0,0,0
100126328,2,1,4,2,0,0,2,2,2
100126329,0,1,1,0,0,0,0,0,0
100126330,0,0,0,0,0,0,0,0,0
100126331,0,0,1,2,2,0,1,2,2
100126332,0,0,0,0,0,0,0,0,1
100126333,1,0,1,2,0,0,0,2,0
100126334,0,0,1,1,0,0,0,0,0
100126335,0,0,0,0,0,0,0,1,0
100126336,0,0,0,0,0,0,0,0,0
100126337,0,0,0,0,0,0,0,0,0
100126338,0,0,0,0,0,0,0,0,0
100126339,0,0,0,0,0,0,0,0,0
100126340,0,0,0,0,0,0,0,0,0
100126341,0,0,0,0,0,0,0,0,0
100126342,0,0,0,1,0,0,0,0,0
100126343,6,6,1,4,6,7,5,3,2
100126345,0,0,0,1,6,1,1,0,0
100126346,0,0,0,0,0,0,0,0,0
100126347,0,1,2,0,0,0,0,0,3
100126348,11,6,3,8,2,9,4,12,10
100126349,22,10,9,7,12,10,4,4,6
100126350,3,0,0,4,1,1,0,3,0
100126351,0,0,0,0,0,0,0,0,0
100126352,0,0,0,0,0,0,0,0,0
100126354,0,0,0,0,0,0,0,0,0
100126355,1,0,0,0,0,0,1,3,0
100126356,1,0,0,2,0,0,0,0,1
100126447,2,0,0,0,0,0,1,0,0
100126476,0,0,0,0,0,0,0,0,0
100126481,0,0,0,0,0,0,0,0,0
100126484,0,0,0,0,0,0,0,0,0
100126488,11,9,3,7,18,12,11,36,12
100126510,0,0,0,0,0,0,0,0,0
100126512,6,8,9,16,39,15,29,40,28
100126514,0,0,0,0,0,1,0,1,0
100126517,0,0,0,0,1,0,1,0,0
100126520,1,0,0,1,0,1,4,1,1
100126533,3,1,1,3,3,0,2,7,4
100126693,0,2,0,0,0,0,1,0,0
100126780,0,0,0,0,0,0,0,0,0
100126781,0,0,0,0,0,0,2,0,0
100126784,921,404,592,789,527,353,537,795,487
100126791,150,83,98,48,40,48,76,163,60
100126793,155,144,139,147,116,118,83,163,66
100126798,0,0,0,0,0,0,0,0,0
100126799,0,0,0,0,0,0,0,0,0
100126800,0,0,0,0,0,0,0,0,0
100127206,5,0,3,2,4,3,9,13,4
100127888,11,6,11,9,5,3,1,4,0
100127889,115,101,49,69,92,67,128,122,96
100127967,0,2,0,0,0,0,0,0,0
100127983,48,17,15,49,35,30,43,58,47
100128006,8,8,6,14,10,11,15,9,6
100128023,0,2,0,2,0,4,2,0,0
100128025,2,0,2,7,7,5,3,4,2
100128054,27,26,14,11,20,10,19,26,27
100128055,11,4,3,4,6,9,6,24,7
100128071,2,0,0,0,1,0,2,4,3
100128076,2,0,9,11,2,8,7,6,10
100128081,230,180,138,143,81,81,62,168,99
100128098,9,9,2,2,13,3,0,0,1
100128108,7,12,6,6,11,21,16,21,8
100128124,6,2,4,0,8,3,2,10,7
100128126,44,31,46,35,16,30,28,36,26
100128127,48,30,48,59,44,27,41,38,26
100128139,0,0,0,0,0,0,2,1,1
100128164,55,38,17,32,56,41,114,45,69
100128176,49,26,20,19,10,9,28,30,25
100128191,18,17,6,22,20,13,24,52,17
100128233,4,6,2,4,5,3,9,5,1
100128239,239,114,293,330,176,170,253,182,264
100128252,1046,785,955,1699,1253,935,1180,1509,1101
100128264,1199,759,630,1749,1135,690,1199,1210,969
100128285,32,14,30,33,14,15,30,39,16
100128288,399,160,125,287,252,187,316,370,169
100128292,0,0,0,1,0,0,0,0,0
100128317,14,3,3,0,5,6,3,5,5
100128327,12,4,7,4,11,2,6,4,6
100128338,1,2,3,0,0,0,2,0,0
100128361,109,59,60,44,41,44,68,107,46
100128378,4,3,2,4,0,1,0,2,0
100128385,14,4,9,20,10,5,16,30,9
100128398,386,233,364,382,301,179,341,399,226
100128420,1,4,3,0,6,2,4,10,7
100128494,171,146,107,117,97,89,127,220,80
100128496,5,6,1,2,2,0,0,1,2
100128505,140,96,65,64,39,61,52,109,62
100128511,2,6,5,8,4,7,17,8,17
100128531,160,57,114,155,99,87,76,121,69
100128553,3,4,2,3,6,4,2,3,2
100128554,256,105,125,324,138,62,231,296,137
100128560,14,15,4,12,4,1,9,5,10
100128568,10,4,8,4,23,10,7,5,19
100128569,44,36,34,60,49,23,24,67,27
100128573,6,3,3,3,2,4,11,2,2
100128590,763,468,295,503,422,463,645,772,545
100128593,0,0,3,10,4,1,0,2,6
100128627,75,35,59,58,34,21,38,68,43
100128640,91,50,52,58,42,49,52,61,57
100128653,46,33,38,59,23,27,31,44,33
100128675,81,27,27,62,35,94,58,213,70
100128682,0,0,0,1,1,2,1,3,1
100128714,47,10,5,29,11,19,21,33,17
100128731,322,226,267,400,384,281,322,490,307
100128750,0,4,1,2,1,0,1,5,4
100128770,7,7,11,3,6,2,7,4,1
100128782,1205,483,647,702,743,630,852,989,632
100128787,2,0,0,0,0,0,2,0,3
100128788,10,9,17,13,7,10,14,18,3
100128811,11,9,15,14,10,10,13,25,18
100128822,118,107,99,76,121,107,196,201,88
100128881,30,31,23,41,16,22,18,34,8
100128885,84,18,9,44,63,36,28,49,30
100128890,179,147,218,181,127,136,103,215,93
100128893,0,0,0,2,2,0,0,0,0
100128905,0,0,0,0,2,0,0,0,0
100128927,14,15,9,27,10,12,12,28,16
100128946,100,57,90,67,39,37,63,82,31
100128977,0,5,1,0,2,2,0,2,0
100128993,0,2,0,0,1,0,2,4,0
100128998,0,0,0,0,0,0,1,1,0
100129027,14,5,12,13,6,10,9,12,4
100129034,2260,1360,888,1940,2003,962,1778,2492,1274
100129046,50,38,40,26,26,9,39,43,36
100129055,59,43,37,45,32,32,60,60,54
100129066,0,4,2,0,0,0,0,0,2
100129075,44,16,28,23,21,9,30,38,39
100129083,0,0,0,0,0,0,0,0,0
100129094,0,0,0,0,3,1,2,4,0
100129098,0,2,0,3,5,0,2,0,0
100129128,4,5,7,6,4,6,8,9,3
100129138,20,15,29,24,10,8,8,19,16
100129148,31,16,13,16,11,21,16,23,8
100129175,2,2,0,0,0,2,0,0,0
100129195,160,145,92,162,142,90,140,167,143
100129196,25,4,3,13,13,17,16,32,4
100129203,126,106,58,104,96,54,119,128,90
100129213,35,15,0,12,17,4,18,15,13
100129215,65,40,70,68,20,32,45,42,29
100129216,29,7,14,13,9,20,14,29,19
100129223,902,486,541,473,511,378,642,670,412
100129239,0,0,0,0,0,0,0,0,0
100129250,102,94,95,154,102,79,116,139,90
100129269,9,7,10,15,6,4,7,9,9
100129271,0,0,0,0,0,0,0,0,0
100129278,9,2,0,2,10,0,4,0,17
100129307,2,2,0,0,0,0,0,0,0
100129316,46,19,24,28,13,9,9,35,14
100129345,0,0,0,0,0,1,0,0,0
100129354,5,3,4,3,2,6,3,4,4
100129361,4,5,4,5,0,2,4,5,2
100129385,8,1,0,1,0,0,2,1,2
100129387,1506,823,840,773,543,666,1250,957,789
100129396,65,59,32,20,10,33,53,36,51
