Source,Target,Similarity,SourceSignature,SourceCellLine,SourceTime,TargetSignature,TargetCellLine,TargetConcentration,TargetTime
Mouse_PFC_Overall,GSK-J1,0.37147506,InputSig,NA,NA,LINCSCP_164638,SKL.C,0.37uM,24h
Mouse_PFC_Overall,MEGXM0_000433,0.32078789,InputSig,NA,NA,LINCSCP_239845,MCF7,10uM,24h
Mouse_PFC_Overall,AZ628,0.32051448,InputSig,NA,NA,LINCSCP_29456,MCF10A,0.5uM,24h
Mouse_PFC_Overall,C24H25CLFN5O3,0.31278042,InputSig,NA,NA,LINCSCP_131633,MCF10A,0.04uM,3h
Mouse_PFC_Overall,Neratinib,0.29714915,InputSig,NA,NA,LINCSCP_29818,MCF10A,0.1uM,6h
Mouse_PFC_Overall,Selumetinib,0.29274398,InputSig,NA,NA,LINCSCP_29772,MCF10A,0.1uM,6h
Mouse_PFC_Overall,BRD-K94114461,0.28566665,InputSig,NA,NA,LINCSCP_277163,PC3,5uM,24h
Mouse_PFC_Overall,BRD-K75693278,0.28226858,InputSig,NA,NA,LINCSCP_63526,VCAP,5uM,24h
Mouse_PFC_Overall,IOX2,0.27718983,InputSig,NA,NA,LINCSCP_149944,NPC.TAK,10uM,24h
Mouse_PFC_Overall,SB590885,0.26794082,InputSig,NA,NA,LINCSCP_130679,MCF10A,10uM,24h
Mouse_PFC_Overall,852475-26-4,0.26765219,InputSig,NA,NA,LINCSCP_148973,NPC,10uM,24h
Mouse_PFC_Overall,Lofexidine,0.26478771,InputSig,NA,NA,LINCSCP_75191,A375,10uM,24h
Mouse_PFC_Overall,Tomelukast,0.2640609,InputSig,NA,NA,LINCSCP_161089,PC3,0uM,24h
Mouse_PFC_Overall,CGP-37157,0.26349895,InputSig,NA,NA,LINCSCP_33169,MCF7,10uM,6h
Mouse_PFC_Overall,PD-98059,0.26254374,InputSig,NA,NA,LINCSCP_25792,HT29,10uM,6h
Mouse_PFC_Overall,CI-1040,0.26242748,InputSig,NA,NA,LINCSCP_29685,MCF10A,0.1uM,6h
Mouse_PFC_Overall,Gemfibrozil,0.25861748,InputSig,NA,NA,LINCSCP_102849,HELA,10uM,24h
Mouse_PFC_Overall,BRD-K28623651,0.25781201,InputSig,NA,NA,LINCSCP_48305,PC3,5uM,24h
Mouse_PFC_Overall,BRD-K77326001,0.25475113,InputSig,NA,NA,LINCSCP_64321,VCAP,5uM,24h
Mouse_PFC_Overall,PD-0325901,0.2531725,InputSig,NA,NA,LINCSCP_164855,SKL.C,0.04uM,24h
Mouse_PFC_Overall,Nomifensine,0.25200311,InputSig,NA,NA,LINCSCP_243353,MCF7,10uM,24h
Mouse_PFC_Overall,CHEMBL1673039,0.24895965,InputSig,NA,NA,LINCSCP_151455,PC3,10uM,24h
Mouse_PFC_Overall,Cholic acid,0.24835962,InputSig,NA,NA,LINCSCP_75557,A375,0.37uM,24h
Mouse_PFC_Overall,TAE-684,0.24780763,InputSig,NA,NA,LINCSCP_20279,HCC515,10uM,6h
