Gene,SRR5962043,SRR5962046,SRR5962050,SRR5962052,SRR5962054,SRR5962057,SRR5962058,SRR5962063
A1BG,0.53511875,0.405813446,0.480535986,0.603978708,0.874547133,0.691248499,0.737051981,0.552939484
A1BG-AS1,1.091571996,0.630585877,0.841128903,0.584365503,0.973069819,0.647187651,0.808369559,1.058559646
A1CF,0.986015315,1.474277611,1.028991174,0.47390643,0.462106855,0.641419312,0.831978641,1.499193099
A2M,147.1574668,169.5281141,104.34377,218.8648972,201.8188678,248.9531081,227.045821,154.1146079
A2M-AS1,2.286259,2.106383206,1.483917446,2.22882661,1.104984969,2.988450462,2.044110343,2.287830561
A2ML1,8.197767162,6.832252753,9.790802343,7.425799536,12.38625885,10.28270044,9.974288348,5.407811449
A2MP1,1.333886412,1.07962984,0.808053168,0.804653959,1.129866098,1.826597536,1.486439085,1.041146587
A4GALT,1.00824865,0.735614224,0.337871042,0.371084263,0.741503516,1.115000191,0.821330403,0.413666103
AA06,4.547347084,1.165366274,1.015898144,0.624826959,1.032187651,1.919831345,1.932688062,1.962433574
AAAS,2.417544498,2.117461346,2.376719929,2.38324086,2.738196182,3.097835033,2.796336977,2.151154162
AACS,46.96010811,40.2787042,40.11969094,29.75459554,29.56583914,34.23688442,37.56598706,41.2743058
AACSP1,0.774282066,1.321167805,0.324334043,0.854919735,0.237264916,0.68610709,0.959819699,1.535423676
AADAT,13.34290028,10.42628952,12.56870175,10.48161893,12.63778015,12.31504514,10.31077266,9.325868231
AAGAB,48.79591824,66.99554589,73.19104488,62.94018012,65.97672551,61.75126403,64.41964214,68.92684413
AAK1,285.0831546,276.3120933,261.7522315,232.4151651,205.3481933,244.2159429,239.1630324,399.1884447
AAMDC,3.810330649,2.8809776,3.672695679,3.604242311,3.17491255,5.257631015,4.048613632,2.83119032
AAMP,25.60790399,26.91327684,26.49263086,26.81884942,27.09499233,29.79652941,30.43065425,30.45665109
AANAT,0.056196337,0.29758518,0.265860396,0.124097817,0.298486311,0.143414545,0.328408481,0.207507023
AAR2,8.944061262,7.016722252,6.503763498,8.588063281,7.484610298,7.298518369,9.010619184,9.133191414
AARD,1.284408978,0.906870683,1.386187112,0.680723451,0.27550894,0.546307644,0.989429849,0.974893885
AARS1,216.3769721,205.7389065,220.9107947,220.2028448,179.6708132,229.4437379,210.7377267,231.7282989
AARS2,16.94914641,16.32438718,21.27988206,11.82360929,18.5495775,13.16125072,15.97728537,13.02821164
AARSD1,0,0.142858393,0.259245657,0.119148506,0.096445858,0.229491396,0.035830771,0.664103859
AASDH,31.05269466,33.83993207,27.45247275,39.05218227,34.52508449,38.58303008,41.59320176,26.76761757
AASDHPPT,67.29840193,126.428511,107.9873999,142.4177093,88.00115537,102.1283118,119.391114,121.539077
AASS,55.26826019,46.36201297,36.73148813,61.52657685,52.17417139,76.39578337,61.43359821,42.40603872
AATBC,2.49343607,0.89169052,0.842589115,0.629283468,2.116901036,1.542621854,0.653739584,1.275442931
AATK,68.0951825,35.18275769,32.31003977,31.90050065,42.90490608,53.48357106,48.28112196,35.49796882
ABAT,114.1426529,126.8550145,127.5320614,99.11104196,125.7705066,104.541487,113.3142856,117.7313312
ABCA1,32.87773595,29.34910825,24.85470891,24.46028971,30.56481865,31.67368559,40.15806815,21.39127227
ABCA10,11.73869427,15.53255796,13.9515428,14.28689697,11.42535874,13.43369266,11.98525011,16.73371721
ABCA11P,11.0617037,8.730405359,9.173144923,9.434050223,13.6235825,10.59968074,11.1455213,13.84999382
ABCA12,10.84178792,14.2062912,5.565771834,7.241297004,2.133320077,6.139132147,10.10631918,10.37001025
ABCA13,0.753681105,1.188456268,0.401130599,0.41053882,0.29767162,1.047192186,1.868564449,2.308855091
ABCA17P,4.951173449,2.689099169,3.697476513,2.677337021,4.992491479,2.915890683,3.810707853,4.140882888
ABCA2,305.4515061,160.2729803,138.2446159,147.1985522,195.1937237,235.2858519,193.4402209,178.142537
ABCA3,96.00921292,58.60187122,75.13331613,44.00865123,58.31020423,54.11306406,57.32114638,77.14827742
ABCA4,1.392166262,0.786363093,0.839744044,0.467294674,1.308253789,5.42401052,0.68044434,0.365555535
ABCA5,73.59219877,87.01403782,84.28757809,93.76675935,56.05679117,91.7265299,77.45861769,111.5905746
ABCA6,20.53709206,23.00444682,18.79063416,31.78797759,12.68108539,29.13193127,15.07627248,23.82086015
ABCA7,9.671748375,4.742250895,7.396557835,3.731062706,9.025364681,4.189940574,5.962954525,4.384552668
ABCA8,101.4207121,68.60113203,47.09805793,131.1257464,56.10063953,129.0624212,85.68862226,50.19650871
ABCA9,28.91891445,23.57436067,21.91299288,18.43064157,19.48224204,25.05617978,18.49333585,28.93549527
ABCB1,51.24649935,31.89181356,26.94685248,32.28527233,34.98277457,47.63430012,39.5239162,34.85628547
ABCB10,18.39822188,15.11945959,18.85998099,21.09459081,18.10818686,18.50124974,20.09898763,19.02110976
ABCB11,1.412725898,0.904682289,0.077715044,0.246674642,0.402701981,0.810496958,0.663264451,0.566136332
ABCB4,1.907190293,2.042331331,2.443665656,2.470822678,2.662377895,2.244320157,2.566847331,1.617136755
ABCB6,16.8840409,11.96450716,13.39756039,10.15504044,15.16397527,15.72078172,15.13475363,13.55215197
ABCB7,17.32624525,20.22842462,20.84725609,24.19806139,19.10797262,23.18783283,19.0185867,16.34428301
ABCB8,15.88518356,8.37243508,9.790869549,7.509890675,12.85002604,11.50112058,10.79957433,10.59569614
