Geneid,featureCounts on data 326: Counts_HISAT2 on data 22 and data 21: aligned reads (BAM),featureCounts on data 334: Counts_HISAT2 on data 30 and data 29: aligned reads (BAM),featureCounts on data 336: Counts_HISAT2 on data 32 and data 31: aligned reads (BAM),featureCounts on data 344: Counts_HISAT2 on data 40 and data 39: aligned reads (BAM),featureCounts on data 348: Counts_HISAT2 on data 44 and data 43: aligned reads (BAM),featureCounts on data 352: Counts_HISAT2 on data 48 and data 47: aligned reads (BAM),featureCounts on data 358: Counts_HISAT2 on data 54 and data 53: aligned reads (BAM),featureCounts on data 360: Counts_HISAT2 on data 56 and data 55: aligned reads (BAM),featureCounts on data 372: Counts_HISAT2 on data 68 and data 67: aligned reads (BAM)
10005,252,257,406,561,438,430,541,409,470
10006,3177,3022,3348,5710,5601,4963,6643,4629,5140
10007,676,715,878,1688,1102,1130,1731,1241,1441
100073347,186,121,145,187,130,138,162,182,140
10008,87,108,85,162,214,147,143,155,128
10009,2053,2196,2389,3845,3065,3131,4607,3204,3707
100093630,241,587,581,894,922,728,759,575,524
100093631,659,388,612,1171,772,709,914,867,578
100093698,3,0,5,8,2,9,7,2,3
1001,122,52,107,79,114,108,165,99,180
10010,1509,1324,1708,3056,2393,2160,3419,2237,2461
100101115,0,0,0,0,0,0,0,0,0
100101116,0,0,0,0,0,0,0,0,0
100101117,0,0,0,0,0,0,0,0,0
100101118,0,0,0,0,0,0,0,0,0
100101120,0,0,0,0,0,0,0,0,0
100101121,0,0,0,0,0,0,0,0,0
100101148,4,7,4,5,6,4,3,1,2
100101266,180,38,88,155,148,154,144,149,231
100101267,944,199,407,465,491,529,622,625,969
100101440,17,13,28,29,36,143,10,20,47
100101467,1318,654,831,1585,1397,1387,1763,1352,1844
100101478,12,5,0,12,17,10,12,5,3
100101490,103,32,107,149,90,116,136,99,148
100101938,266,180,286,147,320,276,388,92,104
10011,268,199,269,432,362,386,453,287,498
100113378,11,2,9,8,5,5,7,14,9
100113379,2,0,1,0,1,4,1,3,3
100113380,0,0,0,0,0,0,0,0,0
100113381,0,4,5,7,5,10,4,5,13
100113382,42,5,10,5,13,6,14,38,24
100113384,2,0,0,1,1,0,6,3,0
100113386,54,6,20,31,33,31,44,26,35
100113389,2,2,6,5,4,11,7,10,7
100113391,1,0,1,4,0,0,3,0,2
100113392,7,16,5,27,18,8,24,7,8
100113393,13,5,4,10,8,7,10,7,14
100113402,1,0,0,1,2,2,3,5,2
100113403,11,2,9,14,5,10,28,29,30
100113404,0,0,0,0,0,0,2,0,0
100113407,4835,4430,4247,9362,7752,6592,11252,7863,8631
100124412,0,0,0,0,0,0,0,1,0
100124516,7,4,10,14,13,5,6,14,12
100124533,11,4,3,4,6,4,13,8,10
100124534,0,0,0,0,0,0,0,0,0
100124535,1,2,0,2,1,1,3,9,0
100124536,21,3,13,13,3,7,27,16,24
100124537,2,2,3,2,0,4,5,7,0
100124538,2,0,2,5,1,0,6,2,8
100124539,2,0,5,6,4,2,2,4,6
100124540,3,0,4,2,0,1,2,0,0
100124541,5,2,2,2,8,2,2,5,0
100124700,0,0,0,0,0,0,0,0,2
100125288,78,25,49,65,92,57,54,44,50
100125556,21,26,73,41,30,34,26,19,52
100126270,22,6,23,43,19,31,25,26,38
100126296,0,0,0,0,2,0,0,0,0
100126297,8,4,4,6,3,2,1,11,2
100126299,0,0,2,0,1,0,0,6,2
100126301,0,0,0,0,0,0,0,0,0
100126302,0,0,0,0,0,0,0,0,0
100126303,0,0,0,0,0,0,0,0,2
100126304,0,0,0,0,0,0,1,0,0
100126306,0,0,0,0,0,0,0,0,0
100126307,0,0,0,0,0,0,0,0,0
100126308,1,0,1,3,1,3,1,1,2
100126309,0,0,1,0,0,0,0,0,0
100126310,2,1,1,3,2,1,0,3,0
100126311,0,0,0,0,0,0,0,0,0
100126313,1,3,3,8,1,5,6,7,13
100126314,0,0,0,0,0,0,0,0,0
100126315,0,0,0,0,1,0,0,0,0
100126316,0,1,2,1,1,0,0,0,1
100126317,0,0,0,0,0,1,0,0,1
100126318,0,0,0,0,0,0,0,0,0
100126319,0,0,0,0,0,0,0,0,0
100126320,5,3,3,6,11,10,3,3,8
100126321,0,0,0,0,0,0,0,0,0
100126323,0,0,0,0,0,0,0,0,0
100126324,0,0,0,0,0,0,0,0,0
100126325,0,0,0,0,0,0,0,0,0
100126326,0,0,0,0,0,0,0,0,0
100126327,0,0,0,0,0,0,0,0,0
100126328,3,0,3,0,1,1,1,1,2
100126329,0,0,0,1,0,0,0,0,0
100126330,0,0,0,0,0,0,0,0,0
100126331,0,2,1,0,0,4,1,6,1
100126332,0,0,0,0,0,0,0,1,0
100126333,3,1,2,1,1,2,4,3,3
100126334,0,0,0,0,0,0,0,1,0
100126335,0,1,0,0,4,0,0,0,1
100126336,0,0,0,0,1,1,1,0,1
100126337,0,0,0,0,0,0,0,0,0
100126338,0,0,0,0,0,0,0,0,0
100126339,0,0,0,0,0,0,0,0,0
100126340,0,0,0,2,0,0,0,0,0
100126341,0,0,0,0,0,0,0,0,0
100126342,1,0,0,0,0,0,0,0,1
100126343,8,1,3,11,6,14,8,4,7
100126345,3,0,2,3,1,3,0,1,0
100126346,1,0,0,0,0,0,0,0,0
100126347,1,0,0,0,0,0,0,2,1
100126348,3,3,2,7,6,1,6,2,2
100126349,13,4,7,11,11,13,14,3,13
100126350,0,0,1,3,2,0,2,3,0
100126351,0,0,0,0,0,0,0,0,0
100126352,0,0,0,0,0,0,0,0,0
100126354,0,0,0,0,0,0,0,0,0
100126355,0,0,1,1,1,3,1,0,2
100126356,0,0,0,0,0,0,0,0,0
100126447,2,0,0,2,0,2,0,1,2
100126476,0,0,0,0,0,0,0,0,0
100126481,0,0,0,0,0,0,0,0,0
100126484,0,0,0,0,0,0,0,1,0
100126488,6,8,3,7,43,7,16,58,13
100126510,0,0,0,0,0,0,0,0,0
100126512,8,11,5,13,31,8,19,19,3
100126514,0,0,0,1,0,1,0,0,0
100126517,1,0,0,1,3,0,2,0,0
100126520,14,1,2,6,11,8,9,7,16
100126533,2,0,2,2,2,0,1,5,1
100126693,0,0,0,0,0,0,0,0,0
100126780,0,0,0,0,2,0,0,0,0
100126781,0,0,0,0,0,0,0,0,0
100126784,329,96,199,290,263,239,279,261,328
100126791,214,16,60,102,78,84,137,120,249
100126793,202,84,94,148,171,163,190,119,222
100126798,0,0,0,0,0,0,0,0,0
100126799,0,0,0,0,0,0,0,0,0
100126800,0,0,0,0,0,0,0,0,0
100127206,10,9,8,6,4,2,14,4,15
100127888,6,3,3,3,3,7,1,1,8
100127889,74,69,54,97,104,89,158,102,133
100127967,0,0,0,0,3,0,2,0,0
100127983,64,70,94,114,75,81,122,58,89
100128006,7,6,9,6,3,7,1,6,9
100128023,2,0,0,0,0,2,2,4,1
100128025,3,3,1,8,12,3,8,0,6
100128054,23,12,19,39,26,15,39,18,41
100128055,7,10,3,4,11,8,17,17,17
100128071,2,0,0,2,0,4,1,1,1
100128076,4,0,0,0,0,10,3,5,10
100128081,66,30,53,59,52,54,42,76,147
100128098,9,2,1,12,0,11,4,6,3
100128108,11,13,5,28,18,20,23,37,24
100128124,6,4,6,2,8,0,0,3,0
100128126,17,15,13,27,23,21,27,18,29
100128127,4,0,2,7,2,1,4,5,8
100128139,0,0,0,0,0,0,0,0,0
100128164,27,11,29,53,31,39,91,27,49
100128176,67,8,20,70,42,38,34,32,54
100128191,6,7,9,23,28,24,21,34,25
100128233,4,0,0,4,8,0,7,2,3
100128239,84,70,118,142,127,115,191,112,225
100128252,544,510,884,1777,1144,1025,1085,830,1214
100128264,635,597,789,1213,1243,723,1480,1201,1395
100128285,15,1,1,4,8,10,2,3,3
100128288,421,229,265,421,359,393,473,315,367
100128292,0,0,0,0,0,0,0,0,1
100128317,0,0,2,0,2,0,0,0,0
100128327,2,7,5,4,9,15,4,12,5
100128338,0,0,0,0,0,0,0,0,2
100128361,151,24,83,64,63,99,155,94,142
100128378,0,0,1,0,0,0,3,1,2
100128385,2,3,2,9,14,13,17,18,15
100128398,380,145,321,349,298,326,416,316,446
100128420,0,2,0,2,5,2,3,3,2
100128494,254,53,86,192,174,145,209,174,204
100128496,0,0,0,2,0,2,0,0,0
100128505,109,18,46,77,62,60,89,60,134
100128511,7,4,5,16,6,13,15,11,24
100128531,167,61,148,194,107,191,170,136,185
100128553,21,4,2,15,18,18,7,8,4
100128554,3,3,4,27,12,9,9,23,12
100128560,8,2,2,5,0,1,5,2,4
100128568,11,4,6,4,13,5,13,6,6
100128569,79,16,30,48,36,38,32,46,43
100128573,9,2,5,3,12,6,6,6,7
100128590,970,384,503,656,599,674,832,815,709
100128593,2,0,0,2,2,1,0,0,0
100128627,86,13,36,41,33,52,53,36,98
100128640,54,13,31,42,50,46,91,44,69
100128653,14,2,4,20,4,14,18,6,24
100128675,104,6,9,54,48,57,121,126,191
100128682,2,1,1,1,1,1,3,0,1
100128714,38,31,23,34,54,23,23,53,25
100128731,189,182,239,417,438,326,381,321,337
100128750,4,0,0,0,8,7,0,2,5
100128770,4,0,1,5,0,1,2,2,4
100128782,698,317,538,653,718,763,1010,665,757
100128787,13,3,3,2,3,16,15,8,19
100128788,14,5,13,18,7,10,21,13,14
100128811,18,20,26,40,31,29,35,31,39
100128822,64,79,94,46,106,105,211,117,85
100128881,33,10,27,16,22,24,11,13,21
100128885,52,17,23,39,61,66,59,28,51
100128890,84,32,97,74,141,103,84,116,62
100128893,0,0,0,0,0,0,0,0,0
100128905,0,2,0,0,3,0,2,0,0
100128927,13,5,6,27,13,6,26,7,11
100128946,112,7,83,36,99,77,129,85,123
100128977,0,2,0,0,0,0,0,0,0
100128993,6,2,1,3,0,2,7,2,2
100128998,0,0,0,0,1,0,0,1,0
100129027,23,7,7,11,15,23,16,13,12
100129034,2014,633,1157,1685,2026,1662,1618,1720,1884
100129046,108,25,46,109,85,94,88,85,124
100129055,79,25,55,76,78,78,104,60,102
100129066,2,4,0,0,0,0,5,0,0
100129075,39,26,33,48,61,39,77,52,44
100129083,0,0,0,0,0,0,0,2,0
100129094,1,5,6,3,10,13,0,7,5
100129098,2,0,0,2,0,0,2,0,0
100129128,21,16,19,56,22,22,47,24,40
100129138,5,5,24,12,11,8,11,18,9
100129148,22,4,15,37,23,31,36,23,39
100129175,0,4,0,6,0,0,0,0,6
100129195,143,123,128,158,157,172,143,128,225
100129196,11,2,5,27,3,15,22,20,16
100129203,99,114,120,192,138,180,176,149,181
100129213,15,3,17,31,32,31,45,4,17
100129215,57,11,29,28,37,28,20,24,63
100129216,20,16,9,25,36,23,44,37,36
100129223,1901,673,1376,1637,1316,1391,1733,1684,2063
100129239,0,0,0,0,0,0,0,0,0
100129250,96,47,96,152,138,94,126,103,128
100129269,3,2,0,4,2,4,4,3,1
100129271,0,0,0,0,0,0,0,0,0
100129278,4,8,0,2,1,2,2,6,8
100129307,1,0,0,0,2,0,0,0,0
100129316,23,9,16,21,12,51,20,22,25
100129345,3,1,2,3,6,3,6,3,11
100129354,7,0,5,3,10,4,3,7,5
100129361,6,0,1,0,0,0,4,2,0
100129385,4,6,1,2,0,6,4,0,11
100129387,1914,647,1113,1233,1078,1481,2341,1111,2088
100129396,44,10,12,11,8,32,69,11,21
100129405,61,19,48,66,76,54,42,53,34
100129407,0,0,1,0,0,0,2,1,1
100129424,33,20,34,34,48,36,53,26,56
100129427,0,5,0,0,0,3,0,0,0
100129434,55,39,23,96,63,64,70,90,94
100129460,528,405,656,976,1013,824,1154,797,854
100129461,74,29,46,102,73,49,69,69,123
100129464,22,16,13,15,36,31,12,28,22
100129480,276,85,151,238,179,225,269,246,319
100129482,4389,2167,3156,3933,4173,3570,5154,4059,4750
100129503,20,6,11,3,7,4,8,14,5
100129515,0,0,0,1,0,2,1,0,0
100129518,39,23,25,31,30,38,64,34,40
100129520,2,0,5,9,2,4,0,4,9
100129528,0,2,0,0,0,1,2,0,1
100129534,52,15,21,56,45,52,57,40,81
100129543,64,71,64,151,185,74,170,68,69
100129550,587,244,366,523,500,563,869,651,726
100129583,87,63,89,174,88,100,128,97,156
100129597,2,0,9,8,4,8,2,4,1
100129603,0,0,0,0,0,0,0,3,0
100129617,73,11,26,31,45,42,23,53,53
100129620,38,30,71,59,53,62,65,55,48
100129636,0,0,0,0,0,0,0,0,0
100129654,11,2,5,16,4,12,17,7,5
100129662,26,10,30,53,30,41,51,34,48
100129669,0,0,0,0,0,0,0,0,0
100129697,11,0,4,11,4,14,5,6,11
100129716,27,17,28,41,31,30,35,24,31
100129722,0,0,0,0,0,0,1,0,0
100129726,13,10,3,3,5,3,19,8,17
100129792,256,290,281,465,506,416,787,508,551
100129794,17,20,21,49,57,23,55,45,67
100129827,88,44,41,117,111,107,51,67,104
100129842,4212,3507,4696,6007,5557,4793,8466,5708,7245
100129845,3,2,2,5,2,1,3,0,1
100129858,56,29,60,83,37,65,80,68,61
100129860,0,2,3,0,0,3,2,4,0
100129917,351,138,189,345,257,303,249,256,317
100129924,15,3,3,7,7,4,5,13,22
100129931,23,11,18,23,15,31,25,21,33
100129935,0,0,0,0,2,0,0,2,0
100129940,18,7,3,11,19,37,37,17,16
100129961,89,42,84,154,196,90,160,96,129
100129973,57,41,63,109,67,69,83,69,100
10013,1086,558,819,1420,1101,1147,1301,1122,1563
100130015,47,25,35,57,41,46,37,26,44
100130017,0,0,0,1,0,0,0,0,0
100130075,19,8,10,5,13,17,18,17,7
100130086,18,2,40,29,10,29,16,9,25
100130093,124,63,108,123,100,121,135,112,139
100130097,537,160,322,285,262,339,424,327,565
100130100,261,92,158,184,148,223,199,202,341
100130148,8,0,6,4,0,1,2,4,0
100130155,2020,1430,1644,2566,1931,2100,2954,2353,3016
100130197,25,3,10,13,16,22,16,25,24
100130231,47,34,32,61,68,41,73,41,94
100130238,3,0,0,1,9,4,0,2,0
100130264,52,14,38,50,42,68,48,42,41
100130274,0,0,0,0,0,0,0,0,0
100130275,2,0,0,2,2,0,3,0,0
100130298,9,8,2,18,11,14,21,15,13
100130301,9,7,1,6,11,3,16,6,4
100130302,1,0,2,4,6,4,0,3,0
100130311,118,31,61,76,83,81,78,107,138
100130331,24,6,26,18,17,21,21,46,29
100130342,23,0,4,8,6,5,1,5,12
100130345,27,11,15,81,82,64,87,51,41
100130348,35,11,11,16,18,10,5,16,28
100130357,934,204,379,462,315,454,420,485,822
100130361,0,0,0,0,0,0,0,0,0
100130370,369,49,62,237,212,181,487,403,452
100130386,2,0,0,0,2,0,0,0,0
100130417,8,1,3,3,10,1,4,4,16
100130418,178,114,134,174,186,192,164,173,201
100130449,71,93,99,81,112,140,69,77,44
100130451,6,6,11,30,10,8,24,14,18
100130452,2,0,0,2,4,0,2,2,1
100130460,12,2,5,2,7,0,6,9,7
100130476,1,6,2,4,11,0,5,7,13
100130480,0,0,0,1,2,1,0,0,2
100130519,12,11,17,19,13,8,19,13,17
100130520,0,0,2,1,0,0,0,0,3
100130522,176,41,88,90,118,110,99,97,108
100130539,22,3,0,14,26,32,25,22,23
100130557,255,151,193,289,222,306,396,349,420
100130581,54,28,26,74,48,46,56,55,49
100130587,16,7,10,5,14,13,8,7,13
100130613,1,0,0,0,0,2,0,0,0
100130673,38,13,25,24,22,36,15,25,23
100130691,310,127,140,410,326,281,402,325,443
100130700,0,0,0,0,0,0,0,0,0
100130705,60,61,76,108,62,41,75,89,90
100130717,2,1,8,0,9,6,7,11,10
100130733,142,37,73,188,132,109,230,108,114
100130742,63,26,40,76,80,45,86,78,74
100130744,121,39,72,68,92,104,95,88,129
100130771,131,103,171,219,158,192,242,163,152
100130776,13,5,2,5,11,12,9,5,10
100130827,2,0,0,0,0,0,0,0,0
100130849,0,0,0,0,0,0,0,0,0
100130855,131,97,101,150,104,131,128,137,155
100130872,292,52,139,155,117,173,88,118,281
100130880,35,3,9,12,9,20,12,16,19
100130887,172,48,87,175,158,4,187,143,166
100130889,0,0,0,0,0,0,0,0,0
100130890,312,196,262,436,410,324,460,271,417
100130894,172,72,127,118,196,212,161,108,127
100130899,16,4,12,26,28,12,11,15,19
100130933,57,17,29,43,43,53,57,80,76
100130934,144,44,110,139,101,164,140,142,151
100130935,0,0,0,0,0,0,0,1,0
100130950,152,87,112,155,129,128,140,108,207
100130954,0,0,0,1,0,0,0,0,0
100130958,9,2,9,6,2,6,17,4,11
100130964,0,0,0,0,0,0,0,0,0
100130967,55,15,33,22,37,42,40,20,45
100130987,33,7,23,37,31,16,33,16,36
100130988,11,7,8,6,8,7,4,4,4
100130992,682,971,947,1428,1349,1126,1980,1427,1440
100131017,460,141,356,481,384,314,464,389,483
100131047,0,2,0,0,0,3,1,0,0
100131060,28,8,11,26,18,23,39,25,42
100131067,513,205,207,513,429,461,581,391,321
100131089,236,102,155,266,200,178,291,200,402
100131094,15,4,7,18,7,8,11,14,12
100131096,210,51,69,210,92,126,222,143,246
100131107,0,0,0,0,1,0,0,2,2
100131117,352,172,193,357,293,317,358,271,356
100131137,0,0,0,2,0,2,2,0,0
100131138,0,0,0,0,0,0,0,2,0
100131176,26,15,25,32,11,22,31,16,15
100131187,198,403,519,637,628,529,589,481,376
100131193,60,8,52,37,60,55,51,31,82
100131205,234,299,266,381,567,345,407,258,356
100131208,121,126,145,196,224,221,177,196,239
100131211,709,357,497,830,758,742,1135,918,1065
100131213,205,107,158,256,145,181,247,199,297
100131234,108,98,65,249,113,118,249,207,250
100131244,1021,563,792,1120,1098,1003,1396,1345,1452
100131257,31,9,20,42,21,28,18,18,15
100131289,22,11,9,17,19,22,18,33,9
100131303,2,0,0,0,0,5,0,2,0
100131315,0,0,0,0,0,0,0,0,0
100131320,70,20,25,47,36,12,78,127,81
100131347,37,16,12,12,20,14,11,19,12
100131366,2,1,0,0,2,0,4,8,6
100131378,5,0,2,1,2,0,7,2,2
100131390,20,14,12,24,15,14,19,15,32
100131434,353,70,202,210,231,329,277,272,435
100131439,0,0,0,0,0,0,0,0,0
100131454,42,43,49,46,52,49,49,57,53
100131496,129,29,48,74,41,82,62,81,124
100131532,97,59,65,107,97,109,104,142,121
100131539,38,3,10,34,27,24,52,39,49
100131551,2,0,0,0,0,0,0,0,0
100131561,29,9,10,27,19,22,19,17,10
100131564,1297,695,865,1364,1336,1521,1589,1152,1779
100131608,0,0,0,0,0,0,0,0,0
100131626,26,6,8,20,8,18,16,13,17
100131635,20,4,2,13,7,6,16,5,9
100131655,29,11,32,27,23,31,17,34,25
100131691,16,11,29,18,10,15,25,12,42
100131726,0,0,2,0,0,0,0,0,0
100131733,11,6,13,15,8,15,18,15,19
100131755,2584,1132,2052,2604,2161,2554,2770,2606,3095
100131801,237,293,404,582,465,382,577,385,486
100131814,41,35,36,47,52,47,73,41,49
100131816,0,0,0,0,0,0,0,0,0
100131825,175,45,92,78,82,65,93,119,103
100131827,1252,728,1048,1513,1356,1505,1875,1230,1711
100131897,248,265,141,556,379,573,718,773,705
100131902,0,0,0,0,0,0,0,0,0
100131980,4,0,1,0,3,3,3,8,2
100131997,49,35,40,57,73,39,54,42,67
100131998,446,157,367,462,412,365,472,428,608
100132004,28,16,26,33,17,27,24,15,36
100132057,241,77,116,277,229,190,225,155,213
100132062,6,0,8,6,9,4,1,9,6
100132074,49,7,27,32,26,37,36,24,38
100132077,72,36,44,102,44,51,102,79,101
100132078,6,0,1,4,4,10,7,10,11
100132101,2,0,2,2,5,3,6,0,2
100132103,33,24,34,47,42,81,59,64,39
100132111,28,12,27,54,26,41,62,73,50
100132116,133,74,121,113,119,161,119,85,153
100132146,1,0,0,0,6,0,0,0,0
100132154,58,12,22,27,46,24,42,9,49
100132159,24,22,40,88,40,38,51,35,67
100132163,51,3,21,30,25,21,35,47,44
100132169,16,0,6,8,10,1,24,17,17
100132174,0,0,0,0,2,0,0,0,0
100132215,136,61,80,93,81,106,115,91,130
100132247,1787,372,891,662,1034,1081,868,1034,1225
100132273,0,0,0,0,0,0,0,0,1
100132287,5,1,4,5,11,3,1,3,4
100132288,40,22,13,30,20,32,77,17,17
100132304,3,1,1,0,3,1,0,2,2
100132341,292,161,358,409,343,425,392,394,523
100132352,848,540,830,1492,1162,1066,1757,1164,1847
100132354,0,3,2,4,0,2,2,0,0
100132356,141,73,106,187,193,157,159,127,171
100132386,0,0,0,0,0,0,0,0,0
100132396,0,0,0,0,0,0,0,0,0
100132399,0,0,0,0,0,0,0,0,0
100132403,24,5,2,6,4,3,0,0,6
100132406,127,40,178,189,165,195,221,133,187
100132417,3,11,10,2,9,15,7,9,10
100132463,1,0,0,6,1,0,2,2,0
100132464,0,0,0,0,0,0,0,0,0
100132476,0,0,0,0,0,0,0,0,0
100132526,67,24,40,46,60,54,31,44,50
100132529,2,7,2,17,5,12,12,3,7
100132541,353,203,362,440,531,461,447,295,633
100132565,3,0,0,0,2,0,0,0,0
100132594,20,8,12,20,11,22,14,7,11
100132596,0,0,0,0,0,0,0,0,0
100132618,71,88,59,129,130,111,186,122,138
100132677,26,28,24,75,74,52,73,26,56
100132707,151,97,119,250,275,171,258,194,266
100132708,7,0,2,5,2,4,2,2,4
100132724,143,78,82,168,161,137,193,185,161
100132735,0,2,0,0,0,0,2,0,0
100132741,12,3,5,12,11,11,14,16,7
100132774,94,22,23,52,39,29,44,58,84
100132781,164,37,92,144,115,148,208,154,178
100132813,558,244,358,353,403,496,391,417,628
100132815,1664,936,1466,2257,1664,1888,2627,1724,2185
100132831,0,0,0,1,0,0,2,0,0
100132832,334,324,432,278,423,302,200,61,197
100132874,84,0,34,16,13,0,53,35,70
100132891,13,19,24,13,14,16,17,16,28
100132911,40,4,10,25,17,20,42,33,30
100132916,4,5,0,0,0,2,12,8,7
100132923,336,95,216,380,259,271,155,137,270
100132929,0,0,0,0,0,0,2,2,0
100132948,22,13,25,15,26,16,35,30,41
100132963,0,0,0,3,1,0,1,3,2
100132967,0,0,2,0,0,2,0,2,0
100132979,2,2,0,0,4,0,0,2,0
100132987,79,26,53,58,67,100,58,56,58
100132994,0,0,0,0,0,0,0,0,0
100133036,11,2,2,1,3,3,5,3,7
100133050,6,1,7,10,5,8,4,0,5
100133053,0,0,0,0,0,0,0,0,0
100133077,84,13,35,23,55,87,32,23,41
100133091,0,0,0,3,0,0,1,0,2
100133093,0,0,0,0,0,0,0,0,0
100133121,36,19,17,36,45,27,35,39,53
100133123,0,1,0,1,0,3,1,0,0
100133161,2,2,5,3,4,5,1,2,4
100133172,16,8,14,50,19,60,45,26,15
100133205,17,11,27,46,46,43,43,17,31
