compound,num_concordant,num_discordant,ratio,HELA,HT29,A375,PC3,HA1E,MCF7,NPC,A549,VCAP,HUH7,FIBRNPC,SKBR3,HEPG2,MDAMB231,BT20,HCC515,MCF10A,NEU,HME1,SKB,ASC,HS578T,LNCAP,YAPC,SW620,AGS,SNGM,WSUDLCL2,HCT116,SW948,RMUGS,HCC15,OV7,H1299,SNUC5,A673,NCIH508,TYKNU,CORL23,SNU1040,U266,NCIH2073,THP1,RMGI,SKMEL28,CL34,NPC.TAK,NPC.CAS9,HUVEC,NCIH596,SKM1,LOVO,MDST8,SKLU1,PHH,HEK293T,PL21,CD34,T3M10,NOMO1,SKMEL1,SKL,ASC.C,SKL.C,HEC108,JHUEM2,U937,COV644,HL60,HT115,JURKAT,EFO27,SNUC4,NCIH1836,HUES3,SW480,NCIH1694,MNEU.E,RKO,DV90,NKDBA,HS27A
Bifemelane,1,1,1,NA,NA,NA,NA,0.38812224,NA,NA,NA,-0.68917421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tozasertib,6,14,0.42857143,NA,0.58417094,0.56318986,-0.67855881,0.49572047,0.5879872,NA,-0.42286924,NA,NA,NA,0.54018469,-0.33186233,-0.48354984,-0.42335561,-0.34809143,-0.42068222,NA,NA,NA,-0.62334841,0.61319,NA,NA,NA,NA,NA,NA,-0.37274106,NA,NA,-0.46963791,NA,NA,NA,-0.33926694,NA,NA,-0.43615093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42765599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.50153302,NA,NA,NA
Enzastaurin,13,4,3.25,-0.39650348,0.53519966,0.5324402,-0.67530078,0.44930083,0.40189305,NA,0.48956313,-0.48840372,NA,NA,0.54376891,0.38660079,0.42583161,0.55389721,0.44800217,-0.44184182,NA,NA,NA,NA,0.3454041,NA,0.41452828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36139595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sulpiride,2,3,0.66666667,-0.3544231,0.57879906,-0.44085204,NA,NA,-0.65057656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41328205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dabrafenib,3,8,0.375,0.52431154,NA,-0.64784886,-0.45613351,NA,0.46307326,-0.41042039,NA,NA,NA,NA,NA,-0.41869449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.32645971,NA,-0.410299,NA,NA,NA,NA,NA,NA,-0.50608958,NA,NA,NA,NA,NA,0.53287426,NA,-0.4127708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamatinib,8,11,0.72727273,NA,NA,-0.43520769,-0.64159141,0.5025128,0.55656255,NA,0.60035437,NA,NA,NA,0.51223273,NA,-0.4337302,0.36109321,-0.38873743,-0.60632026000000006,NA,-0.40835974,NA,NA,0.44757561,-0.48452679,NA,NA,0.45926105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42885432,NA,-0.44441311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4417248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47509417,NA,-0.35878241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acipimox,2,3,0.66666667,-0.36803726,-0.63713939,-0.37316126,NA,0.37243411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53514767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saracatinib,6,9,0.66666667,-0.51099126,-0.47777167,-0.41554115,-0.63390317,0.34565963,0.53599379,NA,0.5222327,-0.32388032,NA,NA,0.58029682,NA,-0.48341266,0.51128156,0.49561542,-0.46631063,NA,-0.33604161,NA,NA,NA,-0.40153242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vemurafenib,7,10,0.7,NA,0.46152025,-0.63196695,NA,-0.58736967,-0.39932971,0.40763416,0.64237253,NA,NA,NA,0.61188869,0.47070087,0.46987941,-0.36489483,NA,-0.52506261,NA,NA,NA,NA,NA,NA,NA,-0.37941922,NA,NA,NA,NA,NA,-0.44878097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35511261,NA,-0.405489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42045062,NA,NA,-0.45126977,NA,NA,NA,NA,NA,NA
Dasatinib,16,9,1.77777778,0.48005983,0.54839542,-0.52860109,-0.62984153,-0.44036289,0.69223027,0.37970577,0.41636514,NA,NA,NA,0.50116468,-0.43371831,-0.42290899,0.60496087,0.51312426,-0.53520953,0.33839649,0.4432482,NA,NA,0.52653113,-0.38040113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3950653,NA,NA,NA,NA,NA,NA,NA,NA,0.50840846,NA,NA,NA,-0.39783404,0.59265695,0.40002416,NA,NA,NA,NA,NA,NA,-0.46702823,NA,NA,NA,0.58010277,NA,NA,NA,NA,NA,NA,NA
Fipronil,2,1,2,0.38873127,NA,NA,NA,0.43749349,-0.62404723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budesonide,1,4,0.25,NA,NA,-0.48786402,-0.61873707,-0.49980225,NA,NA,NA,-0.54707079,NA,NA,NA,NA,NA,NA,0.53895814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Formoterol,0,5,0,NA,-0.46433547,-0.36564837,-0.61815223,-0.54421485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.53541886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pictilisib,8,8,1,-0.40027124,-0.4930843,-0.48828657,0.43928402,-0.39372838,-0.48774893,NA,0.47940535,NA,NA,NA,NA,0.52335226,0.4924906,0.43879672,0.42865878,-0.61625539,NA,-0.62354851,0.42589915,NA,-0.55596873,0.38009523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
