compound,num_concordant,num_discordant,ratio,HELA,HT29,A375,PC3,HA1E,MCF7,NPC,A549,VCAP,HUH7,FIBRNPC,SKBR3,HEPG2,MDAMB231,BT20,HCC515,MCF10A,NEU,HME1,SKB,ASC,HS578T,LNCAP,YAPC,SW620,AGS,SNGM,WSUDLCL2,HCT116,SW948,RMUGS,HCC15,OV7,H1299,SNUC5,A673,NCIH508,TYKNU,CORL23,SNU1040,U266,NCIH2073,THP1,RMGI,SKMEL28,CL34,NPC.TAK,NPC.CAS9,HUVEC,NCIH596,SKM1,LOVO,MDST8,SKLU1,PHH,HEK293T,PL21,CD34,T3M10,NOMO1,SKMEL1,SKL,ASC.C,SKL.C,HEC108,JHUEM2,U937,COV644,HL60,HT115,JURKAT,EFO27,SNUC4,NCIH1836,HUES3,SW480,NCIH1694,MNEU.E,RKO,DV90,NKDBA,HS27A
Alvocidib,12,5,2.4,0.4923492,-0.37537386,0.47322013,0.44710668,0.42486697,0.64456116,NA,-0.35790359,-0.41958118,NA,NA,0.49830587,NA,0.68170129,-0.87766066,-0.37038687,0.53167466,NA,0.65882847,NA,NA,0.49888993,0.55728011,0.61280569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N-Arachidonoyl-gaba (na-gaba),0,2,0,NA,NA,NA,NA,-0.82329742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.51651468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ricolinostat,2,13,0.15384615,NA,-0.35453128,-0.37404459,-0.81826501,-0.42702623,-0.40184721,-0.37709259,NA,NA,NA,NA,NA,-0.37558097,NA,NA,-0.35923064,NA,NA,-0.43177522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38158871,-0.33558839,-0.35104711,NA,NA,NA,NA,NA,NA,NA,NA,0.40821474,NA,NA,NA,0.39138513,NA,-0.3752433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entinostat,1,20,0.05,NA,-0.44950147,-0.46846106,-0.55783537,-0.43104242,-0.58393797,-0.39029214,-0.8099527,-0.56286461,NA,NA,NA,-0.51347868,NA,NA,-0.52936753,NA,-0.49839519,NA,NA,-0.43263948,NA,NA,-0.3904142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41277243,-0.5763466,-0.49240582,NA,NA,NA,NA,NA,-0.58957882,NA,NA,-0.41366097,NA,NA,NA,-0.59407153,-0.3879504,0.41415691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-Sulforaphane,2,7,0.28571429,NA,NA,-0.51575307,-0.39273917,NA,-0.80682299,NA,0.37965189,0.38986542,NA,NA,NA,-0.41995479,NA,NA,-0.3662927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.44302805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38932938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duloxetine,1,4,0.25,NA,-0.61103866,-0.45263846,-0.45745783,-0.79911182,NA,NA,0.42425735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Labetalol,3,2,1.5,NA,NA,0.4123774,NA,-0.3471312,-0.79101972,NA,NA,NA,NA,NA,NA,0.46825518,NA,NA,0.38580829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valyltryptophan,2,2,1,NA,NA,NA,0.44625962,-0.79018914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54634086,NA,NA,NA,NA,-0.33591061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosutinib,2,15,0.13333333,-0.35155757,NA,-0.44524037,NA,0.36660629,-0.39230575,-0.54366073,NA,NA,NA,NA,NA,NA,NA,NA,-0.42085898,NA,-0.77540936,-0.35271577,-0.3926309,-0.67368781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38254779,-0.39510474,-0.49846942,NA,NA,NA,NA,NA,-0.41274637,NA,NA,NA,NA,NA,NA,NA,-0.39365033,0.48778363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45266576,NA,NA,NA,NA,NA,NA,NA
Neratinib,3,22,0.13636364,-0.42942051,-0.76678194,-0.45386985,-0.64460928,-0.56162115,-0.33730211,NA,-0.47436829,NA,NA,NA,-0.46842406,-0.49150048,-0.4792127,-0.67324859,-0.35273756,-0.4859571,NA,NA,NA,NA,0.50327398,NA,0.37975355,-0.39767509,-0.39922522,NA,NA,NA,NA,NA,NA,-0.40772134,NA,0.43074749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38518187,NA,NA,-0.3786077,NA,NA,NA,-0.41931754,NA,NA,-0.46188336,NA,NA,NA,NA,-0.47115463,-0.49420828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Griseofulvin,2,1,2,-0.76398453,NA,NA,0.33416933,NA,0.36338164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penitrem A,1,6,0.16666667,-0.76234317,-0.41769203,-0.36877864,NA,0.41054096,NA,-0.49001843,-0.49858366,NA,NA,NA,NA,-0.46251816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitrendipine,2,3,0.66666667,NA,NA,-0.47118022,-0.39147893,NA,NA,NA,NA,NA,NA,0.54387652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35647763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75729674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niclosamide,5,13,0.38461538,NA,-0.61029659,-0.56993193,-0.52811037,0.4356651,-0.67111587,-0.61480017,0.42169376,-0.47926306,NA,NA,NA,NA,NA,NA,-0.656149,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.53521497,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43915088,NA,-0.41189476,NA,NA,NA,-0.40062842,NA,-0.75627325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41879099,-0.46892959,NA,NA,NA,NA,NA,NA,NA,-0.55106816,NA,NA,NA,NA,NA,NA,0.40705889,NA
Metyrapone,0,2,0,NA,-0.75190336,NA,NA,NA,NA,NA,-0.41707209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ticlopidine,1,4,0.25,-0.48009314,-0.50866584,NA,NA,0.53913749,NA,NA,-0.49470311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75061872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zidovudine,0,2,0,NA,NA,NA,NA,NA,-0.7505274,NA,NA,-0.35947015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lidocaine,0,3,0,NA,NA,NA,NA,-0.51767468,-0.75046063,NA,NA,-0.52016416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
