compound,num_concordant,num_discordant,ratio,HELA,HT29,A375,PC3,HA1E,MCF7,NPC,A549,VCAP,HUH7,FIBRNPC,SKBR3,HEPG2,MDAMB231,BT20,HCC515,MCF10A,NEU,HME1,SKB,ASC,HS578T,LNCAP,YAPC,SW620,AGS,SNGM,WSUDLCL2,HCT116,SW948,RMUGS,HCC15,OV7,H1299,SNUC5,A673,NCIH508,TYKNU,CORL23,SNU1040,U266,NCIH2073,THP1,RMGI,SKMEL28,CL34,NPC.TAK,NPC.CAS9,HUVEC,NCIH596,SKM1,LOVO,MDST8,SKLU1,PHH,HEK293T,PL21,CD34,T3M10,NOMO1,SKMEL1,SKL,ASC.C,SKL.C,HEC108,JHUEM2,U937,COV644,HL60,HT115,JURKAT,EFO27,SNUC4,NCIH1836,HUES3,SW480,NCIH1694,MNEU.E,RKO,DV90,NKDBA,HS27A
Selumetinib,3,25,0.12,-0.40973514,NA,-0.59682543,0.36450945,-0.58134689,-0.52946729,NA,-0.66728746,NA,NA,NA,-0.70726166,NA,-0.6580553,-0.57415501,-0.61723035,-0.66808294,NA,-0.48521006,NA,NA,0.38182885,NA,-0.54522401,NA,-0.72097632,NA,NA,NA,-0.41166874,NA,-0.69975829,-0.64545895,NA,-0.62915458,-0.50014477,NA,NA,NA,-0.68633927,NA,-0.64516759,NA,NA,-0.42934267,NA,NA,NA,NA,-0.7734302,NA,NA,-0.39827745,NA,NA,NA,NA,NA,NA,NA,-0.64889275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4012338,-0.74226414,NA,NA
Trametinib,0,9,0,NA,NA,-0.44364059,-0.43794,NA,-0.59981496,NA,-0.42386513,NA,NA,NA,-0.46937292,NA,-0.7135806,-0.65231343,-0.5805646,-0.76507096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Troglitazone,9,6,1.5,0.52408678,0.45127848,0.46947186,-0.75344068,-0.41356591,0.45174838,-0.41255669,0.46696492,0.62730698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.50147955,NA,NA,NA,NA,NA,NA,NA,-0.36930358,-0.47855702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45851486,NA,NA,NA,0.38334188,NA,NA,-0.59646897,NA,NA,NA,NA,NA
Vorinostat,10,29,0.34482759,NA,0.58420562,-0.54080293,0.56896806,-0.48454387,0.5298544,NA,0.6365072,0.6165,-0.37189959,0.43775422,NA,-0.51071596,NA,NA,-0.67231412,NA,-0.51819103,-0.4324408,-0.38720249,0.38868033,NA,NA,NA,NA,-0.53061844,NA,NA,NA,NA,NA,-0.50697603,-0.5552358,NA,-0.51655641,NA,NA,NA,-0.68786762,-0.74012421,NA,-0.58216234,NA,-0.47890273,NA,-0.50516635,NA,0.45216167,NA,-0.5187893,-0.53318993,-0.42221147,NA,-0.3819397,0.43819303,-0.42500685,NA,NA,NA,NA,NA,0.38002801,-0.46396682,-0.48840715,NA,NA,-0.37665103,-0.37415812,NA,NA,NA,-0.55182833,NA,NA,NA,NA,NA,-0.37558325,NA,NA,-0.38789847,NA
Linifanib,11,7,1.57142857,0.38735454,0.39565126,-0.50194404,-0.62459481,0.58506758,NA,NA,-0.48733672,-0.40620612,NA,NA,-0.39571208,0.42050711,-0.73356672,0.46959689,-0.49102198,0.47759972,NA,0.45102949,0.53424172,NA,0.4257029,0.49225321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54406899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitoxantrone,1,17,0.05882353,NA,-0.51037463,-0.5727196,-0.73351582,-0.41917044,-0.53050351,NA,-0.61149375,NA,NA,NA,-0.47834411,-0.50834217,-0.60423222,NA,-0.62793384,-0.62905585,NA,-0.58484267,NA,-0.37497173,-0.42902702,-0.42345732,-0.39882007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37345506,NA,NA,NA,NA,NA,NA,-0.38375615,NA,NA,NA,NA
Pelitinib,3,7,0.42857143,-0.37872811,0.4124358,NA,-0.48059918,-0.62997201,NA,NA,-0.55584157,NA,NA,NA,0.56753322,NA,0.44025499,-0.64287982,-0.52744744,-0.71448494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panobinostat,2,7,0.28571429,NA,NA,-0.47047849,-0.56515114,-0.41722639,-0.52730138,NA,NA,0.49327615,NA,NA,NA,NA,NA,NA,-0.70340544,NA,NA,NA,NA,-0.39352124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42757301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39835699,NA
Rosiglitazone,4,3,1.33333333,NA,-0.41548416,0.44046572,-0.69728984,-0.54590242,NA,NA,0.39575719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54545069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.50890235,NA,NA
Erlotinib,3,7,0.42857143,0.39425137,NA,0.36661407,-0.3711022,-0.48269789,NA,NA,-0.43793574,NA,NA,NA,NA,NA,0.37737703,-0.67266372,-0.57464836,-0.69462283,NA,NA,NA,NA,-0.38917845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trichostatin A, Streptomyces Sp.",4,25,0.16,NA,-0.45388991,-0.51756342,-0.68598068,-0.47534712,-0.56967375,NA,-0.53667315,0.60868079,-0.50296867,NA,NA,-0.48380963,NA,NA,-0.69378434,NA,-0.42401858,NA,0.40466192,-0.45321926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4610471,-0.52624493,NA,-0.41509186,NA,NA,NA,-0.47416794,NA,-0.52429127,-0.64129149,NA,-0.3979079,-0.37598727,NA,NA,NA,NA,-0.62975359,NA,-0.50938562,NA,NA,0.42805334,-0.50857648,NA,-0.47162955,-0.39511694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43576673,NA,NA,NA,NA,NA,NA,NA,NA,0.52265125,NA
Enzastaurin,1,11,0.09090909,NA,-0.38250064,-0.45862122,-0.69089606,NA,-0.5616265,NA,NA,-0.43308761,NA,NA,-0.48529584,-0.54584661,NA,0.39278118,NA,NA,NA,NA,-0.41635452,-0.40830732,-0.41838741,NA,-0.59999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canertinib,4,10,0.4,-0.57774384,NA,NA,0.3897028,-0.42430821,-0.4999813,NA,-0.39875903,NA,NA,NA,-0.40413436,0.39114206,NA,-0.62559631,-0.53656313,-0.68496285,NA,-0.46051801,NA,NA,0.52812382,0.38250654,-0.40604736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pioglitazone,1,4,0.25,NA,-0.61443696,-0.42766384,-0.68474137,NA,NA,NA,0.42688493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43147908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorafenib,6,5,1.2,0.40152494,0.4786175,-0.66724421,NA,-0.48526884,0.45950293,0.44548581,0.4508758,NA,NA,NA,0.42307599,NA,-0.6785147,NA,NA,-0.41561247,NA,NA,NA,NA,-0.42262998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyburide,3,5,0.6,NA,-0.47075572,-0.36737582,-0.67396956,NA,NA,NA,NA,-0.39083371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39770917,0.46409967,NA,NA,NA,NA,0.49668782,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.61914898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rebastinib,3,14,0.21428571,NA,-0.72077976,-0.54573372,-0.59987157,NA,0.63678741,-0.64712591,-0.50921747,NA,NA,NA,NA,0.51522765,NA,NA,0.53000479,NA,NA,-0.54436352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.64807075,-0.67347635,-0.40779593,NA,NA,NA,NA,NA,NA,NA,NA,-0.38288905,NA,NA,NA,NA,-0.66690045,-0.3829392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.48116408,NA,NA,-0.64099544,NA,NA,NA,NA
Neratinib,8,8,1,NA,0.40098399,NA,-0.62535035,NA,NA,NA,-0.47762737,NA,NA,NA,0.49951191,0.48757889,-0.40612067,-0.61404425,-0.53610847,-0.66788557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39164343,NA,NA,NA,NA,NA,0.46077046,-0.42637283,NA,NA,NA,NA,NA,0.54902089,NA,NA,NA,NA,NA,NA,NA,NA,0.39688642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38667568,NA,NA,NA,NA,NA,-0.6340895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pimasertib,2,10,0.2,-0.51524863,NA,-0.63525589,0.46867387,-0.47316455,-0.53136361,-0.64880295,-0.46941751,0.41164633,NA,NA,NA,NA,NA,NA,-0.6662679,NA,NA,NA,-0.60536105,-0.43349084,NA,NA,-0.50571951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fedratinib,6,8,0.75,NA,0.52661764,NA,0.37907589,NA,-0.54525291,NA,NA,0.51376295,NA,NA,-0.41811152,-0.49028494,NA,NA,-0.44126329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48766535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37841147,0.36522052,NA,-0.66434463,NA,NA,NA,-0.45038637,NA,NA,NA,NA,-0.4185641,NA,NA,-0.38099419,NA,NA
Indomethacin,1,1,1,NA,NA,NA,-0.66289822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41918559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetocin,4,7,0.57142857,NA,NA,NA,NA,NA,-0.46251025,NA,-0.47078702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.52820836,NA,NA,NA,NA,-0.40990775,NA,-0.54116412,NA,NA,NA,NA,NA,NA,NA,0.42453403,0.45086695,NA,NA,NA,NA,NA,NA,NA,NA,-0.45485717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6623279,0.42812108,NA,NA,0.38024915,NA,NA,NA,NA,NA,NA
