compound,num_concordant,num_discordant,ratio,HELA,HT29,A375,PC3,HA1E,MCF7,NPC,A549,VCAP,HUH7,FIBRNPC,SKBR3,HEPG2,MDAMB231,BT20,HCC515,MCF10A,NEU,HME1,SKB,ASC,HS578T,LNCAP,YAPC,SW620,AGS,SNGM,WSUDLCL2,HCT116,SW948,RMUGS,HCC15,OV7,H1299,SNUC5,A673,NCIH508,TYKNU,CORL23,SNU1040,U266,NCIH2073,THP1,RMGI,SKMEL28,CL34,NPC.TAK,NPC.CAS9,HUVEC,NCIH596,SKM1,LOVO,MDST8,SKLU1,PHH,HEK293T,PL21,CD34,T3M10,NOMO1,SKMEL1,SKL,ASC.C,SKL.C,HEC108,JHUEM2,U937,COV644,HL60,HT115,JURKAT,EFO27,SNUC4,NCIH1836,HUES3,SW480,NCIH1694,MNEU.E,RKO,DV90,NKDBA,HS27A
Mercaptopurine,0,6,0,-0.79372969,-0.73530696,-0.45259198,-0.55986991,-0.37019515,-0.40978349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alvocidib,5,11,0.45454545,-0.57964876,-0.73580736,-0.58697271,0.50038565,-0.61644541,-0.58682346,NA,-0.59341227,NA,NA,NA,-0.78526019,NA,0.49104791,-0.49202153,0.52503167,-0.66012897,NA,0.45824975,NA,NA,-0.59031734,0.52171945,-0.45171987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycophenolate Mofetil,2,9,0.22222222,-0.78446337,-0.63266847,-0.56037719,-0.40705343,0.39368282,-0.48770306,-0.40801481,-0.34758794,-0.44384971,NA,NA,NA,NA,NA,NA,0.3365287,NA,NA,NA,NA,NA,NA,NA,-0.65861651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Danusertib,3,5,0.6,0.38862633,-0.56351534,0.39525405,-0.54834308,-0.39712524,-0.76525344,NA,NA,NA,NA,NA,NA,-0.58272326,NA,NA,NA,NA,NA,NA,0.4381769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dorsomorphin,8,9,0.88888889,NA,0.60309242,0.49929391,0.53346509,0.5663904,-0.52165807,NA,-0.50035274,-0.37064722,NA,NA,NA,NA,NA,NA,0.40485131,NA,NA,NA,NA,NA,NA,NA,NA,-0.59288695,-0.75877518,-0.66722364,-0.42520108,NA,NA,NA,NA,0.36838327,NA,NA,-0.34024913,NA,NA,NA,NA,NA,NA,NA,NA,-0.48236648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54382074,NA,NA,NA,NA,NA,0.63875953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seliciclib,7,8,0.875,-0.40302336,-0.71178816,0.4641583,0.72049245,NA,-0.75729954,NA,0.547785,0.36647426,NA,NA,-0.72715304,-0.46209402,0.45114071,0.448277,-0.35932961,0.37853721,NA,NA,NA,NA,-0.51454946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37159185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Azathioprine,1,5,0.2,-0.51868647,-0.75426531,-0.42343026,NA,NA,-0.36813044,NA,-0.34452826,0.34104662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ouabain,2,5,0.4,NA,-0.4229406,-0.5017272,0.4110995,NA,-0.73421172,-0.35310381,0.40217428,-0.39723572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clonidine,3,4,0.75,-0.40981121,NA,NA,NA,0.41615054,NA,NA,NA,-0.38601397,NA,0.3576083,NA,NA,NA,NA,-0.59884377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74300293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.73320587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morin,0,2,0,NA,NA,NA,-0.45213176,NA,-0.69845531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
