region,cellline,time,concentration,n
AI,A375,24h,0.04uM,7
AI,A375,24h,0.12uM,14
AI,A375,24h,0.1uM,1
AI,A375,24h,0.37uM,15
AI,A375,24h,0.5uM,1
AI,A375,24h,1.11uM,16
AI,A375,24h,10uM,35
AI,A375,24h,3.33uM,20
AI,A375,24h,8.11uM,1
AI,A375,24h,80uM,1
AI,A375,6h,0.1uM,1
AI,A375,6h,0.5uM,1
AI,A375,6h,100uM,2
AI,A375,6h,10uM,72
AI,A375,6h,1uM,1
AI,A375,6h,80uM,1
AI,A549,24h,0.12uM,2
AI,A549,24h,0.1uM,1
AI,A549,24h,0.37uM,1
AI,A549,24h,0.5uM,4
AI,A549,24h,1.11uM,1
AI,A549,24h,10uM,44
AI,A549,24h,1uM,1
AI,A549,24h,3.33uM,1
AI,A549,24h,3uM,2
AI,A549,24h,70uM,1
AI,A549,6h,0.01uM,2
AI,A549,6h,0.1uM,2
AI,A549,6h,0.5uM,4
AI,A549,6h,100uM,1
AI,A549,6h,10uM,68
AI,A549,6h,1uM,4
AI,A549,6h,3uM,8
AI,A549,6h,40uM,1
AI,A549,6h,70uM,1
AI,A549,6h,80uM,3
AI,A673,6h,0.5uM,1
AI,A673,6h,100uM,1
AI,A673,6h,10uM,8
AI,A673,6h,1uM,1
AI,A673,6h,40uM,2
AI,A673,6h,80uM,1
AI,AGS,6h,10uM,4
AI,AGS,6h,40uM,1
AI,AGS,6h,80uM,1
AI,ASC,24h,10uM,4
AI,BT20,24h,3.33uM,2
AI,BT20,3h,10uM,3
AI,BT20,3h,3.33uM,2
AI,BT20,6h,10uM,1
AI,CD34,24h,1.11uM,1
AI,CD34,6h,0.5uM,1
AI,CD34,6h,10uM,1
AI,CD34,6h,1uM,1
AI,CD34,6h,3uM,1
AI,CL34,6h,0.5uM,1
AI,CL34,6h,10uM,3
AI,CORL23,6h,0.5uM,1
AI,CORL23,6h,10uM,7
AI,CORL23,6h,30uM,1
AI,COV644,6h,10uM,3
AI,COV644,6h,30uM,1
AI,DV90,6h,10uM,3
AI,DV90,6h,80uM,1
AI,EFO27,6h,10uM,3
AI,EFO27,6h,80uM,1
AI,FIBRNPC,24h,10uM,3
AI,FIBRNPC,6h,10uM,4
AI,H1299,6h,100uM,2
AI,H1299,6h,10uM,5
AI,H1299,6h,30uM,1
AI,H1299,6h,40uM,1
AI,H1299,6h,80uM,1
AI,HA1E,24h,0.04uM,3
AI,HA1E,24h,0.12uM,1
AI,HA1E,24h,1.11uM,1
AI,HA1E,24h,10uM,12
AI,HA1E,24h,20uM,1
AI,HA1E,24h,3.33uM,2
AI,HA1E,6h,0.5uM,1
AI,HA1E,6h,10uM,29
AI,HA1E,6h,20uM,2
AI,HA1E,6h,3uM,1
AI,HA1E,6h,80uM,2
AI,HCC15,6h,0.5uM,1
AI,HCC15,6h,10uM,6
AI,HCC515,24h,0.1uM,1
AI,HCC515,24h,10uM,15
AI,HCC515,24h,3.33uM,2
AI,HCC515,24h,40uM,1
AI,HCC515,6h,0.01uM,2
AI,HCC515,6h,0.1uM,3
AI,HCC515,6h,0.5uM,3
AI,HCC515,6h,10uM,32
AI,HCC515,6h,1uM,3
AI,HCC515,6h,3uM,2
AI,HCT116,6h,0.5uM,1
AI,HCT116,6h,10uM,2
AI,HCT116,6h,80uM,1
AI,HEC108,6h,10uM,3
AI,HELA,24h,0.03uM,1
AI,HELA,24h,0.04uM,5
AI,HELA,24h,0.12uM,6
AI,HELA,24h,0.1uM,1
AI,HELA,24h,0.37uM,7
AI,HELA,24h,0.3uM,1
AI,HELA,24h,1.11uM,8
AI,HELA,24h,10uM,11
AI,HELA,24h,3.33uM,5
AI,HELA,24h,8.11uM,1
AI,HEPG2,24h,0.04uM,2
AI,HEPG2,24h,0.12uM,1
AI,HEPG2,24h,10uM,1
AI,HEPG2,24h,3.33uM,1
AI,HEPG2,24h,5uM,1
AI,HEPG2,6h,0.5uM,1
AI,HEPG2,6h,100uM,3
AI,HEPG2,6h,10uM,78
AI,HEPG2,6h,3uM,2
AI,HEPG2,6h,80uM,3
AI,HEPG2,6h,90uM,1
AI,HL60,6h,0.5uM,1
AI,HL60,6h,10uM,1
AI,HL60,6h,1uM,1
AI,HL60,6h,3uM,1
AI,HME1,24h,1.11uM,1
AI,HME1,24h,10uM,1
AI,HME1,24h,3.33uM,1
AI,HME1,3h,1.11uM,1
AI,HME1,3h,10uM,2
AI,HME1,3h,3.33uM,1
AI,HS578T,24h,0.12uM,2
AI,HS578T,24h,0.37uM,1
AI,HS578T,24h,0.5uM,1
AI,HS578T,24h,1.11uM,1
AI,HS578T,24h,10uM,2
AI,HS578T,3h,10uM,4
AI,HS578T,6h,1uM,1
AI,HT115,6h,10uM,3
AI,HT29,24h,10uM,14
AI,HT29,24h,3.33uM,1
AI,HT29,6h,0.5uM,1
AI,HT29,6h,10uM,42
AI,HUH7,24h,10uM,1
AI,HUH7,24h,1uM,1
AI,HUH7,6h,10uM,2
AI,HUH7,6h,1uM,1
AI,HUH7,6h,5uM,1
AI,HUVEC,24h,0.04uM,1
AI,HUVEC,24h,0.12uM,1
AI,HUVEC,24h,1.11uM,1
AI,HUVEC,24h,10uM,9
AI,HUVEC,24h,3.33uM,1
AI,LNCAP,3h,10uM,2
AI,LOVO,6h,10uM,5
AI,MCF10A,24h,0.1uM,1
AI,MCF10A,24h,0.37uM,1
AI,MCF10A,24h,10uM,2
AI,MCF10A,3h,10uM,2
AI,MCF10A,6h,10uM,1
AI,MCF7,24h,0.04uM,10
AI,MCF7,24h,0.12uM,5
AI,MCF7,24h,0.1uM,1
AI,MCF7,24h,0.37uM,11
AI,MCF7,24h,0.5uM,4
AI,MCF7,24h,1.11uM,9
AI,MCF7,24h,1.12uM,1
AI,MCF7,24h,10uM,53
AI,MCF7,24h,1uM,1
AI,MCF7,24h,3.33uM,6
AI,MCF7,24h,3uM,3
AI,MCF7,24h,5uM,1
AI,MCF7,3h,10uM,2
AI,MCF7,6h,0.5uM,1
AI,MCF7,6h,100uM,1
AI,MCF7,6h,10uM,52
AI,MCF7,6h,20uM,1
AI,MCF7,6h,30uM,1
AI,MCF7,6h,3uM,4
AI,MCF7,6h,40uM,1
AI,MCF7,6h,70uM,1
AI,MDAMB231,24h,10uM,3
AI,MDAMB231,24h,3.33uM,2
AI,MDAMB231,3h,10uM,2
AI,MDST8,6h,0.5uM,1
AI,MDST8,6h,100uM,1
AI,MDST8,6h,10uM,3
AI,MDST8,6h,80uM,1
AI,NCIH1694,6h,10uM,4
AI,NCIH2073,6h,10uM,6
AI,NCIH2073,6h,70uM,1
AI,NCIH2073,6h,80uM,1
AI,NCIH508,6h,0.5uM,1
AI,NCIH508,6h,10uM,2
AI,NCIH508,6h,40uM,1
AI,NCIH596,6h,0.5uM,1
AI,NCIH596,6h,100uM,1
AI,NCIH596,6h,10uM,5
AI,NCIH596,6h,1uM,1
AI,NCIH596,6h,80uM,1
AI,NEU,24h,10uM,13
AI,NEU,6h,10uM,8
AI,NKDBA,24h,10uM,2
AI,NKDBA,24h,1uM,1
AI,NOMO1,6h,10uM,2
AI,NOMO1,6h,1uM,1
AI,NPC,24h,10uM,20
AI,NPC,6h,10uM,23
AI,NPC.CAS9,24h,10uM,1
AI,NPC.TAK,24h,10uM,1
AI,OV7,6h,100uM,1
AI,OV7,6h,10uM,5
AI,OV7,6h,40uM,1
AI,OV7,6h,80uM,1
AI,PC3,24h,0.04uM,4
AI,PC3,24h,0.12uM,9
AI,PC3,24h,0.1uM,1
AI,PC3,24h,0.37uM,9
AI,PC3,24h,0.3uM,1
AI,PC3,24h,0.5uM,5
AI,PC3,24h,1.11uM,18
AI,PC3,24h,10uM,99
AI,PC3,24h,1uM,4
AI,PC3,24h,20uM,1
AI,PC3,24h,3.33uM,22
AI,PC3,24h,3uM,4
AI,PC3,24h,40uM,2
AI,PC3,24h,5uM,1
AI,PC3,24h,70uM,1
AI,PC3,6h,0.5uM,2
AI,PC3,6h,100uM,1
AI,PC3,6h,10uM,84
AI,PC3,6h,1uM,1
AI,PC3,6h,20uM,1
AI,PC3,6h,30uM,1
AI,PC3,6h,3uM,5
AI,PC3,6h,5uM,2
AI,PHH,24h,10uM,2
AI,PHH,24h,3uM,1
AI,PHH,6h,10uM,4
AI,PHH,6h,3uM,3
AI,PL21,6h,10uM,3
AI,RKO,6h,10uM,4
AI,RMGI,6h,100uM,1
AI,RMGI,6h,10uM,4
AI,RMUGS,6h,10uM,5
AI,RMUGS,6h,30uM,1
AI,SKB,24h,10uM,7
AI,SKBR3,24h,10uM,2
AI,SKBR3,24h,3.33uM,2
AI,SKBR3,3h,10uM,2
AI,SKBR3,3h,3.33uM,2
AI,SKL.C,24h,0.37uM,1
AI,SKL.C,24h,10uM,2
AI,SKL.C,24h,3.33uM,1
AI,SKLU1,6h,0.5uM,1
AI,SKLU1,6h,10uM,5
AI,SKLU1,6h,1uM,1
AI,SKLU1,6h,80uM,1
AI,SKM1,6h,0.5uM,1
AI,SKM1,6h,100uM,1
AI,SKM1,6h,10uM,3
AI,SKM1,6h,40uM,1
AI,SKMEL1,6h,100uM,2
AI,SKMEL1,6h,10uM,6
AI,SKMEL1,6h,40uM,1
AI,SKMEL28,6h,0.1uM,1
AI,SKMEL28,6h,0.5uM,1
AI,SKMEL28,6h,100uM,2
AI,SKMEL28,6h,10uM,11
AI,SKMEL28,6h,40uM,1
AI,SKMEL28,6h,80uM,1
AI,SNGM,6h,10uM,2
AI,SNU1040,6h,10uM,4
AI,SNU1040,6h,70uM,1
AI,SNU1040,6h,80uM,1
AI,SNUC4,6h,10uM,2
AI,SNUC5,6h,100uM,1
AI,SNUC5,6h,10uM,6
AI,SW480,6h,0.5uM,1
AI,SW480,6h,100uM,1
AI,SW480,6h,10uM,2
AI,SW480,6h,80uM,2
AI,SW620,6h,0.5uM,1
AI,SW620,6h,100uM,2
AI,SW620,6h,10uM,11
AI,SW620,6h,80uM,3
AI,SW948,6h,100uM,2
AI,SW948,6h,10uM,5
AI,SW948,6h,80uM,1
AI,T3M10,6h,10uM,5
AI,THP1,6h,0.5uM,1
AI,THP1,6h,10uM,3
AI,TYKNU,6h,100uM,2
AI,TYKNU,6h,10uM,3
AI,TYKNU,6h,90uM,1
AI,U266,6h,0.5uM,1
AI,U937,6h,0.5uM,1
AI,U937,6h,10uM,2
AI,U937,6h,1uM,1
AI,U937,6h,3uM,1
AI,VCAP,24h,0.5uM,1
AI,VCAP,24h,10uM,35
AI,VCAP,24h,1uM,2
AI,VCAP,24h,20uM,1
AI,VCAP,24h,5uM,2
AI,VCAP,48h,1uM,1
AI,VCAP,48h,5uM,1
AI,VCAP,6h,100uM,1
AI,VCAP,6h,10uM,30
AI,VCAP,6h,1uM,1
AI,VCAP,6h,20uM,1
AI,VCAP,6h,30uM,1
AI,VCAP,6h,5uM,1
AI,YAPC,24h,0.04uM,4
AI,YAPC,24h,0.12uM,10
AI,YAPC,24h,0.37uM,8
AI,YAPC,24h,1.11uM,13
AI,YAPC,24h,10uM,16
AI,YAPC,24h,3.33uM,8
AI,YAPC,24h,8.11uM,1
CG,A375,24h,0.04uM,8
CG,A375,24h,0.12uM,11
CG,A375,24h,0.1uM,1
CG,A375,24h,0.37uM,11
CG,A375,24h,0.5uM,1
CG,A375,24h,1.11uM,12
CG,A375,24h,10uM,31
CG,A375,24h,3.33uM,11
CG,A375,24h,8.11uM,1
CG,A375,24h,80uM,2
CG,A375,6h,0.1uM,1
CG,A375,6h,0.5uM,1
CG,A375,6h,100uM,2
CG,A375,6h,10uM,78
CG,A375,6h,1uM,1
CG,A375,6h,80uM,1
CG,A549,24h,0.12uM,1
CG,A549,24h,0.1uM,1
CG,A549,24h,0.5uM,5
CG,A549,24h,10uM,44
CG,A549,24h,1uM,1
CG,A549,24h,3uM,4
CG,A549,24h,70uM,1
CG,A549,6h,0.01uM,1
CG,A549,6h,0.1uM,4
CG,A549,6h,0.5uM,5
CG,A549,6h,100uM,1
CG,A549,6h,10uM,76
CG,A549,6h,1uM,4
CG,A549,6h,3uM,6
CG,A549,6h,70uM,1
CG,A549,6h,80uM,3
CG,A673,6h,0.5uM,1
CG,A673,6h,100uM,1
CG,A673,6h,10uM,7
CG,A673,6h,1uM,1
CG,A673,6h,40uM,1
CG,A673,6h,80uM,1
CG,AGS,6h,100uM,1
CG,AGS,6h,10uM,2
CG,AGS,6h,40uM,1
CG,ASC,24h,10uM,4
CG,BT20,24h,1uM,1
CG,BT20,24h,3.33uM,2
CG,BT20,3h,10uM,1
CG,BT20,3h,3.33uM,2
CG,BT20,6h,10uM,1
CG,CD34,6h,0.5uM,1
CG,CD34,6h,10uM,1
CG,CD34,6h,1uM,1
CG,CD34,6h,3uM,1
CG,CL34,6h,0.5uM,1
CG,CL34,6h,10uM,3
CG,CORL23,6h,0.5uM,1
CG,CORL23,6h,10uM,6
CG,CORL23,6h,30uM,1
CG,COV644,6h,10uM,2
CG,COV644,6h,30uM,1
CG,DV90,6h,100uM,1
CG,DV90,6h,10uM,3
CG,DV90,6h,80uM,1
CG,EFO27,6h,10uM,5
CG,EFO27,6h,80uM,1
CG,FIBRNPC,24h,10uM,2
CG,FIBRNPC,6h,10uM,4
CG,H1299,6h,100uM,2
CG,H1299,6h,10uM,5
CG,H1299,6h,30uM,1
CG,HA1E,24h,0.04uM,2
CG,HA1E,24h,0.12uM,1
CG,HA1E,24h,1.11uM,1
CG,HA1E,24h,10uM,8
CG,HA1E,24h,20uM,1
CG,HA1E,24h,3.33uM,3
CG,HA1E,6h,0.5uM,1
CG,HA1E,6h,10uM,27
CG,HA1E,6h,20uM,2
CG,HA1E,6h,3uM,1
CG,HA1E,6h,80uM,2
CG,HCC15,6h,0.5uM,1
CG,HCC15,6h,10uM,6
CG,HCC515,24h,0.1uM,1
CG,HCC515,24h,10uM,20
CG,HCC515,24h,3.33uM,2
CG,HCC515,6h,0.01uM,1
CG,HCC515,6h,0.1uM,3
CG,HCC515,6h,0.5uM,2
CG,HCC515,6h,10uM,35
CG,HCC515,6h,1uM,3
CG,HCC515,6h,3uM,2
CG,HCT116,6h,0.5uM,1
CG,HCT116,6h,10uM,2
CG,HCT116,6h,80uM,1
CG,HEC108,6h,10uM,3
CG,HELA,24h,0.03uM,1
CG,HELA,24h,0.04uM,4
CG,HELA,24h,0.12uM,4
CG,HELA,24h,0.1uM,1
CG,HELA,24h,0.37uM,4
CG,HELA,24h,1.11uM,3
CG,HELA,24h,10uM,4
CG,HELA,24h,3.33uM,4
CG,HEPG2,24h,0.04uM,1
CG,HEPG2,24h,0.12uM,1
CG,HEPG2,24h,0.5uM,2
CG,HEPG2,24h,1.11uM,1
CG,HEPG2,24h,10uM,6
CG,HEPG2,24h,3.33uM,3
CG,HEPG2,24h,3uM,2
CG,HEPG2,24h,5uM,1
CG,HEPG2,6h,0.5uM,1
CG,HEPG2,6h,100uM,3
CG,HEPG2,6h,10uM,83
CG,HEPG2,6h,3uM,2
CG,HEPG2,6h,80uM,3
CG,HEPG2,6h,90uM,1
CG,HME1,24h,1.11uM,1
CG,HME1,24h,10uM,1
CG,HME1,3h,1.11uM,1
CG,HME1,3h,10uM,2
CG,HME1,3h,3.33uM,1
CG,HS578T,24h,0.12uM,2
CG,HS578T,24h,1.11uM,1
CG,HS578T,24h,10uM,6
CG,HS578T,3h,0.04uM,2
CG,HS578T,3h,0.12uM,1
CG,HS578T,3h,0.37uM,1
CG,HS578T,3h,1.11uM,1
CG,HS578T,3h,10uM,3
CG,HS578T,3h,3.33uM,1
CG,HT115,6h,10uM,4
CG,HT29,24h,0.04uM,4
CG,HT29,24h,0.12uM,2
CG,HT29,24h,0.37uM,2
CG,HT29,24h,1.11uM,2
CG,HT29,24h,10uM,14
CG,HT29,24h,3.33uM,1
CG,HT29,24h,5.77uM,1
CG,HT29,6h,0.5uM,1
CG,HT29,6h,10uM,41
CG,HUH7,24h,1uM,1
CG,HUH7,24h,5uM,1
CG,HUH7,6h,10uM,3
CG,HUH7,6h,1uM,1
CG,HUH7,6h,3uM,1
CG,HUH7,6h,5uM,1
CG,HUVEC,24h,10uM,9
CG,LNCAP,24h,10uM,1
CG,LNCAP,3h,10uM,2
CG,LOVO,6h,10uM,5
CG,MCF10A,24h,0.1uM,1
CG,MCF10A,24h,0.37uM,1
CG,MCF10A,24h,10uM,1
CG,MCF10A,24h,1uM,1
CG,MCF10A,3h,10uM,2
CG,MCF10A,6h,10uM,1
CG,MCF7,24h,0.04uM,6
CG,MCF7,24h,0.12uM,2
CG,MCF7,24h,0.1uM,1
CG,MCF7,24h,0.37uM,5
CG,MCF7,24h,0.5uM,5
CG,MCF7,24h,1.11uM,4
CG,MCF7,24h,10uM,48
CG,MCF7,24h,1uM,2
CG,MCF7,24h,3.33uM,2
CG,MCF7,24h,3uM,2
CG,MCF7,24h,5uM,1
CG,MCF7,3h,10uM,2
CG,MCF7,6h,0.1uM,1
CG,MCF7,6h,0.5uM,2
CG,MCF7,6h,100uM,1
CG,MCF7,6h,10uM,56
CG,MCF7,6h,30uM,1
CG,MCF7,6h,3uM,2
CG,MCF7,6h,40uM,1
CG,MCF7,6h,5uM,1
CG,MCF7,6h,70uM,1
CG,MDAMB231,24h,1.11uM,1
CG,MDAMB231,24h,10uM,3
CG,MDAMB231,24h,3.33uM,2
CG,MDAMB231,3h,10uM,2
CG,MDST8,6h,0.5uM,1
CG,MDST8,6h,100uM,1
CG,MDST8,6h,10uM,3
CG,MDST8,6h,80uM,1
CG,NCIH1694,6h,10uM,4
CG,NCIH2073,6h,0.5uM,1
CG,NCIH2073,6h,100uM,1
CG,NCIH2073,6h,10uM,5
CG,NCIH2073,6h,70uM,1
CG,NCIH2073,6h,80uM,1
CG,NCIH508,6h,10uM,2
CG,NCIH508,6h,40uM,1
CG,NCIH596,6h,0.5uM,1
CG,NCIH596,6h,100uM,1
CG,NCIH596,6h,10uM,5
CG,NCIH596,6h,1uM,1
CG,NCIH596,6h,70uM,1
CG,NCIH596,6h,80uM,1
CG,NEU,24h,10uM,7
CG,NEU,6h,10uM,7
CG,NKDBA,24h,10uM,1
CG,NOMO1,6h,10uM,3
CG,NOMO1,6h,80uM,1
CG,NPC,24h,10uM,8
CG,NPC,6h,10uM,16
CG,OV7,6h,100uM,1
CG,OV7,6h,10uM,4
CG,OV7,6h,40uM,1
CG,PC3,24h,0.04uM,2
CG,PC3,24h,0.12uM,5
CG,PC3,24h,0.1uM,2
CG,PC3,24h,0.37uM,6
CG,PC3,24h,0.5uM,5
CG,PC3,24h,1.11uM,9
CG,PC3,24h,10uM,84
CG,PC3,24h,1uM,1
CG,PC3,24h,20uM,1
CG,PC3,24h,3.33uM,13
CG,PC3,24h,3uM,3
CG,PC3,24h,40uM,1
CG,PC3,24h,5uM,1
CG,PC3,24h,70uM,1
CG,PC3,6h,100uM,1
CG,PC3,6h,10uM,77
CG,PC3,6h,1uM,1
CG,PC3,6h,20uM,1
CG,PC3,6h,30uM,1
CG,PC3,6h,3uM,4
CG,PC3,6h,5uM,2
CG,PHH,24h,10uM,6
CG,PHH,24h,3uM,2
CG,PHH,6h,10uM,4
CG,PHH,6h,3uM,3
CG,PL21,6h,10uM,3
CG,RKO,6h,10uM,4
CG,RMGI,6h,100uM,1
CG,RMGI,6h,10uM,5
CG,RMUGS,6h,10uM,3
