region,cellline,time,concentration,n
AI,A375,24h,10uM,4
AI,FIBRNPC,24h,10uM,1
AI,HA1E,24h,0.12uM,1
AI,HA1E,24h,10uM,9
AI,HA1E,24h,3.33uM,2
AI,HCC515,24h,10uM,1
AI,HELA,24h,0.12uM,1
AI,HELA,24h,0.37uM,1
AI,HELA,24h,10uM,1
AI,HELA,24h,3.33uM,1
AI,HME1,3h,0.37uM,1
AI,HME1,3h,1.11uM,1
AI,HS578T,24h,0.37uM,1
AI,HT29,24h,0.04uM,1
AI,HT29,24h,0.12uM,3
AI,HT29,24h,0.37uM,3
AI,HT29,24h,1.11uM,1
AI,HT29,24h,10uM,3
AI,HT29,24h,3.33uM,3
AI,LNCAP,3h,0.12uM,1
AI,MCF10A,24h,10uM,1
AI,MCF7,24h,0.04uM,4
AI,MCF7,24h,0.12uM,2
AI,MCF7,24h,0.37uM,2
AI,MCF7,24h,10uM,5
AI,MCF7,24h,3.33uM,2
AI,MCF7,3h,0.04uM,1
AI,MCF7,3h,0.12uM,1
AI,MCF7,3h,10uM,1
AI,MCF7,6h,10uM,7
AI,MDAMB231,3h,0.37uM,1
AI,NCIH2073,6h,10uM,1
AI,NEU,24h,10uM,1
AI,PC3,24h,0.04uM,1
AI,PC3,24h,10uM,4
AI,PC3,24h,3.33uM,2
AI,RKO,6h,10uM,1
AI,THP1,6h,10uM,1
AI,VCAP,6h,10uM,2
AI,YAPC,24h,0.04uM,1
AI,YAPC,24h,1.11uM,3
AI,YAPC,24h,10uM,8
AI,YAPC,24h,3.33uM,5
CG,A375,24h,0.04uM,1
CG,A375,24h,10uM,1
CG,A375,6h,0.5uM,1
CG,A375,6h,10uM,2
CG,A375,6h,80uM,1
CG,A549,6h,0.5uM,1
CG,A549,6h,10uM,2
CG,A549,6h,1uM,2
CG,A549,6h,3uM,1
CG,A549,6h,80uM,1
CG,ASC,24h,10uM,1
CG,BT20,6h,10uM,1
CG,EFO27,6h,10uM,1
CG,FIBRNPC,6h,10uM,1
CG,HA1E,24h,0.04uM,2
CG,HA1E,24h,0.12uM,3
CG,HA1E,24h,10uM,5
CG,HA1E,24h,3.33uM,1
CG,HA1E,6h,10uM,1
CG,HCC515,24h,10uM,1
CG,HCC515,6h,10uM,3
