region,cellline,time,concentration,n
AI,A375,24h,0.03uM,1
AI,A375,24h,0.04uM,82
AI,A375,24h,0.05uM,1
AI,A375,24h,0.12uM,69
AI,A375,24h,0.1uM,2
AI,A375,24h,0.37uM,81
AI,A375,24h,0.3uM,1
AI,A375,24h,0.41uM,1
AI,A375,24h,0.5uM,1
AI,A375,24h,1.11uM,90
AI,A375,24h,100uM,1
AI,A375,24h,10uM,260
AI,A375,24h,1uM,2
AI,A375,24h,2.7uM,1
AI,A375,24h,3.33uM,124
AI,A375,24h,3.7uM,1
AI,A375,24h,30uM,1
AI,A375,24h,33.33uM,1
AI,A375,24h,3uM,3
AI,A375,24h,40uM,4
AI,A375,24h,5uM,1
AI,A375,24h,80uM,2
AI,A375,6h,0.1uM,11
AI,A375,6h,0.5uM,8
AI,A375,6h,100uM,1
AI,A375,6h,10uM,213
AI,A375,6h,3uM,8
AI,A375,6h,40uM,3
AI,A375,6h,5uM,1
AI,A375,6h,80uM,2
AI,A549,24h,0.001uM,12
AI,A549,24h,0.01uM,8
AI,A549,24h,0.04uM,20
AI,A549,24h,0.12uM,21
AI,A549,24h,0.1uM,8
AI,A549,24h,0.37uM,15
AI,A549,24h,0.5uM,12
AI,A549,24h,1.11uM,21
AI,A549,24h,100uM,1
AI,A549,24h,10uM,270
AI,A549,24h,1uM,7
AI,A549,24h,3.33uM,19
AI,A549,24h,30uM,1
AI,A549,24h,3uM,4
AI,A549,24h,80uM,1
AI,A549,6h,0.001uM,12
AI,A549,6h,0.01uM,17
AI,A549,6h,0.1uM,6
AI,A549,6h,0.5uM,14
AI,A549,6h,100uM,1
AI,A549,6h,10uM,197
AI,A549,6h,1uM,9
AI,A549,6h,3uM,3
AI,A549,6h,40uM,1
AI,A549,6h,80uM,1
AI,A673,6h,0.1uM,1
AI,A673,6h,100uM,3
AI,A673,6h,10uM,13
AI,A673,6h,40uM,3
AI,A673,6h,80uM,3
AI,AGS,6h,0.1uM,1
AI,AGS,6h,100uM,2
AI,AGS,6h,10uM,12
AI,AGS,6h,1uM,2
AI,AGS,6h,40uM,1
AI,AGS,6h,80uM,1
AI,AGS,6h,90uM,1
AI,ASC,24h,0.04uM,18
AI,ASC,24h,0.12uM,5
AI,ASC,24h,0.37uM,8
AI,ASC,24h,1.11uM,7
AI,ASC,24h,10uM,95
AI,ASC,24h,3.33uM,8
AI,ASC.C,24h,0.04uM,14
AI,ASC.C,24h,0.12uM,9
AI,ASC.C,24h,0.37uM,9
AI,ASC.C,24h,1.11uM,8
AI,ASC.C,24h,10uM,12
AI,ASC.C,24h,3.33uM,6
AI,BT20,24h,0.04uM,7
AI,BT20,24h,0.12uM,6
AI,BT20,24h,0.1uM,5
AI,BT20,24h,0.37uM,8
AI,BT20,24h,0.5uM,4
AI,BT20,24h,1.11uM,11
AI,BT20,24h,10uM,21
AI,BT20,24h,1uM,7
AI,BT20,24h,3.33uM,14
AI,BT20,3h,0.04uM,4
AI,BT20,3h,0.12uM,7
AI,BT20,3h,0.37uM,5
AI,BT20,3h,1.11uM,5
AI,BT20,3h,10uM,8
AI,BT20,3h,3.33uM,5
AI,BT20,6h,0.1uM,2
AI,BT20,6h,0.5uM,4
AI,BT20,6h,10uM,5
AI,BT20,6h,1uM,2
AI,CD34,24h,0.04uM,9
AI,CD34,24h,0.12uM,11
AI,CD34,24h,0.37uM,7
AI,CD34,24h,1.11uM,7
AI,CD34,24h,10uM,12
AI,CD34,24h,1uM,2
AI,CD34,24h,3.33uM,8
AI,CD34,24h,3uM,2
AI,CD34,6h,0.5uM,1
AI,CD34,6h,1uM,2
AI,CD34,6h,3uM,1
AI,CL34,6h,0.5uM,1
AI,CL34,6h,100uM,2
AI,CL34,6h,10uM,8
AI,CL34,6h,3uM,1
AI,CL34,6h,40uM,1
AI,CL34,6h,5uM,1
AI,CL34,6h,80uM,2
AI,CORL23,6h,100uM,1
AI,CORL23,6h,10uM,9
AI,CORL23,6h,1uM,1
AI,COV644,6h,10uM,8
AI,COV644,6h,30uM,1
AI,DV90,6h,100uM,1
AI,DV90,6h,10uM,7
AI,DV90,6h,80uM,2
AI,DV90,6h,90uM,1
AI,EFO27,6h,0.1uM,1
AI,EFO27,6h,0.5uM,1
AI,EFO27,6h,100uM,3
AI,EFO27,6h,10uM,13
AI,EFO27,6h,40uM,1
AI,EFO27,6h,80uM,1
AI,FIBRNPC,24h,10uM,19
AI,FIBRNPC,24h,1uM,1
AI,FIBRNPC,6h,10uM,21
AI,H1299,6h,0.1uM,1
AI,H1299,6h,100uM,2
AI,H1299,6h,10uM,12
AI,H1299,6h,30uM,1
AI,H1299,6h,40uM,1
AI,H1299,6h,70uM,1
AI,H1299,6h,80uM,1
AI,H1299,6h,90uM,2
AI,HA1E,24h,0.01uM,1
AI,HA1E,24h,0.03uM,2
AI,HA1E,24h,0.04uM,136
AI,HA1E,24h,0.06uM,1
AI,HA1E,24h,0.12uM,88
AI,HA1E,24h,0.1uM,3
AI,HA1E,24h,0.35uM,1
AI,HA1E,24h,0.37uM,103
AI,HA1E,24h,0.53uM,1
AI,HA1E,24h,0.5uM,7
AI,HA1E,24h,1.11uM,105
AI,HA1E,24h,1.28uM,1
AI,HA1E,24h,1.39uM,1
AI,HA1E,24h,100uM,3
AI,HA1E,24h,10uM,306
AI,HA1E,24h,1uM,3
AI,HA1E,24h,20uM,12
AI,HA1E,24h,3.33uM,124
AI,HA1E,24h,3.35uM,1
AI,HA1E,24h,30uM,1
AI,HA1E,24h,3uM,2
AI,HA1E,24h,4.8uM,1
AI,HA1E,24h,40uM,3
AI,HA1E,24h,70uM,2
AI,HA1E,24h,80uM,3
AI,HA1E,24h,90uM,1
AI,HA1E,6h,0.1uM,5
AI,HA1E,6h,0.5uM,5
AI,HA1E,6h,10uM,201
AI,HA1E,6h,1uM,1
AI,HA1E,6h,20uM,9
AI,HA1E,6h,3uM,3
AI,HA1E,6h,40uM,3
AI,HA1E,6h,5uM,2
