region,cellline,time,concentration,n
AI,A375,24h,0.04uM,2
AI,A375,24h,0.12uM,4
AI,A375,24h,0.37uM,1
AI,A375,24h,1.11uM,4
AI,A375,24h,10uM,8
AI,A375,24h,3.33uM,2
AI,A375,6h,0.1uM,1
AI,A375,6h,0.5uM,1
AI,A375,6h,10uM,51
AI,A375,6h,1uM,1
AI,A375,6h,80uM,1
AI,A549,24h,0.1uM,1
AI,A549,24h,0.5uM,1
AI,A549,24h,10uM,18
AI,A549,6h,0.01uM,2
AI,A549,6h,0.1uM,1
AI,A549,6h,10uM,42
AI,A549,6h,1uM,1
AI,A549,6h,3uM,2
AI,A549,6h,80uM,2
AI,A673,6h,0.5uM,1
AI,A673,6h,100uM,1
AI,A673,6h,10uM,6
AI,A673,6h,1uM,1
AI,A673,6h,40uM,2
AI,A673,6h,80uM,1
AI,AGS,6h,10uM,3
AI,AGS,6h,40uM,1
AI,ASC,24h,10uM,2
AI,BT20,24h,3.33uM,1
AI,BT20,3h,10uM,2
AI,BT20,3h,3.33uM,1
AI,BT20,6h,10uM,1
AI,CD34,6h,0.5uM,1
AI,CD34,6h,10uM,1
AI,CD34,6h,1uM,1
AI,CD34,6h,3uM,1
AI,CL34,6h,10uM,3
AI,CORL23,6h,0.5uM,1
AI,CORL23,6h,10uM,5
AI,CORL23,6h,30uM,1
AI,COV644,6h,10uM,1
AI,DV90,6h,10uM,2
AI,EFO27,6h,10uM,3
AI,EFO27,6h,80uM,1
AI,FIBRNPC,24h,10uM,2
AI,FIBRNPC,6h,10uM,1
AI,H1299,6h,100uM,2
AI,H1299,6h,10uM,5
AI,H1299,6h,30uM,1
AI,HA1E,24h,0.04uM,1
AI,HA1E,24h,10uM,3
AI,HA1E,6h,0.5uM,1
AI,HA1E,6h,10uM,17
AI,HA1E,6h,80uM,1
AI,HCC15,6h,10uM,3
AI,HCC515,24h,10uM,4
AI,HCC515,6h,0.1uM,2
AI,HCC515,6h,0.5uM,3
AI,HCC515,6h,10uM,21
AI,HCC515,6h,1uM,2
AI,HCC515,6h,3uM,1
AI,HCT116,6h,0.5uM,1
AI,HCT116,6h,10uM,2
AI,HEC108,6h,10uM,3
AI,HELA,24h,0.03uM,1
AI,HELA,24h,0.04uM,1
AI,HELA,24h,0.12uM,1
AI,HELA,24h,0.1uM,1
AI,HELA,24h,0.37uM,1
AI,HELA,24h,10uM,2
AI,HELA,24h,3.33uM,2
AI,HEPG2,24h,10uM,1
AI,HEPG2,6h,100uM,1
AI,HEPG2,6h,10uM,34
AI,HEPG2,6h,80uM,1
AI,HEPG2,6h,90uM,1
AI,HME1,3h,1.11uM,1
AI,HME1,3h,10uM,2
AI,HME1,3h,3.33uM,1
AI,HS578T,24h,0.12uM,1
AI,HS578T,24h,0.37uM,1
AI,HS578T,24h,0.5uM,1
AI,HS578T,24h,1.11uM,1
AI,HS578T,24h,10uM,1
AI,HS578T,3h,0.04uM,1
AI,HS578T,3h,10uM,4
AI,HS578T,3h,3.33uM,1
AI,HT115,6h,10uM,1
AI,HT29,24h,1.11uM,1
AI,HT29,24h,10uM,4
AI,HT29,6h,0.5uM,1
AI,HT29,6h,10uM,31
AI,HUH7,6h,10uM,1
AI,HUH7,6h,1uM,1
AI,HUH7,6h,5uM,1
AI,HUVEC,24h,10uM,6
AI,LNCAP,3h,10uM,1
AI,LOVO,6h,10uM,3
AI,MCF10A,24h,0.37uM,1
AI,MCF10A,24h,10uM,1
AI,MCF10A,3h,10uM,1
AI,MCF7,24h,0.04uM,8
AI,MCF7,24h,0.12uM,2
AI,MCF7,24h,0.1uM,1
AI,MCF7,24h,0.37uM,5
AI,MCF7,24h,0.5uM,1
AI,MCF7,24h,1.11uM,1
AI,MCF7,24h,10uM,38
AI,MCF7,24h,1uM,1
AI,MCF7,24h,3.33uM,2
AI,MCF7,3h,10uM,2
AI,MCF7,6h,0.5uM,1
AI,MCF7,6h,10uM,29
AI,MCF7,6h,30uM,1
AI,MCF7,6h,3uM,1
AI,MDAMB231,24h,3.33uM,2
AI,MDAMB231,3h,10uM,3
AI,MDST8,6h,0.5uM,1
AI,MDST8,6h,100uM,1
AI,MDST8,6h,10uM,2
AI,MDST8,6h,80uM,1
AI,NCIH1694,6h,10uM,3
AI,NCIH2073,6h,10uM,4
AI,NCIH2073,6h,70uM,1
AI,NCIH2073,6h,80uM,1
AI,NCIH508,6h,10uM,1
AI,NCIH596,6h,0.5uM,1
AI,NCIH596,6h,100uM,1
AI,NCIH596,6h,10uM,3
AI,NCIH596,6h,1uM,1
AI,NCIH596,6h,80uM,1
AI,NEU,24h,10uM,5
AI,NEU,6h,10uM,7
AI,NOMO1,6h,10uM,1
AI,NPC,24h,10uM,1
AI,NPC,6h,10uM,20
AI,OV7,6h,10uM,4
AI,PC3,24h,0.04uM,2
AI,PC3,24h,0.12uM,6
AI,PC3,24h,0.37uM,6
AI,PC3,24h,0.5uM,3
AI,PC3,24h,1.11uM,11
AI,PC3,24h,10uM,62
AI,PC3,24h,1uM,1
AI,PC3,24h,20uM,1
AI,PC3,24h,3.33uM,16
AI,PC3,24h,3uM,1
AI,PC3,24h,70uM,1
AI,PC3,6h,0.5uM,1
AI,PC3,6h,10uM,52
AI,PC3,6h,1uM,2
AI,PC3,6h,20uM,1
