region,cellline,time,concentration,n
AI,A375,24h,0.04uM,40
AI,A375,24h,0.12uM,36
AI,A375,24h,0.1uM,2
AI,A375,24h,0.21uM,1
AI,A375,24h,0.37uM,45
AI,A375,24h,0.5uM,3
AI,A375,24h,1.11uM,57
AI,A375,24h,10uM,96
AI,A375,24h,3.33uM,67
AI,A375,24h,3uM,3
AI,A375,24h,5.77uM,1
AI,A375,24h,80uM,2
AI,A375,6h,0.1uM,3
AI,A375,6h,0.5uM,5
AI,A375,6h,10uM,145
AI,A375,6h,1uM,1
AI,A375,6h,3uM,6
AI,A375,6h,5uM,1
AI,A375,6h,80uM,1
AI,A549,24h,0.001uM,4
AI,A549,24h,0.01uM,3
AI,A549,24h,0.04uM,7
AI,A549,24h,0.12uM,6
AI,A549,24h,0.1uM,5
AI,A549,24h,0.37uM,13
AI,A549,24h,0.5uM,6
AI,A549,24h,1.11uM,18
AI,A549,24h,100uM,1
AI,A549,24h,10uM,156
AI,A549,24h,1uM,6
AI,A549,24h,3.33uM,10
AI,A549,24h,3uM,14
AI,A549,24h,40uM,1
AI,A549,24h,70uM,1
AI,A549,24h,80uM,1
AI,A549,6h,0.001uM,2
AI,A549,6h,0.01uM,15
AI,A549,6h,0.1uM,5
AI,A549,6h,0.5uM,13
AI,A549,6h,100uM,2
AI,A549,6h,10uM,109
AI,A549,6h,1uM,11
AI,A549,6h,3uM,13
AI,A549,6h,40uM,1
AI,A549,6h,80uM,1
AI,A549,6h,90uM,1
AI,A673,6h,70uM,1
AI,AGS,6h,0.1uM,1
AI,AGS,6h,10uM,9
AI,AGS,6h,1uM,2
AI,AGS,6h,70uM,1
AI,AGS,6h,80uM,1
AI,ASC,24h,0.04uM,3
AI,ASC,24h,0.12uM,3
AI,ASC,24h,0.37uM,2
AI,ASC,24h,1.11uM,3
AI,ASC,24h,10uM,52
AI,ASC,24h,3.33uM,1
AI,ASC.C,24h,0.04uM,2
AI,ASC.C,24h,0.12uM,4
AI,ASC.C,24h,0.37uM,2
AI,ASC.C,24h,1.11uM,4
AI,ASC.C,24h,10uM,5
AI,ASC.C,24h,3.33uM,6
AI,BT20,24h,0.04uM,7
AI,BT20,24h,0.12uM,5
AI,BT20,24h,0.1uM,8
AI,BT20,24h,0.37uM,6
AI,BT20,24h,0.5uM,9
AI,BT20,24h,1.11uM,5
AI,BT20,24h,10uM,15
AI,BT20,24h,1uM,9
AI,BT20,24h,3.33uM,10
AI,BT20,3h,0.04uM,7
AI,BT20,3h,0.12uM,8
AI,BT20,3h,0.37uM,4
AI,BT20,3h,1.11uM,8
AI,BT20,3h,10uM,10
AI,BT20,3h,3.33uM,7
AI,BT20,6h,0.1uM,3
AI,BT20,6h,0.5uM,2
AI,BT20,6h,10uM,5
AI,BT20,6h,1uM,3
AI,CD34,24h,0.04uM,1
AI,CD34,24h,0.12uM,2
AI,CD34,24h,0.37uM,2
AI,CD34,24h,1.11uM,3
AI,CD34,24h,10uM,2
AI,CD34,24h,1uM,1
AI,CD34,24h,3.33uM,1
AI,CD34,24h,3uM,1
AI,CD34,6h,10uM,1
AI,CL34,6h,10uM,3
AI,CORL23,6h,10uM,4
AI,COV644,6h,10uM,3
AI,COV644,6h,30uM,1
AI,DV90,6h,0.1uM,1
AI,DV90,6h,10uM,10
AI,DV90,6h,80uM,1
AI,EFO27,6h,0.1uM,2
AI,EFO27,6h,10uM,9
AI,FIBRNPC,24h,10uM,3
AI,FIBRNPC,6h,0.1uM,2
AI,FIBRNPC,6h,10uM,13
AI,H1299,6h,10uM,5
AI,H1299,6h,40uM,1
AI,H1299,6h,90uM,1
AI,HA1E,24h,0.04uM,21
AI,HA1E,24h,0.12uM,26
AI,HA1E,24h,0.1uM,2
AI,HA1E,24h,0.37uM,23
AI,HA1E,24h,0.5uM,1
AI,HA1E,24h,0.9uM,1
AI,HA1E,24h,1.11uM,33
AI,HA1E,24h,100uM,1
AI,HA1E,24h,10uM,106
AI,HA1E,24h,1uM,1
AI,HA1E,24h,3.33uM,41
AI,HA1E,24h,30uM,1
AI,HA1E,24h,3uM,4
AI,HA1E,24h,40uM,1
AI,HA1E,6h,0.1uM,1
AI,HA1E,6h,0.5uM,1
AI,HA1E,6h,100uM,1
AI,HA1E,6h,10uM,85
AI,HA1E,6h,1uM,2
AI,HA1E,6h,5uM,1
AI,HA1E,6h,80uM,1
AI,HCC15,6h,10uM,11
AI,HCC15,6h,80uM,1
AI,HCC515,24h,0.04uM,12
AI,HCC515,24h,0.12uM,12
AI,HCC515,24h,0.1uM,3
AI,HCC515,24h,0.37uM,11
AI,HCC515,24h,0.5uM,4
AI,HCC515,24h,1.11uM,17
AI,HCC515,24h,10uM,107
AI,HCC515,24h,3.33uM,19
AI,HCC515,24h,3uM,2
AI,HCC515,24h,5uM,1
AI,HCC515,24h,80uM,1
AI,HCC515,6h,0.001uM,2
AI,HCC515,6h,0.1uM,8
AI,HCC515,6h,0.5uM,5
AI,HCC515,6h,10uM,144
AI,HCC515,6h,1uM,2
AI,HCC515,6h,3uM,2
AI,HCC515,6h,40uM,1
AI,HCC515,6h,80uM,3
AI,HCC515,6h,90uM,2
AI,HCT116,6h,0.1uM,1
AI,HCT116,6h,10uM,1
AI,HCT116,6h,80uM,1
AI,HEC108,6h,0.5uM,1
