region,cellline,time,concentration,n
AI,A375,24h,0.02uM,1
AI,A375,24h,0.04uM,90
AI,A375,24h,0.12uM,79
AI,A375,24h,0.1uM,4
AI,A375,24h,0.37uM,100
AI,A375,24h,0.41uM,1
AI,A375,24h,0.5uM,6
AI,A375,24h,1.11uM,116
AI,A375,24h,1.24uM,1
AI,A375,24h,100uM,4
AI,A375,24h,10uM,236
AI,A375,24h,11.2uM,1
AI,A375,24h,1uM,4
AI,A375,24h,3.33uM,126
AI,A375,24h,3.73uM,1
AI,A375,24h,3uM,2
AI,A375,24h,40uM,5
AI,A375,24h,5.77uM,1
AI,A375,24h,80uM,3
AI,A375,6h,0.1uM,1
AI,A375,6h,0.5uM,5
AI,A375,6h,100uM,3
AI,A375,6h,10uM,222
AI,A375,6h,1uM,2
AI,A375,6h,3uM,2
AI,A375,6h,5uM,1
AI,A375,6h,90uM,1
AI,A549,24h,0.001uM,7
AI,A549,24h,0.01uM,3
AI,A549,24h,0.04uM,13
AI,A549,24h,0.12uM,15
AI,A549,24h,0.1uM,6
AI,A549,24h,0.37uM,11
AI,A549,24h,0.5uM,5
AI,A549,24h,1.11uM,14
AI,A549,24h,100uM,1
AI,A549,24h,10uM,184
AI,A549,24h,1uM,7
AI,A549,24h,3.33uM,16
AI,A549,24h,3.7uM,1
AI,A549,24h,30uM,1
AI,A549,24h,3uM,2
AI,A549,24h,80uM,2
AI,A549,6h,0.001uM,7
AI,A549,6h,0.01uM,15
AI,A549,6h,0.1uM,11
AI,A549,6h,0.5uM,13
AI,A549,6h,100uM,3
AI,A549,6h,10uM,212
AI,A549,6h,1uM,14
AI,A549,6h,3uM,10
AI,A549,6h,40uM,1
AI,A549,6h,70uM,1
AI,A549,6h,80uM,2
AI,A549,6h,90uM,1
AI,A673,6h,0.1uM,1
AI,A673,6h,0.5uM,1
AI,A673,6h,100uM,2
AI,A673,6h,10uM,9
AI,A673,6h,30uM,1
AI,A673,6h,40uM,1
AI,A673,6h,90uM,1
AI,AGS,6h,100uM,1
AI,AGS,6h,10uM,15
AI,AGS,6h,80uM,1
AI,ASC,24h,0.04uM,6
AI,ASC,24h,0.12uM,1
AI,ASC,24h,0.37uM,2
AI,ASC,24h,1.11uM,4
AI,ASC,24h,10uM,72
AI,ASC,24h,3.33uM,2
AI,ASC.C,24h,0.04uM,2
AI,ASC.C,24h,0.12uM,8
AI,ASC.C,24h,0.37uM,5
AI,ASC.C,24h,1.11uM,12
AI,ASC.C,24h,10uM,11
AI,ASC.C,24h,3.33uM,8
AI,BT20,24h,0.04uM,6
AI,BT20,24h,0.12uM,4
AI,BT20,24h,0.1uM,4
AI,BT20,24h,0.37uM,4
AI,BT20,24h,0.5uM,5
AI,BT20,24h,1.11uM,6
AI,BT20,24h,10uM,9
AI,BT20,24h,1uM,6
AI,BT20,24h,3.33uM,5
AI,BT20,3h,0.04uM,4
AI,BT20,3h,0.12uM,6
AI,BT20,3h,0.37uM,6
AI,BT20,3h,1.11uM,4
AI,BT20,3h,10uM,9
AI,BT20,3h,3.33uM,3
AI,BT20,6h,0.1uM,4
AI,BT20,6h,0.5uM,3
AI,BT20,6h,10uM,4
AI,BT20,6h,1uM,4
AI,CD34,24h,0.04uM,2
AI,CD34,24h,0.12uM,4
AI,CD34,24h,0.37uM,4
AI,CD34,24h,0.5uM,2
AI,CD34,24h,1.11uM,3
AI,CD34,24h,10uM,10
AI,CD34,24h,1uM,3
AI,CD34,24h,3.33uM,4
AI,CD34,24h,3uM,1
AI,CD34,6h,0.5uM,2
AI,CD34,6h,10uM,3
AI,CD34,6h,1uM,2
AI,CL34,6h,0.1uM,1
AI,CL34,6h,0.5uM,1
AI,CL34,6h,100uM,2
AI,CL34,6h,10uM,5
AI,CL34,6h,40uM,1
AI,CL34,6h,5uM,1
AI,CL34,6h,80uM,1
AI,CORL23,6h,100uM,1
AI,CORL23,6h,10uM,6
AI,CORL23,6h,40uM,1
AI,CORL23,6h,90uM,1
AI,COV644,6h,10uM,9
AI,DV90,6h,10uM,4
AI,DV90,6h,80uM,2
AI,EFO27,6h,100uM,2
AI,EFO27,6h,10uM,7
AI,EFO27,6h,80uM,1
AI,FIBRNPC,24h,10uM,29
AI,FIBRNPC,6h,0.1uM,2
AI,FIBRNPC,6h,10uM,13
