region,cellline,time,concentration,n
AI,A375,24h,0.04uM,50
AI,A375,24h,0.12uM,49
AI,A375,24h,0.37uM,66
AI,A375,24h,0.41uM,1
AI,A375,24h,0.5uM,1
AI,A375,24h,1.11uM,56
AI,A375,24h,1.24uM,1
AI,A375,24h,100uM,2
AI,A375,24h,10uM,117
AI,A375,24h,1uM,3
AI,A375,24h,3.33uM,61
AI,A375,24h,3.73uM,1
AI,A375,24h,3uM,6
AI,A375,24h,40uM,1
AI,A375,24h,80uM,2
AI,A375,6h,0.1uM,1
AI,A375,6h,0.5uM,2
AI,A375,6h,10uM,103
AI,A375,6h,3uM,1
AI,A375,6h,40uM,1
AI,A549,24h,0.001uM,5
AI,A549,24h,0.01uM,5
AI,A549,24h,0.04uM,3
AI,A549,24h,0.12uM,3
AI,A549,24h,0.1uM,7
AI,A549,24h,0.37uM,3
AI,A549,24h,0.5uM,12
AI,A549,24h,1.11uM,9
AI,A549,24h,100uM,1
AI,A549,24h,10uM,142
AI,A549,24h,1uM,13
AI,A549,24h,3.33uM,10
AI,A549,24h,3uM,9
AI,A549,24h,80uM,2
AI,A549,24h,90uM,1
AI,A549,6h,0.001uM,1
AI,A549,6h,0.01uM,5
AI,A549,6h,0.1uM,5
AI,A549,6h,0.5uM,5
AI,A549,6h,10uM,107
AI,A549,6h,1uM,3
AI,A549,6h,3uM,7
AI,A549,6h,40uM,1
AI,A549,6h,70uM,1
AI,A549,6h,80uM,1
AI,A673,6h,0.5uM,1
AI,A673,6h,100uM,2
AI,A673,6h,10uM,11
AI,A673,6h,30uM,1
AI,A673,6h,40uM,1
AI,A673,6h,80uM,1
AI,A673,6h,90uM,1
AI,AGS,6h,0.1uM,1
AI,AGS,6h,0.5uM,1
AI,AGS,6h,100uM,2
AI,AGS,6h,10uM,15
AI,AGS,6h,40uM,1
AI,AGS,6h,80uM,1
AI,ASC,24h,0.04uM,2
AI,ASC,24h,0.37uM,2
AI,ASC,24h,1.11uM,2
AI,ASC,24h,10uM,66
AI,ASC,24h,3.33uM,2
AI,ASC.C,24h,0.04uM,2
AI,ASC.C,24h,0.12uM,2
AI,ASC.C,24h,0.37uM,1
AI,ASC.C,24h,1.11uM,4
AI,ASC.C,24h,10uM,7
AI,ASC.C,24h,3.33uM,4
AI,BT20,24h,0.04uM,2
AI,BT20,24h,0.1uM,1
AI,BT20,24h,0.37uM,2
AI,BT20,24h,0.5uM,1
AI,BT20,24h,1.11uM,3
AI,BT20,24h,10uM,3
AI,BT20,24h,1uM,1
AI,BT20,24h,3.33uM,3
AI,BT20,3h,0.04uM,2
AI,BT20,3h,0.12uM,3
AI,BT20,3h,0.37uM,1
AI,BT20,3h,1.11uM,1
AI,BT20,3h,10uM,2
AI,BT20,3h,3.33uM,1
AI,BT20,6h,10uM,4
AI,CD34,24h,0.04uM,6
AI,CD34,24h,0.12uM,2
AI,CD34,24h,0.37uM,1
AI,CD34,24h,1.11uM,1
AI,CD34,24h,10uM,7
AI,CD34,24h,1uM,2
AI,CD34,24h,3.33uM,3
AI,CD34,24h,3uM,1
AI,CD34,6h,0.5uM,2
AI,CD34,6h,10uM,2
AI,CD34,6h,1uM,2
AI,CD34,6h,3uM,2
AI,CL34,6h,0.5uM,1
AI,CL34,6h,10uM,4
AI,CL34,6h,80uM,1
AI,CORL23,6h,10uM,4
AI,COV644,6h,10uM,5
AI,DV90,6h,100uM,1
AI,DV90,6h,10uM,9
AI,EFO27,6h,0.5uM,1
AI,EFO27,6h,10uM,3
AI,EFO27,6h,30uM,1
AI,EFO27,6h,40uM,1
AI,EFO27,6h,80uM,1
AI,FIBRNPC,24h,10uM,6
AI,FIBRNPC,6h,10uM,5
AI,H1299,6h,100uM,1
AI,H1299,6h,10uM,1
AI,H1299,6h,80uM,1
AI,HA1E,24h,0.04uM,40
AI,HA1E,24h,0.06uM,1
AI,HA1E,24h,0.12uM,37
AI,HA1E,24h,0.37uM,39
AI,HA1E,24h,0.5uM,2
AI,HA1E,24h,1.11uM,47
AI,HA1E,24h,100uM,1
AI,HA1E,24h,10uM,109
AI,HA1E,24h,20uM,3
AI,HA1E,24h,3.33uM,35
AI,HA1E,24h,3.35uM,1
AI,HA1E,24h,30uM,1
AI,HA1E,6h,0.5uM,2
AI,HA1E,6h,10uM,58
AI,HA1E,6h,1uM,1
AI,HA1E,6h,20uM,1
AI,HA1E,6h,40uM,1
AI,HCC15,6h,0.5uM,1
AI,HCC15,6h,10uM,5
AI,HCC515,24h,0.04uM,3
AI,HCC515,24h,0.12uM,6
AI,HCC515,24h,0.37uM,10
AI,HCC515,24h,0.5uM,1
AI,HCC515,24h,1.11uM,7
AI,HCC515,24h,1.23uM,1
AI,HCC515,24h,10uM,52
AI,HCC515,24h,3.33uM,6
AI,HCC515,6h,0.001uM,1
AI,HCC515,6h,0.01uM,1
AI,HCC515,6h,0.1uM,1
