Run,Age,alcool,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cause_of_death,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,drug_type,drugs,Experiment,gender,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,medication,medication_type,Organism,Ph,Phenotype,Platform,pmi,ReleaseDate,RIN,create_date,version,Sample Name,Smoking,source_name,SRA Study,TISSUE
SRR5956337,NA,NA,RNA-Seq,200,11704008600,PRJNA398031,SAMN07537453,7547319571,NA,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",NA,NA,SRX3114704,male,GSM2751009,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9,2017-08-22T22:01:00Z,1,GSM2751009,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956338,NA,NA,RNA-Seq,200,12304359200,PRJNA398031,SAMN07537452,7926767066,NA,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",NA,NA,SRX3114705,male,GSM2751010,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,8.5,2017-08-22T22:16:00Z,1,GSM2751010,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956339,NA,NA,RNA-Seq,200,237468000,PRJNA398031,SAMN07537451,154138859,NA,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",NA,NA,SRX3114706,male,GSM2751011,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,8.7,2017-08-22T21:15:00Z,1,GSM2751011,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956340,NA,NA,RNA-Seq,200,13014630800,PRJNA398031,SAMN07537450,8363016823,NA,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114707,male,GSM2751012,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9.1,2017-08-22T21:43:00Z,1,GSM2751012,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956341,NA,NA,RNA-Seq,200,10199712000,PRJNA398031,SAMN07537449,6574322814,NA,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",NA,NA,SRX3114708,male,GSM2751013,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9.2,2017-08-22T22:03:00Z,1,GSM2751013,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956342,NA,NA,RNA-Seq,200,17952336600,PRJNA398031,SAMN07537448,11595275211,NA,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",NA,NA,SRX3114709,male,GSM2751014,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,8.9,2017-08-22T22:02:00Z,1,GSM2751014,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956343,NA,NA,RNA-Seq,200,4072515000,PRJNA398031,SAMN07537447,2622382895,NA,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",NA,NA,SRX3114710,male,GSM2751015,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9.1,2017-08-22T21:22:00Z,1,GSM2751015,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956344,NA,NA,RNA-Seq,200,19097068200,PRJNA398031,SAMN07537446,12253823788,NA,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",NA,NA,SRX3114711,male,GSM2751016,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,8.8,2017-08-22T21:48:00Z,1,GSM2751016,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956345,NA,NA,RNA-Seq,200,9731476000,PRJNA398031,SAMN07537445,6465459466,NA,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",NA,NA,SRX3114712,male,GSM2751017,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,8.8,2017-08-22T21:54:00Z,1,GSM2751017,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
SRR5956346,NA,NA,RNA-Seq,200,7880389400,PRJNA398031,SAMN07537444,5245493286,NA,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",NA,NA,SRX3114713,female,GSM2751018,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,7.7,2017-08-22T21:31:00Z,1,GSM2751018,NA,prefrontal cortex (PFC),SRP115956,prefrontal cortex (PFC)
