Geneid,featureCounts on data 240: Counts_HISAT2 on data 12 and data 11: aligned reads (BAM),featureCounts on data 246: Counts_HISAT2 on data 18 and data 17: aligned reads (BAM),featureCounts on data 248: Counts_HISAT2 on data 20 and data 19: aligned reads (BAM)
100128822,98,115,128
100128881,46,24,21
100128885,35,38,63
100128890,228,96,133
100128893,6,0,0
100128905,2,0,0
100128927,52,21,22
100128946,99,85,28
100128977,8,0,2
100128993,3,8,4
100128998,0,0,0
100129027,88,13,12
100129034,3166,1758,1815
100129046,116,56,43
100129055,48,40,29
100129066,4,0,2
100129075,40,28,52
100129083,0,0,0
100129094,5,1,0
100129098,0,0,0
100129128,12,4,6
100129138,18,12,13
100129148,35,22,17
100129175,8,0,0
100129195,241,135,144
100129196,79,9,13
100129203,149,84,118
100129213,35,30,10
100129215,96,58,28
100129216,42,14,17
100129223,379,633,743
100129239,0,0,0
100129250,108,110,104
100129269,16,9,7
100129271,0,0,0
100129278,6,0,0
100129307,0,1,1
100129316,42,15,13
100129345,0,1,0
100129354,3,15,7
100129361,4,0,0
100129385,11,3,5
100129387,2085,1346,748
100129396,64,63,28
100129405,148,66,54
100129407,0,7,0
100129424,90,59,30
100129427,0,0,0
100129434,224,127,123
100129460,779,548,466
100129461,129,94,86
100129464,35,21,15
100129480,207,248,120
100129482,4385,5388,4330
100129503,34,13,7
100129515,0,2,0
100129518,71,59,49
100129520,10,6,4
100129528,0,2,0
100129534,143,126,39
100129543,166,135,62
100129550,760,711,649
100129583,385,176,169
100129597,0,0,0
100129603,2,0,1
100129617,127,69,61
100129620,12,50,58
100129636,0,0,0
100129654,105,10,4
100129662,50,16,27
100129669,4,4,1
100129697,5,5,4
100129716,109,36,25
100129722,0,0,1
100129726,37,8,11
100129792,872,386,310
100129794,142,33,32
100129827,138,48,60
100129842,2875,3017,2724
100129845,13,12,0
100129858,69,37,63
100129860,2,0,1
100129917,505,239,170
100129924,9,6,4
100129931,54,45,35
100129935,0,4,0
100129940,59,14,14
100129961,153,295,183
100129973,81,87,76
10013,3270,1840,1606
100130015,115,56,55
100130017,0,0,1
100130075,30,11,5
100130086,18,17,11
100130093,98,81,120
100130097,354,264,206
100130100,185,126,90
100130148,2,6,2
100130155,1564,4049,3927
100130197,9,13,17
100130231,73,5,35
100130238,84,143,94
100130264,51,24,17
100130274,0,0,0
100130275,2,2,2
100130298,29,11,5
100130301,4,10,4
100130302,4,4,0
100130311,112,152,158
100130331,84,68,66
100130342,15,11,6
100130345,41,94,42
100130348,52,23,4
100130357,299,215,182
100130361,0,0,0
100130370,783,206,174
100130386,6,7,11
100130417,41,8,6
100130418,308,169,160
100130449,109,79,97
100130451,44,10,16
100130452,3,0,1
100130460,1,2,0
100130476,10,8,8
100130480,2,2,1
100130519,103,90,71
100130520,3,0,0
100130522,155,77,118
100130539,50,31,15
100130557,364,215,192
100130581,181,51,64
100130587,38,51,29
100130613,5,0,0
100130673,7,19,12
100130691,506,358,343
100130700,0,0,0
100130705,150,206,131
100130717,20,15,12
100130733,264,105,124
100130742,118,42,54
100130744,156,107,95
100130771,727,47,68
100130776,24,17,15
100130827,0,0,0
100130849,0,0,0
100130855,99,83,70
100130872,174,65,38
100130880,24,9,10
100130887,10,99,78
100130889,4,0,0
100130890,539,359,432
100130894,462,171,148
100130899,18,12,4
100130933,119,48,32
100130934,184,98,56
100130935,0,1,0
100130950,225,136,133
100130954,0,0,0
100130958,17,29,10
100130964,0,0,0
100130967,28,25,11
100130987,93,49,50
100130988,1,0,2
100130992,747,300,328
100131017,980,765,635
100131047,0,0,0
100131060,103,30,46
100131067,811,512,462
100131089,429,135,148
100131094,55,14,29
100131096,449,125,106
100131107,0,0,0
100131117,320,109,72
100131137,0,2,0
100131138,0,2,0
100131176,161,11,9
100131187,619,240,526
100131193,101,73,54
100131205,127,93,86
100131208,100,210,297
100131211,1205,807,745
100131213,63,28,26
100131234,328,158,109
100131244,262,80,182
100131257,163,11,20
100131289,12,34,34
100131303,8,0,2
100131315,0,0,0
100131320,33,32,69
100131347,25,23,19
100131366,2,0,2
100131378,8,1,8
100131390,29,44,47
100131434,341,278,182
100131439,0,0,0
100131454,51,98,74
100131496,127,82,63
100131532,43,21,26
100131539,37,24,12
100131551,0,2,2
100131561,25,12,12
100131564,2239,966,740
100131608,0,0,0
100131626,13,13,12
100131635,9,14,13
100131655,26,16,9
100131691,60,28,21
100131726,0,0,0
100131733,25,11,22
100131755,3023,3062,2642
100131801,562,518,626
100131814,163,32,44
100131816,0,0,0
100131825,103,99,99
100131827,1898,1283,1156
100131897,1123,455,684
100131902,0,0,0
100131980,5,2,2
100131997,74,59,54
100131998,222,312,258
100132004,12,6,2
100132057,502,229,201
100132062,15,8,5
100132074,98,39,62
100132077,61,65,63
100132078,27,1,6
100132101,6,9,4
100132103,71,44,37
100132111,135,150,99
100132116,99,188,155
100132146,6,2,2
100132154,9,8,11
100132159,18,44,8
100132163,35,23,17
100132169,10,27,9
100132174,6,0,2
100132215,207,160,82
100132247,801,774,458
100132273,0,0,0
100132287,23,10,3
100132288,34,35,9
100132304,0,1,3
100132341,431,431,346
100132352,961,933,650
100132354,27,13,16
100132356,297,136,101
100132386,0,0,0
100132396,0,0,0
100132399,0,0,0
100132403,23,2,14
100132406,495,179,128
100132417,35,5,6
100132463,1,3,5
100132464,0,0,0
100132476,0,0,0
100132526,98,107,72
100132529,24,5,14
100132541,158,281,240
100132565,0,2,2
100132594,34,21,10
100132596,0,0,0
100132618,86,71,116
100132677,94,54,21
100132707,316,120,141
100132708,3,0,0
100132724,144,129,101
100132735,3,2,0
100132741,31,2,5
100132774,69,41,16
100132781,145,112,88
100132813,330,469,404
100132815,1357,1089,1116
100132831,0,0,0
100132832,297,167,37
100132874,0,78,30
100132891,133,92,100
100132911,55,27,26
100132916,4,2,5
100132923,328,109,97
100132929,0,0,2
100132948,26,14,9
100132963,2,0,0
100132967,1,1,0
100132979,0,0,3
100132987,111,128,103
100132994,0,0,0
100133036,3,5,3
100133050,6,6,6
100133053,0,0,0
100133077,59,85,43
100133091,4,2,0
100133093,0,2,0
100133121,67,53,56
100133123,0,9,5
100133161,11,3,0
100133172,38,22,41
100133205,60,26,25
100133220,1,2,9
100133234,192,202,192
100133251,4,0,4
100133267,0,0,0
100133286,9,14,9
100133301,2,7,2
100133308,6,28,7
100133311,0,2,0
100133315,158,87,64
100133319,206,257,210
100133331,102,11,0
100133461,0,0,2
100133545,6,3,2
100133612,2,2,3
100133669,72,96,39
100133920,89,38,26
100133941,10390,808,1894
100133957,8,4,12
100133985,25,17,14
100133991,78,58,48
100134015,44,77,42
100134229,87,112,87
100134259,18,16,16
100134317,48,21,7
100134368,27,14,14
100134391,0,2,0
100134444,1,1,0
100134713,69,71,56
100134868,134,50,42
100134869,9,3,0
100134934,0,0,0
100134938,3,4,1
100137047,320,182,167
100137049,6,0,7
10014,3053,3247,3025
100141515,3,0,0
100142659,4,4,1
100144595,65,61,71
100144596,1,7,0
100144597,0,0,0
100144602,27,51,20
100144603,103,96,62
100144604,11,4,8
100144748,131,74,74
100147744,0,0,0
100147773,210,71,86
10015,6125,4898,5283
100151643,0,2,1
100151683,911,605,659
100151684,490,284,224
100158262,57,25,45
10016,1587,1361,1705
100169751,0,0,0
100169752,0,0,0
100169753,0,0,0
100169754,0,0,0
100169755,0,0,0
100169756,0,0,0
100169757,0,0,0
100169758,0,0,0
100169759,0,0,0
100169760,0,0,0
100169761,0,0,0
100169762,0,0,0
100169763,0,0,0
100169764,0,0,0
100169765,0,0,0
100169766,0,0,0
100169767,0,0,0
100169768,0,0,0
100169851,39,44,45
100169890,0,0,0
100169951,0,0,0
100169952,0,0,0
100169953,0,0,0
100169954,0,0,0
100169955,0,0,0
100169956,0,0,0
100169957,0,0,0
100169958,0,0,0
100169959,0,0,0
100169989,52,28,23
10017,14,5,14
100170216,0,0,0
100170217,0,0,0
100170218,0,0,0
100170219,0,0,0
100170220,0,0,0
100170221,0,2,0
100170222,0,0,0
100170223,0,0,0
100170224,0,0,0
100170225,0,0,0
100170226,0,0,0
100170227,0,0,2
100170228,0,0,0
100170229,134,60,39
100170765,3,2,2
100170841,2,0,0
10018,853,330,285
100187716,0,0,0
100188847,23,21,14
100188893,1078,799,799
100188917,32,0,0
100188947,45,17,13
100188949,42,54,26
100188953,119,40,40
100188954,25,21,15
100188985,23,12,5
100188986,5,1,0
100188987,0,0,0
100188988,3,3,0
100188990,0,0,0
100188991,0,0,1
100188992,2,1,0
100188993,1,0,0
100188995,4,4,2
100188997,2,0,1
100188998,0,2,0
100189001,5,1,5
100189002,0,0,0
100189003,0,0,0
100189004,1,0,0
100189005,4,3,7
100189006,0,0,0
100189008,0,0,4
100189009,0,0,0
100189011,39,15,15
100189012,0,0,0
100189013,27,4,5
100189014,0,0,0
100189015,4,0,0
100189017,0,0,0
100189018,0,0,1
100189019,0,0,0
100189020,0,0,0
100189021,2,0,0
100189022,2,1,0
100189024,0,0,0
100189025,0,1,0
100189028,1,2,0
100189030,12,12,24
100189032,10,2,6
100189033,0,0,0
100189034,0,0,0
100189035,0,0,0
100189036,0,0,0
100189037,2,2,5
100189038,0,0,0
100189039,0,0,0
100189040,0,1,0
100189041,2,0,0
100189042,0,0,0
100189045,0,0,0
100189046,0,0,0
100189047,0,0,0
100189048,0,0,0
100189049,2,2,0
100189050,0,0,0
100189052,0,1,0
100189053,0,0,0
100189056,0,0,0
100189059,0,0,0
100189062,0,0,0
100189063,0,0,0
100189064,6,6,6
100189065,0,0,0
100189066,0,0,0
100189067,0,0,0
100189070,0,0,0
100189071,4,6,14
100189072,0,0,2
100189074,0,0,0
100189075,2,0,0
100189077,2,18,2
100189078,2,0,3
100189080,1,5,2
100189082,0,0,0
100189083,0,1,0
100189084,0,0,0
100189085,0,0,0
100189086,1,0,0
100189088,0,0,0
100189089,6,4,4
100189090,0,1,0
100189091,0,0,0
100189092,0,0,0
100189093,0,0,0
100189094,0,0,0
100189095,0,0,0
100189097,4,4,3
100189098,0,0,0
100189099,0,0,0
100189101,0,0,0
100189102,8,4,4
100189103,3,2,0
100189105,0,0,0
100189107,75,21,23
100189109,2,0,1
100189110,0,2,0
100189111,0,0,0
100189112,0,0,0
100189114,0,0,0
100189115,1,1,1
100189118,0,0,2
100189119,2,1,2
100189120,0,0,0
100189121,0,0,0
100189122,0,0,0
100189123,0,0,0
100189124,0,0,0
100189125,0,0,0
100189126,0,0,0
100189127,0,0,0
100189130,1,1,2
100189131,0,2,2
100189132,0,0,0
100189133,16,19,15
100189134,0,0,0
100189135,1,0,0
100189136,0,0,0
100189137,0,0,0
100189138,0,0,0
100189139,0,0,0
100189140,0,0,0
100189141,0,0,0
100189142,0,0,0
100189143,0,0,0
100189144,1,0,1
100189145,0,0,0
100189146,5,6,0
100189149,0,0,0
100189151,5,2,0
100189152,0,0,0
100189153,2,2,4
100189155,1,0,0
100189157,0,2,2
100189158,10,6,0
100189159,0,0,0
100189160,0,0,0
100189161,0,0,0
100189162,0,0,0
100189163,5,2,4
100189164,1,0,0
100189166,0,0,0
100189167,0,0,0
100189168,59,31,62
100189169,0,0,0
100189170,0,0,0
100189171,1,0,2
100189172,0,0,0
100189173,0,0,0
100189174,0,0,0
100189176,0,0,0
100189177,36,31,15
100189178,0,0,0
100189179,0,0,0
100189181,4,0,0
100189182,0,0,0
100189184,0,0,0
100189185,0,0,0
100189187,10,4,16
100189188,0,0,0
100189189,0,0,0
100189190,0,0,0
100189191,0,1,0
100189193,0,0,1
100189195,3,0,0
100189196,0,0,0
100189197,0,0,0
100189198,4,2,1
100189199,0,0,0
100189200,13,0,0
100189201,337,88,60
100189202,0,0,0
100189203,0,2,4
100189205,0,0,0
100189206,95,20,20
100189207,20,3,0
100189208,0,1,0
100189209,0,0,0
100189211,0,0,0
100189213,0,0,0
100189214,4,1,7
100189216,0,0,0
100189218,1,0,2
100189219,0,2,4
100189220,0,0,3
100189221,0,0,0
100189222,0,0,0
100189223,0,0,0
100189224,0,0,1
100189225,0,0,0
100189226,31,9,14
100189227,1,1,0
100189228,2,0,0
100189229,0,0,0
100189230,0,0,0
100189231,2,0,0
100189232,0,0,0
100189234,0,0,0
100189235,0,0,0
100189237,0,0,0
100189238,0,2,0
100189239,2,0,0
100189240,2,2,2
100189243,2,0,0
100189245,2,1,12
100189247,5,0,0
100189248,0,0,0
100189249,0,0,0
100189250,0,0,0
100189251,0,0,0
100189252,0,0,0
100189253,4,0,2
100189254,0,0,0
100189255,1,0,0
100189257,8,1,2
100189259,0,0,0
100189260,0,0,0
100189261,0,0,0
100189263,0,0,0
100189264,0,0,0
100189265,0,0,0
100189267,3,2,0
100189268,0,0,0
100189269,0,0,2
100189270,4,1,4
100189272,0,0,0
100189273,2,0,0
100189274,0,0,0
100189275,0,0,0
100189276,2,0,0
100189277,3,3,3
100189279,4,1,0
100189280,0,1,0
100189281,0,0,0
100189282,0,0,0
100189283,0,0,0
100189284,56,25,40
100189285,15,14,6
100189286,0,1,0
100189287,0,0,0
100189288,2,0,1
100189289,4,6,2
100189290,0,0,0
100189291,4,2,2
100189292,8,1,0
100189293,0,0,0
100189294,0,0,0
100189295,0,0,0
100189296,0,0,0
100189297,1,0,0
100189298,0,0,1
100189299,0,0,0
100189300,0,0,0
100189301,3,0,0
100189303,0,0,0
100189305,1,0,2
100189306,1,1,0
100189307,0,0,0
100189308,0,0,7
100189310,0,0,1
100189313,2,0,0
100189314,9,4,0
100189315,1,0,0
100189316,0,0,0
100189317,0,0,0
100189318,0,0,0
100189319,0,2,0
100189321,0,0,0
100189323,1,0,4
100189324,5,0,0
100189326,0,0,0
100189328,0,0,0
100189329,0,0,0
100189331,0,0,0
100189332,0,0,0
100189333,15,6,2
100189334,0,0,0
100189335,0,0,0
100189336,0,0,0
100189337,0,0,0
100189339,8,14,3
100189340,0,0,0
100189342,0,0,0
100189343,1,0,0
100189344,0,0,0
100189345,2,0,0
100189346,0,0,0
100189347,6,11,3
100189348,0,0,0
100189352,0,0,0
100189354,0,1,0
100189355,5,4,3
100189356,0,0,0
100189357,1,0,0
100189359,0,0,0
100189360,0,0,0
100189362,2,0,0
100189363,0,0,0
100189364,0,0,0
100189365,0,0,0
100189366,0,0,0
100189368,0,0,0
100189370,0,2,6
100189371,1,0,0
100189372,0,0,0
100189373,2,0,0
100189374,0,0,0
100189376,0,0,0
100189378,0,0,0
100189379,1,2,3
100189380,0,0,0
100189382,0,0,0
100189383,4,0,0
100189384,0,2,0
100189385,0,0,0
100189387,1,2,2
100189388,0,0,0
100189390,0,0,0
100189391,0,0,0
100189393,0,0,0
100189394,0,0,0
100189395,0,0,0
100189396,0,0,0
100189399,5,11,25
100189400,0,0,0
100189401,1,0,0
100189402,3,0,0
100189405,0,0,0
100189406,162,61,45
100189407,5,3,1
100189408,0,0,0
100189409,0,0,0
100189410,0,0,0
100189412,0,0,0
100189413,0,0,0
100189414,19,11,7
100189415,0,0,0
100189416,4,4,1
100189418,4,0,0
100189419,1,0,2
100189422,0,0,0
100189424,0,0,0
100189425,0,0,0
100189427,0,0,0
100189428,0,0,0
100189430,0,0,0
100189432,17,15,6
100189433,0,0,0
100189435,2,2,5
100189436,0,0,0
100189437,0,0,0
100189438,0,0,0
100189541,0,1,0
100189589,205,246,241
10019,1781,1069,1017
100190938,255,56,74
100190939,373,234,207
100190940,2,35,9
100190949,6,0,0
100190986,90,47,57
100191040,123,45,38
100191063,0,0,0
100192204,47,46,21
100192378,149,81,73
100192379,19,30,21
100192386,719,155,365
100192420,2,1,1
100192426,10,10,13
1002,398,263,246
10020,2040,1739,1814
10021,153,133,111
100216001,2,0,1
100216479,312,256,409
100216545,491,300,248
100216546,1657,994,861
10022,6,10,4
10023,132,73,71
100233156,0,0,0
100233209,136,71,47
10024,2,3,0
100240728,0,0,0
100240734,0,0,0
100240735,15,4,2
10025,364,342,493
10026,2470,2074,2562
100268168,40,54,20
100270679,0,0,0
100270680,3,8,6
100270746,61,17,30
100270804,254,91,109
100271702,34,8,26
100271715,771,515,530
100271722,182,40,38
100271832,81,15,36
100271835,0,0,0
100271836,1411,1038,920
100271846,0,1,0
100271849,0,0,0
100271873,32,73,40
100271874,0,0,0
100271927,92,52,25
100272147,350,187,173
100272216,6,0,3
100272217,77,48,51
100272228,647,284,209
100286844,221,257,217
100286922,0,0,0
100286938,0,0,0
100286979,63,37,37
100287010,31,4,11
100287013,29,38,16
100287015,63,56,50
100287029,0,2,2
100287036,23,16,10
100287042,44,34,19
100287072,14,20,12
100287082,19,10,12
100287083,0,0,0
100287098,10,9,5
100287102,1,0,0
100287114,2,8,2
100287144,2,0,1
100287171,263,110,60
100287177,42,15,23
100287178,2,1,0
100287205,0,0,0
100287216,53,81,62
100287225,754,179,156
100287226,9,18,14
100287227,28,23,11
100287238,0,0,1
100287284,30,39,22
100287294,0,2,0
100287314,46,64,69
100287327,0,0,0
100287362,1,1,0
100287364,0,0,0
100287387,9,49,31
100287399,0,0,0
100287404,0,0,0
100287441,0,0,0
100287477,15,3,2
100287478,0,0,0
100287482,256,250,204
100287513,0,0,0
100287559,64,47,37
100287569,196,83,47
100287592,4,0,0
100287596,8,3,0
100287616,95,10,89
100287632,2,6,6
100287639,12,6,6
100287704,0,0,0
100287718,1277,4,24
100287722,94,50,47
100287728,0,2,0
100287765,746,710,775
100287792,2,3,0
100287808,0,0,0
100287814,1,4,0
100287823,0,0,0
100287834,0,0,0
100287846,438,558,560
100287879,10,2,10
100287896,658,576,617
100287898,2,4,4
100287902,4,6,3
100287932,1294,1337,1416
100287944,10,28,14
100287948,7,11,3
100288069,63,21,19
100288072,143,18,21
100288077,1,3,0
100288079,11,5,4
100288122,133,92,60
100288123,36,44,24
100288142,308,293,255
100288152,198,245,220
100288162,4,0,7
100288181,310,282,299
100288198,259,184,172
100288254,0,3,0
100288287,0,0,0
100288323,0,0,0
100288332,34,13,196
100288346,227,181,204
100288380,0,0,0
100288413,11,70,44
100288428,248,112,95
100288432,77,32,33
100288485,0,0,0
100288486,1,2,2
100288520,11,0,0
100288524,0,0,0
100288527,0,0,0
100288562,0,0,0
100288570,12,8,6
100288615,300,456,119
100288637,0,0,0
100288687,0,0,0
100288695,45,26,24
100288730,0,0,0
100288748,2,1,0
100288778,26,6,0
100288797,1,0,0
100288798,108,29,48
100288801,38,38,45
100288805,2627,1383,746
100288814,17,44,16
100288831,76,99,60
100288842,103,34,24
100288846,9,5,11
100288866,4,0,0
100288911,12,39,38
100288966,0,0,0
100288974,123,121,79
100289017,0,0,0
100289019,173,128,55
100289087,0,0,0
100289092,8,12,4
100289097,1212,2763,1428
100289098,47,47,47
100289124,9,7,11
100289137,768,216,184
100289150,0,0,0
100289178,236,124,99
100289187,49,26,27
100289211,4,6,5
100289230,384,255,225
100289255,31,19,21
100289279,146,68,73
100289333,75,54,46
100289341,115,79,65
100289361,47,36,25
100289373,81,27,32
100289388,42,49,59
100289410,25,34,16
100289462,0,0,0
100289473,249,222,77
100289495,250,236,244
100289509,35,25,19
100289511,89,73,63
100289561,36,14,17
100289574,9,5,0
100289580,45,36,26
100289635,2858,2132,2156
100289650,155,57,29
100289656,0,0,0
100289673,2,1,0
100289678,846,526,407
100292680,14,8,2
100293516,677,484,373
100293704,99,84,68
100294145,0,0,0
100294362,302,171,139
100294720,4,0,0
1003,276,236,251
100302111,0,0,0
100302112,7,1,5
100302113,19,15,7
100302114,0,0,0
100302115,0,0,0
100302116,0,0,0
100302117,0,0,0
100302118,3,7,1
100302119,0,0,0
100302121,2,1,3
100302122,13,11,5
100302123,0,0,0
100302124,1,0,4
100302125,0,0,0
100302126,0,0,0
100302127,0,0,0
100302128,0,0,0
100302129,0,0,0
100302130,0,0,0
100302131,0,0,0
100302132,0,0,0
100302133,0,0,0
100302134,0,2,1
100302135,0,5,2
100302136,1,1,2
100302137,3,0,1
100302138,1,0,0
100302139,4,2,2
100302140,0,0,4
100302141,3,1,6
100302142,0,0,0
100302143,0,0,0
100302144,2,0,1
100302145,0,2,3
100302146,0,0,1
100302147,0,0,0
100302148,0,0,0
100302149,10,5,5
100302150,13,18,13
100302152,1,2,3
100302153,10,1,3
100302155,3,0,0
100302156,0,0,1
100302157,1,3,1
100302158,1,0,0
100302159,3,5,3
100302160,0,0,0
100302161,3,1,1
100302163,0,0,1
100302164,0,4,0
100302165,4,0,3
100302166,0,3,2
100302167,18,20,7
100302168,0,0,0
100302169,0,0,0
100302170,1,4,0
100302171,0,0,0
100302172,1,1,0
100302174,0,0,0
100302175,1,2,2
100302177,0,0,0
100302178,0,0,0
100302179,7,1,2
100302181,0,0,4
100302182,0,0,0
100302183,0,0,0
100302184,0,0,0
100302185,0,0,1
100302186,0,0,0
100302187,0,0,0
100302188,7,10,9
100302190,2,0,1
100302191,0,0,0
100302192,0,0,2
100302193,14,12,12
100302195,7,3,1
100302196,0,0,0
100302197,0,0,0
100302201,0,0,0
100302202,1,0,0
100302203,1,3,1
100302204,0,0,0
100302205,0,0,0
100302208,0,6,3
100302209,0,2,4
100302210,0,0,0
100302211,0,0,0
100302212,2,1,0
100302213,0,0,0
100302214,2,0,0
100302217,0,0,0
100302218,1,0,4
100302219,0,0,0
100302220,1,1,1
100302221,0,0,0
100302222,1,0,0
100302223,18,4,3
100302224,0,0,0
100302225,2,4,6
100302226,0,0,0
100302227,0,4,1
100302228,0,0,0
100302229,0,0,0
100302232,0,0,0
100302233,0,0,0
100302234,0,0,0
100302235,4,13,18
100302236,0,0,0
100302237,29,17,15
100302238,0,0,0
100302239,0,0,0
100302240,34,20,34
100302242,0,0,0
100302243,0,0,0
