Geneid,featureCounts on data 230: Counts_HISAT2 on data 2 and data 1: aligned reads (BAM),featureCounts on data 232: Counts_HISAT2 on data 4 and data 3: aligned reads (BAM),featureCounts on data 234: Counts_HISAT2 on data 6 and data 5: aligned reads (BAM),featureCounts on data 236: Counts_HISAT2 on data 8 and data 7: aligned reads (BAM),featureCounts on data 240: Counts_HISAT2 on data 12 and data 11: aligned reads (BAM),featureCounts on data 246: Counts_HISAT2 on data 18 and data 17: aligned reads (BAM),featureCounts on data 248: Counts_HISAT2 on data 20 and data 19: aligned reads (BAM),featureCounts on data 250: Counts_HISAT2 on data 22 and data 21: aligned reads (BAM),featureCounts on data 254: Counts_HISAT2 on data 26 and data 25: aligned reads (BAM),featureCounts on data 262: Counts_HISAT2 on data 34 and data 33: aligned reads (BAM),featureCounts on data 282: Counts_HISAT2 on data 54 and data 53: aligned reads (BAM)
100033418,68,62,67,62,66,127,115,91,73,18,36
100033419,47,33,20,22,23,30,33,21,27,22,24
100033420,14,20,14,12,38,30,38,35,19,4,12
100033421,4,12,3,4,8,5,8,7,6,11,8
100033422,9,17,9,6,13,11,12,8,17,10,9
100033423,34,33,33,16,28,23,36,35,17,11,21
100033424,4,26,20,19,33,36,22,31,39,24,16
100033425,100,152,82,85,52,97,87,106,140,70,109
100033426,107,126,89,67,130,148,129,110,77,57,82
100033427,53,50,64,27,91,99,104,93,79,39,42
100033428,7,12,9,28,16,22,21,14,18,3,11
100033429,1,15,4,4,4,4,11,9,16,5,4
100033430,73,113,60,58,50,35,44,45,61,38,49
100033431,87,119,62,72,125,102,93,105,85,55,63
100033432,109,112,50,44,81,71,66,69,73,57,67
100033433,45,72,59,47,69,95,121,119,62,37,53
100033434,223,227,198,49,295,312,389,288,214,113,155
100033435,169,174,154,92,273,234,236,230,118,80,116
100033436,140,111,109,81,120,155,165,134,69,51,66
100033437,9,14,10,20,30,36,32,50,26,11,27
100033438,319,401,323,267,408,354,503,405,182,156,218
100033439,392,439,327,201,230,266,369,271,218,50,156
100033440,156,160,156,149,99,200,244,190,7,105,109
100033441,48,71,36,43,43,65,83,92,0,33,52
100033442,2702,2239,1908,1944,1814,3130,4184,3319,11,1923,2490
100033443,21,18,21,20,29,43,23,23,3,10,29
100033444,3,11,8,6,14,18,14,8,0,6,13
100033445,15,40,24,18,38,52,29,88,2,26,17
100033446,10,12,6,13,8,22,9,21,11,8,8
100033447,18,11,12,8,14,35,38,24,22,6,8
100033448,20,31,20,13,16,27,10,42,35,22,14
100033449,9,21,13,10,19,31,16,19,12,9,21
100033450,41,107,69,115,72,170,132,196,149,100,74
100033451,53,43,46,39,67,116,120,117,82,34,53
100033453,16,10,15,9,14,31,31,22,17,11,13
100033454,5,5,8,0,10,18,9,6,11,4,4
100033455,12,6,10,7,6,13,16,11,8,7,12
100033456,3,3,0,3,2,4,1,3,3,3,2
100033458,5,3,8,4,18,7,7,12,9,5,2
100033460,31,73,38,43,43,83,46,101,101,40,70
100033603,22,47,37,50,46,58,39,65,75,33,28
100033799,9,59,36,51,51,58,53,65,59,18,42
100033800,0,0,0,0,0,0,0,0,0,0,0
100033801,18,37,30,17,41,34,41,57,56,20,18
100033802,27,42,25,32,20,44,50,43,48,25,36
100033803,13,7,7,8,6,13,13,15,16,5,11
100033804,36,51,37,42,92,123,152,120,76,33,34
100033805,7,26,8,13,18,35,30,26,18,8,15
100033806,1220,762,982,714,1436,1564,2068,1478,853,330,643
100033807,111,148,150,84,325,317,414,390,219,99,140
100033808,8,8,8,5,10,22,24,15,22,8,2
100033809,57,101,64,61,54,135,86,98,108,57,77
100033810,1,8,6,7,9,7,10,10,14,8,14
100033811,10,24,19,17,17,32,16,28,44,9,18
100033812,29,43,44,30,111,119,146,132,124,44,52
100033813,27,25,16,10,14,30,37,23,34,13,21
100033814,53,52,32,24,31,53,73,62,62,25,72
100033815,22,45,42,49,37,64,42,74,73,27,32
100033816,33,42,41,24,37,85,115,58,50,22,26
100033817,11,30,27,18,21,34,33,47,47,13,21
100033818,25,46,42,28,57,91,98,80,68,43,32
100033819,0,0,0,0,0,0,0,0,0,0,0
100033820,27,46,20,18,43,28,27,29,40,28,37
100033821,256,218,208,199,245,293,364,476,166,54,131
100033822,12,12,7,1,8,4,14,16,7,5,4
100034743,49,23,54,49,55,63,54,68,88,38,44
100036563,7,2,13,5,6,8,5,13,21,2,2
100036564,6,28,17,26,17,31,38,28,46,23,24
100036565,7,13,7,10,0,13,8,8,21,4,8
100036566,51,147,75,86,73,125,111,111,134,63,111
100036567,6,2,1,2,0,2,7,6,0,7,7
100037417,0,0,0,0,0,0,0,1,0,0,0
100038246,0,1,0,0,0,0,0,0,1,0,0
10004,10,20,13,8,28,5,24,11,9,14,8
100048912,67,47,40,16,222,32,18,37,25,28,28
100049076,15,122,36,19,95,66,33,106,35,56,30
100049587,27,19,16,13,65,24,20,47,20,13,28
100049613,0,1,1,0,2,2,0,0,0,2,1
100049614,0,0,0,1,0,0,0,0,0,0,1
100049716,161,157,123,87,356,159,166,173,127,67,180
10005,606,482,342,320,530,507,583,488,356,390,265
10006,6401,4981,3949,3226,5078,4182,4665,4709,3847,3327,4080
10007,1666,956,794,533,953,1021,1016,880,776,567,917
100073347,88,80,86,64,51,118,49,111,71,85,104
10008,152,122,80,97,194,85,105,157,48,67,112
10009,3736,2848,2613,1188,4562,1916,2045,2486,1688,1288,2935
100093630,493,334,339,324,474,318,393,477,322,278,456
100093631,1420,942,842,663,1275,751,773,909,757,427,651
100093698,3,10,3,7,7,5,9,13,13,1,2
1001,169,141,106,192,186,219,173,235,174,187,134
10010,2170,1572,1021,712,1631,956,1039,1245,945,687,1285
100101115,0,0,0,0,0,0,0,0,0,0,0
100101116,0,0,0,0,0,0,0,3,0,1,0
100101117,0,0,4,0,0,2,0,2,5,0,0
100101118,0,0,0,0,0,0,0,0,0,0,0
100101120,0,0,0,0,0,0,0,0,0,0,0
100101121,0,0,0,0,0,0,0,0,0,0,0
100101148,3,8,5,9,16,4,8,7,11,4,3
100101266,58,180,77,116,98,101,116,162,116,78,135
100101267,860,1236,705,952,1229,1143,1111,1383,1502,856,868
100101440,17,12,8,16,5,0,16,12,87,57,8
100101467,1600,1701,896,877,2108,1015,1111,1530,1320,805,1313
100101478,28,8,2,19,18,13,6,17,13,13,8
100101490,122,127,87,89,120,117,102,130,122,87,129
100101938,109,94,136,56,130,559,97,127,254,136,103
10011,542,674,316,416,693,592,456,644,495,466,421
100113378,21,24,13,7,60,36,42,54,35,4,11
100113379,0,2,2,3,8,3,0,1,5,1,4
100113380,0,0,0,0,0,0,0,0,0,0,0
100113381,3,8,7,3,8,4,4,5,5,5,7
100113382,87,52,51,25,206,109,111,101,29,23,54
100113384,1,0,0,0,0,0,0,0,0,0,0
100113386,42,87,50,60,153,61,27,151,108,46,46
100113389,3,2,1,1,3,4,4,2,6,1,6
100113391,1,0,0,0,0,0,0,2,0,1,1
100113392,8,20,19,2,11,9,11,11,2,7,8
100113393,3,10,7,2,13,5,16,6,12,3,5
100113402,5,1,1,2,1,4,3,3,1,2,0
100113403,14,17,32,11,8,15,17,17,7,14,17
100113404,3,0,0,2,0,0,0,0,0,0,0
100113407,10050,6517,5776,5064,5389,7469,8429,7710,6744,6300,5056
100124412,0,2,0,1,0,2,0,2,4,0,0
100124516,16,8,14,7,35,12,15,17,8,4,8
100124533,7,16,10,11,29,22,14,22,8,4,15
100124534,0,0,0,1,0,0,1,0,1,0,0
100124535,4,4,0,1,19,8,1,4,8,4,1
100124536,116,137,86,55,488,204,232,242,118,85,81
100124537,0,4,1,3,3,0,1,4,1,2,3
100124538,0,0,1,0,11,0,2,1,0,2,2
100124539,13,11,6,3,93,10,4,23,11,0,14
100124540,2,8,0,0,2,0,0,0,1,0,2
100124541,9,18,3,0,21,8,25,20,11,2,6
100124700,0,0,0,0,0,2,0,0,0,0,0
100125288,61,107,55,70,81,93,88,111,118,46,51
100125556,28,48,18,27,46,17,10,22,45,32,25
100126270,25,38,24,33,31,32,19,46,32,16,15
100126296,1,1,0,0,0,0,0,0,0,0,0
100126297,2,2,9,5,4,8,0,2,2,1,4
100126299,6,0,0,4,28,4,9,10,2,6,6
100126301,0,0,0,0,0,0,0,0,0,0,0
100126302,0,0,0,0,0,0,0,0,0,0,2
100126303,0,0,0,0,3,0,0,0,0,0,0
100126304,0,0,0,0,0,0,0,0,0,0,0
100126306,0,0,0,0,0,0,0,0,0,0,0
100126307,0,0,0,0,0,0,0,0,0,0,0
100126308,1,4,1,3,0,1,2,3,2,1,3
100126309,0,1,0,0,0,0,0,0,0,0,0
100126310,3,7,2,6,0,6,11,3,2,1,2
100126311,0,0,0,0,0,0,0,0,0,0,0
100126313,6,12,4,5,1,5,3,5,3,3,4
100126314,0,0,0,0,0,0,0,0,0,0,0
100126315,0,0,0,1,0,0,0,1,0,0,0
100126316,1,7,2,4,2,2,1,0,2,0,0
100126317,0,1,0,0,0,1,1,0,0,0,0
100126318,0,0,0,0,0,0,0,0,0,0,0
100126319,0,0,0,0,0,0,0,0,0,0,1
100126320,6,15,9,2,11,12,7,4,17,9,11
100126321,0,0,0,0,0,0,0,0,0,0,0
100126323,0,1,0,0,0,0,0,0,0,0,0
100126324,0,0,0,0,0,0,0,0,0,0,0
100126325,0,0,0,0,0,0,0,0,0,0,0
100126326,0,0,0,0,0,0,0,0,0,0,0
100126327,0,1,0,0,1,0,0,0,0,1,0
100126328,1,1,2,2,0,8,3,2,1,0,0
100126329,0,0,1,1,0,0,1,0,0,0,1
100126330,0,0,0,0,0,0,0,0,0,0,0
100126331,0,2,1,0,4,0,0,2,0,0,3
100126332,0,0,1,0,0,0,0,0,0,0,0
100126333,1,5,0,0,1,2,0,0,2,0,1
100126334,0,0,0,0,1,0,1,1,0,0,0
100126335,0,0,0,0,1,2,0,0,0,0,0
100126336,0,0,0,0,0,0,0,2,0,0,0
100126337,0,0,1,0,0,0,0,0,0,0,0
100126338,0,0,0,0,0,0,0,0,0,0,0
100126339,0,0,0,0,0,0,0,0,0,0,0
100126340,0,0,0,0,0,0,0,0,0,0,0
100126341,0,0,0,0,0,0,0,0,0,0,0
100126342,0,0,0,0,1,0,0,0,1,0,0
100126343,1,2,1,7,6,7,6,3,4,2,4
100126345,0,1,1,1,1,0,1,2,2,3,1
100126346,0,0,0,0,0,0,0,0,0,0,0
100126347,1,1,1,0,1,0,0,4,1,0,1
100126348,2,8,2,6,3,3,5,5,13,3,5
100126349,0,10,2,9,7,12,4,10,16,2,10
100126350,1,4,0,0,0,2,1,5,1,0,1
100126351,0,0,0,1,0,0,0,0,0,0,0
100126352,0,0,0,0,0,0,0,0,0,0,0
100126354,0,0,0,0,0,0,0,0,0,0,0
100126355,0,0,0,1,0,1,0,2,4,0,0
100126356,2,1,0,0,0,0,1,0,1,0,0
100126447,0,0,2,2,0,0,0,0,2,2,0
100126476,0,0,0,0,0,0,0,0,0,0,0
100126481,0,0,0,0,0,0,1,0,0,0,0
100126484,0,0,0,0,0,1,0,0,0,0,0
100126488,3,10,7,5,42,2,14,23,23,6,25
100126510,0,0,0,0,0,0,0,0,0,0,0
100126512,22,27,17,5,15,28,24,11,11,9,30
100126514,0,0,0,0,1,0,0,0,0,0,0
100126517,4,2,2,2,0,0,1,1,0,1,0
100126520,1,1,2,2,4,3,0,5,2,0,0
100126533,2,5,0,0,4,6,8,9,2,0,3
100126693,4,14,0,0,0,2,0,0,0,0,0
100126780,0,0,0,0,0,0,1,0,0,0,0
100126781,0,0,0,0,0,8,0,3,0,1,0
100126784,375,494,403,462,478,627,578,520,530,464,229
100126791,22,37,48,37,93,107,49,103,89,44,61
100126793,91,95,94,107,196,155,92,204,202,166,123
100126798,0,0,0,0,0,0,0,0,0,0,0
100126799,0,0,0,0,0,0,0,0,0,0,0
100126800,0,0,0,0,0,0,0,0,0,0,0
100127206,0,0,6,2,8,0,8,5,8,3,0
100127888,1,9,0,5,20,8,5,18,26,7,2
100127889,81,100,76,68,112,94,88,96,111,109,96
100127967,0,1,0,0,0,0,1,0,0,0,0
100127983,91,45,12,22,83,13,43,43,37,26,50
100128006,8,24,7,10,12,11,15,22,14,9,6
100128023,3,6,6,2,5,2,0,4,0,8,4
100128025,6,7,2,8,8,8,1,14,0,4,6
100128054,59,72,53,23,106,37,15,16,25,26,38
100128055,5,10,3,2,20,10,4,12,13,6,10
100128071,13,9,13,15,10,18,10,5,9,13,19
100128076,0,6,1,1,5,6,6,17,0,4,1
100128081,71,81,37,51,44,24,140,88,66,68,52
100128098,0,8,3,0,1,2,0,10,5,0,4
100128108,44,28,19,11,91,12,18,31,25,9,29
100128124,2,3,2,2,8,0,6,10,20,2,12
100128126,14,16,29,50,15,41,21,41,39,18,26
100128127,20,31,24,45,20,44,27,39,46,57,26
100128139,1,1,0,0,0,0,0,0,0,1,2
100128164,64,32,34,42,59,89,36,43,41,28,18
100128176,35,45,11,7,41,26,11,34,57,22,44
100128191,43,29,40,23,58,26,21,18,17,24,36
100128233,10,5,4,1,18,4,2,4,6,2,1
100128239,117,168,90,74,205,143,122,117,115,104,92
100128252,1153,867,728,644,1026,756,758,847,683,819,772
100128264,541,321,354,342,176,534,531,468,315,399,340
100128285,17,21,5,25,28,23,25,29,31,18,4
100128288,401,395,188,116,519,245,208,348,207,130,355
100128292,0,0,0,0,0,0,0,0,2,0,0
100128317,7,2,7,1,2,0,7,7,10,4,0
100128327,8,10,3,6,7,0,4,4,2,3,12
100128338,0,0,0,0,2,0,0,0,1,2,2
100128361,41,103,56,58,113,98,63,85,107,31,80
100128378,4,2,0,0,2,6,2,2,4,0,0
100128385,57,20,11,6,40,12,18,25,25,0,18
100128398,372,361,267,260,564,379,312,429,377,266,332
100128420,8,3,0,1,5,1,0,3,2,0,1
100128494,177,205,119,130,344,150,114,216,178,103,134
100128496,2,1,0,2,2,0,2,6,6,0,0
100128505,68,91,68,59,113,84,52,99,109,52,64
100128511,25,26,10,11,38,12,18,11,20,6,17
100128531,70,140,88,109,102,114,94,128,146,89,114
100128553,3,9,2,1,16,4,4,4,5,0,3
100128554,44,30,63,46,32,186,139,67,206,72,16
100128560,15,5,17,27,11,8,32,19,20,4,1
100128568,34,27,15,40,57,14,21,47,22,31,4
100128569,37,48,28,32,79,69,49,50,67,22,21
100128573,8,1,0,5,25,13,2,10,10,2,4
100128590,419,456,283,198,248,340,442,370,327,196,382
100128593,0,1,0,2,7,4,0,1,0,0,1
100128627,31,61,49,33,34,44,44,51,67,15,42
100128640,38,71,51,62,88,67,67,84,57,35,47
100128653,35,39,43,46,43,45,42,61,67,30,18
100128675,207,136,56,18,347,49,57,106,139,9,54
100128682,0,0,1,0,1,4,1,2,0,0,1
100128714,40,11,18,19,19,22,48,28,52,17,56
100128731,410,376,228,235,460,327,388,396,224,275,264
100128750,5,7,0,0,2,0,1,5,3,5,6
100128770,0,6,1,5,1,6,0,14,12,7,3
100128782,1100,718,549,507,1001,750,668,833,639,447,776
100128787,3,2,0,0,2,0,0,0,0,2,0
100128788,29,21,8,14,30,7,12,16,19,17,24
100128811,17,9,11,2,8,22,2,10,2,8,15
100128822,148,155,102,64,98,115,128,110,91,124,146
100128881,10,33,21,36,46,24,21,87,37,24,18
100128885,44,57,26,35,35,38,63,53,53,46,57
100128890,94,178,74,141,228,96,133,230,125,118,128
100128893,0,0,0,0,6,0,0,0,0,0,0
100128905,0,0,2,0,2,0,0,0,2,1,0
100128927,12,23,17,19,52,21,22,27,18,4,26
100128946,46,80,50,88,99,85,28,84,98,46,44
100128977,4,10,0,3,8,0,2,0,0,0,0
100128993,0,2,4,0,3,8,4,0,0,1,1
100128998,0,0,0,0,0,0,0,2,1,1,0
100129027,27,46,32,11,88,13,12,17,32,4,17
100129034,2439,2819,1628,1591,3166,1758,1815,2900,2434,1450,2393
100129046,71,133,49,65,116,56,43,76,62,46,44
100129055,50,52,48,39,48,40,29,59,32,32,39
100129066,2,4,0,4,4,0,2,0,4,0,4
100129075,41,35,37,25,40,28,52,18,38,16,23
100129083,0,0,0,2,0,0,0,0,0,0,0
100129094,1,0,6,2,5,1,0,6,4,4,0
100129098,0,2,0,0,0,0,0,0,0,0,2
100129128,8,0,7,2,12,4,6,6,7,0,10
100129138,13,6,8,10,18,12,13,24,14,18,7
100129148,20,24,12,15,35,22,17,10,11,9,28
100129175,2,6,9,0,8,0,0,0,0,0,2
100129195,194,208,131,123,241,135,144,176,150,117,175
100129196,58,19,13,10,79,9,13,18,18,4,5
100129203,133,175,90,78,149,84,118,107,88,81,102
100129213,16,15,17,17,35,30,10,28,11,18,23
100129215,38,49,36,68,96,58,28,86,69,36,45
100129216,29,28,5,25,42,14,17,40,27,13,16
100129223,306,278,539,440,379,633,743,380,605,340,670
100129239,0,0,0,0,0,0,0,0,0,0,0
100129250,129,155,96,100,108,110,104,124,100,73,75
100129269,10,17,8,12,16,9,7,10,7,8,10
100129271,0,0,0,0,0,0,0,0,0,0,0
100129278,14,0,0,0,6,0,0,12,0,4,0
100129307,0,0,0,0,0,1,1,1,1,0,2
100129316,21,46,11,16,42,15,13,49,24,18,16
100129345,0,0,0,3,0,1,0,4,4,0,0
100129354,8,5,1,5,3,15,7,5,9,3,5
100129361,0,0,0,1,4,0,0,0,0,0,0
100129385,2,6,2,6,11,3,5,1,2,1,4
100129387,1237,1190,1138,712,2085,1346,748,1470,1461,718,1037
100129396,40,48,30,44,64,63,28,53,14,33,13
100129405,66,102,64,67,148,66,54,118,78,92,28
100129407,1,0,0,4,0,7,0,0,3,0,0
100129424,55,65,30,28,90,59,30,76,40,54,35
100129427,0,8,0,2,0,0,0,1,0,0,0
100129434,193,202,85,110,224,127,123,90,134,118,82
100129460,716,623,542,404,779,548,466,777,663,530,581
100129461,79,124,64,48,129,94,86,82,84,53,104
100129464,33,33,13,18,35,21,15,61,22,11,27
100129480,86,147,126,111,207,248,120,204,210,129,178
100129482,4582,5280,3500,4134,4385,5388,4330,5863,5789,3824,3176
100129503,15,14,6,8,34,13,7,26,27,16,13
100129515,1,3,0,2,0,2,0,0,10,1,0
100129518,62,67,33,27,71,59,49,81,67,32,71
100129520,1,8,5,0,10,6,4,2,6,2,9
100129528,3,0,0,0,0,2,0,2,0,8,0
100129534,72,93,77,49,143,126,39,98,125,49,51
100129543,178,182,113,80,166,135,62,196,159,89,138
100129550,737,676,568,428,760,711,649,620,760,364,485
100129583,373,205,228,154,385,176,169,217,176,174,153
100129597,0,0,2,0,0,0,0,2,2,0,7
100129603,0,0,0,2,2,0,1,0,1,1,0
100129617,36,110,46,115,127,69,61,103,196,66,49
100129620,39,48,33,26,12,50,58,37,51,45,59
100129636,0,0,0,0,0,0,0,0,0,0,0
100129654,39,24,21,17,105,10,4,8,12,0,27
100129662,23,24,25,22,50,16,27,36,43,24,35
100129669,2,0,4,0,4,4,1,2,0,2,2
100129697,5,2,0,9,5,5,4,4,6,4,2
100129716,57,51,41,33,109,36,25,31,25,28,35
100129722,0,0,0,0,0,0,1,0,1,0,1
100129726,19,6,16,0,37,8,11,18,6,10,14
100129792,692,659,338,207,872,386,310,470,307,219,433
100129794,92,78,44,40,142,33,32,52,56,30,69
100129827,84,78,67,66,138,48,60,105,74,46,69
100129842,3682,3142,2708,2543,2875,3017,2724,4207,3104,2828,2993
100129845,8,5,0,1,13,12,0,3,1,2,1
100129858,68,95,48,43,69,37,63,55,67,35,66
100129860,0,1,1,3,2,0,1,0,8,0,2
100129917,236,396,146,198,505,239,170,407,376,173,266
100129924,6,5,4,7,9,6,4,5,11,2,2
100129931,13,27,16,36,54,45,35,47,44,20,19
100129935,2,5,3,4,0,4,0,1,5,3,1
100129940,30,68,36,16,59,14,14,27,19,14,17
100129961,152,146,130,158,153,295,183,271,191,221,97
100129973,71,101,39,67,81,87,76,66,72,60,45
10013,2390,2276,1288,1526,3270,1840,1606,2531,1999,1428,1294
100130015,40,78,43,50,115,56,55,85,45,39,30
100130017,0,2,1,0,0,0,1,0,3,0,0
100130075,10,30,11,12,30,11,5,21,20,10,2
100130086,24,21,9,26,18,17,11,22,11,24,24
100130093,97,75,68,61,98,81,120,112,131,85,63
100130097,170,298,223,259,354,264,206,352,419,129,202
100130100,125,148,116,100,185,126,90,131,142,62,144
100130148,4,12,4,8,2,6,2,2,2,0,6
100130155,3561,1924,2636,2030,1564,4049,3927,2764,3467,2248,1768
100130197,9,9,8,1,9,13,17,9,11,2,15
100130231,21,51,25,15,73,5,35,30,22,19,42
100130238,31,53,48,180,84,143,94,307,210,118,20
100130264,15,71,15,38,51,24,17,45,36,41,53
100130274,0,0,0,0,0,0,0,0,0,0,0
100130275,0,0,0,0,2,2,2,0,2,0,0
100130298,16,7,15,1,29,11,5,12,10,6,15
100130301,18,6,6,11,4,10,4,17,7,9,12
100130302,7,3,5,0,4,4,0,3,6,4,0
100130311,112,129,100,116,112,152,158,132,135,85,80
100130331,45,18,69,44,84,68,66,39,59,44,10
100130342,12,24,7,6,15,11,6,12,7,10,13
100130345,18,57,25,26,41,94,42,35,33,14,33
100130348,23,32,11,2,52,23,4,26,17,18,6
100130357,145,299,166,224,299,215,182,303,338,168,269
100130361,0,0,0,0,0,0,0,0,0,0,0
100130370,439,341,73,101,783,206,174,371,199,50,268
100130386,2,3,7,10,6,7,11,16,11,10,2
100130417,16,14,12,3,41,8,6,10,11,4,5
100130418,198,257,96,168,308,169,160,239,158,123,184
100130449,107,156,74,107,109,79,97,150,131,80,142
100130451,24,18,18,11,44,10,16,11,6,6,26
100130452,3,1,1,0,3,0,1,1,0,2,0
100130460,4,8,2,0,1,2,0,1,6,0,2
100130476,14,14,6,6,10,8,8,4,2,8,5
100130480,8,1,2,2,2,2,1,4,2,1,0
100130519,82,52,65,65,103,90,71,60,72,71,24
100130520,3,1,0,0,3,0,0,0,0,0,0
100130522,89,143,92,93,155,77,118,163,118,113,90
100130539,14,23,22,7,50,31,15,32,21,16,28
100130557,296,226,155,166,364,215,192,268,185,117,286
100130581,83,107,89,39,181,51,64,73,85,52,61
100130587,11,39,17,37,38,51,29,112,67,30,14
100130613,4,0,0,2,5,0,0,2,2,0,0
100130673,10,16,20,0,7,19,12,7,17,7,11
100130691,589,618,389,283,506,358,343,434,403,263,283
100130700,0,0,0,0,0,0,0,0,0,0,0
100130705,158,111,108,154,150,206,131,271,241,267,96
100130717,4,8,4,5,20,15,12,9,4,3,10
100130733,154,111,130,76,264,105,124,100,66,43,83
100130742,82,64,128,29,118,42,54,69,36,31,55
100130744,89,120,69,92,156,107,95,168,125,85,99
100130771,145,110,221,57,727,47,68,62,48,34,160
100130776,6,7,6,14,24,17,15,33,22,15,12
100130827,0,0,0,0,0,0,0,0,2,0,0
100130849,0,0,0,0,0,0,0,0,2,0,0
100130855,71,75,103,80,99,83,70,102,95,46,86
100130872,51,135,67,123,174,65,38,139,193,97,41
100130880,12,17,8,8,24,9,10,11,13,2,7
100130887,8,164,126,75,10,99,78,253,14,52,99
100130889,0,3,0,0,4,0,0,0,0,1,1
100130890,437,532,297,272,539,359,432,452,318,240,355
100130894,248,372,147,182,462,171,148,280,216,147,322
100130899,11,15,10,4,18,12,4,16,17,4,13
100130933,174,113,48,45,119,48,32,91,58,13,56
100130934,111,122,127,96,184,98,56,115,105,61,93
100130935,2,0,0,0,0,1,0,0,0,0,0
100130950,128,157,133,169,225,136,133,227,248,124,105
100130954,0,0,1,1,0,0,0,0,2,0,0
100130958,29,9,9,5,17,29,10,19,40,10,18
100130964,0,0,0,0,0,0,0,0,0,0,0
100130967,5,25,5,31,28,25,11,29,36,17,12
100130987,36,50,44,43,93,49,50,70,53,42,28
100130988,1,5,0,2,1,0,2,2,4,6,2
100130992,665,373,369,200,747,300,328,375,272,219,690
100131017,717,691,460,590,980,765,635,1014,869,582,504
100131047,0,12,2,0,0,0,0,2,2,0,0
100131060,73,57,28,23,103,30,46,55,22,39,30
100131067,617,646,320,387,811,512,462,634,465,228,344
100131089,310,315,214,148,429,135,148,225,236,128,228
100131094,12,15,14,26,55,14,29,31,29,17,7
100131096,369,333,88,91,449,125,106,247,154,134,164
100131107,2,0,0,0,0,0,0,0,0,0,0
100131117,190,286,137,77,320,109,72,155,102,68,216
100131137,0,0,0,0,0,2,0,4,0,7,0
100131138,0,1,0,0,0,2,0,0,0,0,0
100131176,42,19,32,7,161,11,9,17,7,9,19
100131187,513,391,333,346,619,240,526,400,322,364,322
100131193,45,60,45,56,101,73,54,94,126,55,62
100131205,142,117,79,75,127,93,86,129,104,136,148
100131208,218,188,174,150,100,210,297,206,217,123,133
100131211,1208,918,758,498,1205,807,745,860,764,409,822
100131213,42,44,37,20,63,28,26,48,40,18,107
100131234,259,158,119,118,328,158,109,297,113,139,157
100131244,153,194,190,80,262,80,182,143,120,79,688
100131257,30,23,66,15,163,11,20,25,23,14,41
100131289,9,4,15,26,12,34,34,12,13,22,5
100131303,0,2,0,2,8,0,2,1,0,0,2
100131315,0,0,0,0,0,0,0,0,0,0,0
100131320,69,18,70,28,33,32,69,75,76,26,63
100131347,15,16,10,24,25,23,19,23,21,24,16
100131366,0,0,1,0,2,0,2,0,2,1,0
100131378,8,6,2,4,8,1,8,6,11,8,2
100131390,49,61,23,28,29,44,47,47,35,23,38
100131434,141,238,129,241,341,278,182,336,314,132,159
100131439,0,0,0,0,0,0,0,0,0,0,0
100131454,79,78,54,70,51,98,74,82,66,43,39
100131496,38,109,57,86,127,82,63,107,142,43,49
100131532,18,23,14,24,43,21,26,30,18,22,52
100131539,24,21,14,9,37,24,12,20,32,1,15
100131551,1,0,3,0,0,2,2,6,1,4,0
100131561,16,37,8,14,25,12,12,31,12,6,17
