Name_GeneSymbol,AI,AI_Pval,CG,CG_Pval,DLPFC,DLPFC_Pval,NAC,NAC_Pval,OFC,OFC_Pval,SUB,SUB_Pval
DUSP4,0.868151978,0.011279457,0,0,0.986624589,0.005305925,0,0,1.000196386,0.001812047,0.326652418,0.531547348
CXCL2,0.82698234,0.547215513,0,0,1.05924936,0.442340217,0.855115681,0.422413926,0.505354127,0.689983905,0,0
EGR1,0.728247547,0.138735712,0,0,0.790981016,0.052653226,0,0,0.471651647,0.152524488,1.136890343,0.014115525
TOP2A,0.631048654,0.655238883,0,0,0,0,0,0,0.408005018,0.747451336,0,0
APOE,0.616171344,0.021373536,0,0,0.502720574,0.076282264,0,0,0.346038397,0.137194666,0,0
ZFP36,0.613499959,0.476344113,0,0,0,0,0.479731808,0.509744234,0,0,0,0
DDIT4,0.611371242,0.042629077,0,0,0.407619832,0.152006646,0,0,0.496078439,0.085281693,0.24427042,0.334039305
EDN1,0.573665194,0.193829561,0,0,0.407139692,0.415249419,0.373659912,0.3989605,0.396458358,0.329141036,0.477836459,0.362141636
PAK4,0.570300611,0.438854048,0,0,-0.000998887,0.998839801,0,0,0,0,0,0
FOS,0.566241655,0.197308567,0,0,0.700382813,0.022876555,0,0,0.527459776,0.207022863,0,0
MBOAT7,0.55594256,0.694818998,0,0,0,0,0,0,0,0,0,0
CASP7,0.546961809,0.211453539,0,0,0.42180026,0.309336341,0,0,0,0,0,0
GHR,0.541548928,0.139847988,0,0,0,0,0,0,0,0,0,0
FUT1,0.516883948,0.248581706,0,0,0,0,0,0,0,0,0,0
POLE2,0.503687376,0.46023444,0,0,0,0,0.533086441,0.426151256,0,0,0,0
TRAM2,0.499815108,0.12321418,0,0,0,0,0.498357896,0.202341703,0,0,0,0
S100A4,0.496258242,0.676490568,0,0,0.893094537,0.488380239,0,0,0,0,0,0
KIF14,0.479054395,0.666568493,0,0,0,0,0,0,0,0,0.286176041,0.776810344
