Geneid,featureCounts on data 410: Counts_HISAT2 on data 22 and data 21: aligned reads (BAM),featureCounts on data 418: Counts_HISAT2 on data 30 and data 29: aligned reads (BAM),featureCounts on data 420: Counts_HISAT2 on data 32 and data 31: aligned reads (BAM),featureCounts on data 428: Counts_HISAT2 on data 40 and data 39: aligned reads (BAM),featureCounts on data 432: Counts_HISAT2 on data 44 and data 43: aligned reads (BAM),featureCounts on data 436: Counts_HISAT2 on data 48 and data 47: aligned reads (BAM),featureCounts on data 442: Counts_HISAT2 on data 54 and data 53: aligned reads (BAM),featureCounts on data 444: Counts_HISAT2 on data 56 and data 55: aligned reads (BAM),featureCounts on data 456: Counts_HISAT2 on data 68 and data 67: aligned reads (BAM)
1,52,30,35,103,63,50,10,23,45
10,8,5,4,16,16,1,4,2,11
100,71,68,24,140,67,26,25,23,62
1000,7122,7000,5783,12516,8215,1951,3786,4056,7726
10000,412,1236,457,450,280,55,142,152,746
100008587,0,0,0,0,0,0,0,0,0
100008588,0,0,0,0,0,0,0,0,0
100008589,0,0,0,0,0,0,0,0,0
100009601,0,0,0,0,0,0,0,0,0
100009602,0,0,0,0,0,0,0,0,0
100009605,0,0,0,1,0,0,0,0,0
100009606,0,0,0,0,0,0,0,0,0
100009607,4,1,0,1,6,0,2,1,1
100009613,4,0,4,4,0,0,1,4,0
100009676,86,94,45,146,102,55,38,48,100
10001,1670,1708,1471,2726,2040,514,908,979,1916
10002,53,60,37,92,89,69,21,29,39
10003,1839,1737,1197,2572,2063,544,943,1092,1568
100033411,68,38,16,55,45,70,12,47,32
100033413,125,109,39,86,32,11,30,40,69
100033414,43,20,7,24,13,27,13,10,28
100033415,41,22,11,20,7,5,6,12,16
100033416,138,71,56,156,84,84,51,42,56
100033417,18,7,3,3,1,2,4,6,4
100033418,46,31,32,47,4,19,10,19,29
100033419,53,47,22,57,17,14,19,19,22
100033420,19,19,11,17,16,7,13,12,17
100033421,24,12,6,10,14,1,5,7,5
100033422,55,29,13,16,23,3,8,12,14
100033423,28,18,28,27,25,8,9,11,15
100033424,48,33,32,38,32,17,24,16,24
100033425,119,112,72,147,133,37,42,55,109
100033426,108,109,60,92,93,62,51,37,88
100033427,57,77,32,76,29,13,26,47,52
100033428,36,16,17,31,21,15,13,7,13
100033429,18,8,2,12,22,6,7,1,6
100033430,55,58,31,27,54,26,22,36,30
100033431,96,66,80,112,64,30,46,63,74
100033432,120,113,54,150,1,15,66,40,100
100033433,91,55,59,57,48,39,25,41,61
100033434,168,71,47,114,72,38,45,58,78
100033435,100,88,51,99,84,18,12,42,60
100033436,67,38,12,53,38,11,31,29,46
100033437,34,201,20,33,24,72,10,7,12
100033438,158,172,67,159,109,89,70,99,135
100033439,112,94,37,90,62,12,22,38,86
100033440,84,46,27,73,38,33,35,32,84
100033441,76,31,30,41,31,45,21,21,45
100033442,1026,270,264,670,265,591,317,363,872
100033443,53,15,17,34,21,8,17,22,20
100033444,9,9,15,11,9,6,3,9,8
100033445,26,11,8,24,14,28,10,7,20
100033446,17,12,10,13,7,10,4,3,13
100033447,28,12,9,11,9,14,7,5,13
100033448,33,21,17,24,15,13,11,19,26
100033449,25,14,11,16,15,19,6,9,5
100033450,222,79,97,153,135,114,57,43,112
100033451,75,41,17,61,37,32,14,29,27
100033453,22,15,11,18,8,13,9,1,8
100033454,17,7,13,12,6,2,4,4,9
100033455,17,9,7,18,14,2,5,3,9
100033456,2,2,3,3,0,1,1,2,6
100033458,22,8,4,14,1,3,1,2,0
100033460,105,118,41,101,55,33,25,36,62
100033603,83,50,32,74,47,79,18,19,49
100033799,112,56,45,81,57,11,29,29,57
100033800,0,0,0,0,0,0,0,0,0
100033801,41,44,17,37,33,15,21,23,21
100033802,61,33,20,44,18,11,9,23,37
100033803,28,12,6,15,13,19,1,9,15
100033804,30,19,13,26,14,13,8,11,11
100033805,29,21,4,22,6,15,7,15,15
100033806,839,572,168,516,139,362,225,296,475
100033807,246,152,81,85,53,40,69,61,112
100033808,18,10,7,13,14,15,7,8,19
100033809,98,90,40,127,74,67,46,55,71
100033810,22,9,8,13,10,3,2,1,5
100033811,21,27,18,21,13,8,7,20,12
100033812,58,51,13,30,25,14,33,24,28
100033813,26,18,10,14,22,0,8,5,15
100033814,74,41,62,38,28,9,21,21,37
100033815,65,22,28,44,16,52,13,26,36
100033816,39,23,18,34,25,6,25,18,32
100033817,35,20,9,22,34,21,8,12,14
100033818,58,40,36,30,33,1,19,36,34
100033819,0,0,0,0,0,0,0,0,0
100033820,61,47,22,45,43,41,18,15,21
100033821,121,87,47,72,62,35,25,43,72
100033822,8,12,8,12,9,8,6,4,5
100034743,94,70,39,97,60,38,48,30,64
100036563,14,3,3,7,12,7,2,5,6
100036564,40,21,12,27,18,16,17,15,20
100036565,14,9,3,1,11,5,2,11,6
100036566,183,116,66,124,154,24,60,84,91
100036567,10,5,8,4,7,0,3,3,4
100037417,0,0,0,2,0,0,0,0,0
100038246,0,0,0,0,0,0,0,0,0
10004,2,12,3,34,20,9,1,1,13
100048912,47,50,40,57,85,21,23,31,39
100049076,124,19,17,145,39,18,60,15,4
100049587,6,29,5,29,19,3,7,5,5
100049613,0,1,0,0,1,0,0,2,0
100049614,0,0,1,1,1,0,0,0,0
100049716,135,164,72,286,153,38,84,121,120
10005,400,580,467,931,494,358,238,279,620
10006,4577,4842,3298,6832,5892,1378,2645,2624,5444
10007,1025,1202,768,2022,1253,378,617,696,1518
100073347,157,142,76,207,96,21,52,49,95
10008,40,101,60,230,122,40,33,37,135
10009,1991,2353,1331,3310,2471,369,1281,1568,2889
100093630,220,329,262,657,442,377,128,130,417
100093631,1251,778,658,1636,817,389,663,441,688
100093698,16,9,9,9,6,7,0,3,11
1001,153,188,149,277,222,183,87,67,182
10010,1023,1198,806,2036,1476,142,694,715,1258
100101115,0,0,0,0,0,0,0,0,0
100101116,1,0,0,0,0,0,0,0,0
100101117,2,0,0,0,1,0,0,0,0
100101118,0,1,0,2,0,0,0,0,0
100101120,0,0,0,0,0,0,0,0,0
100101121,0,0,0,0,0,0,0,0,0
100101148,12,4,6,6,2,15,5,3,3
100101266,166,76,56,163,159,227,52,50,73
100101267,1556,871,671,1376,616,491,341,436,729
100101440,38,37,19,34,72,8,2,6,40
100101467,1296,1086,769,1870,1260,816,498,713,1087
100101478,8,7,4,22,6,15,3,7,13
100101490,169,86,104,243,99,90,55,72,122
100101938,412,696,325,420,678,79,375,86,226
10011,507,529,387,894,576,369,231,254,531
100113378,2,9,2,8,5,7,4,3,8
100113379,4,4,0,2,1,0,0,1,1
100113380,0,0,0,0,0,0,0,0,0
100113381,7,11,0,11,9,0,4,2,3
100113382,31,24,17,64,10,26,15,13,22
100113384,0,0,0,0,0,0,0,0,0
100113386,62,33,37,72,16,86,9,18,25
100113389,1,4,2,10,6,0,3,3,5
100113391,2,0,0,1,0,0,0,0,0
100113392,6,11,9,3,24,0,6,13,14
100113393,10,17,1,6,17,3,3,9,10
100113402,3,2,3,4,2,0,0,1,3
100113403,15,23,29,27,18,0,13,7,23
100113404,2,0,0,1,0,0,0,0,0
100113407,8336,10057,5398,14820,10634,1414,5241,6493,10607
100124412,2,0,0,1,0,0,0,0,0
100124516,8,5,3,10,3,6,2,3,7
100124533,16,3,6,13,12,0,6,4,4
100124534,0,0,0,0,0,0,0,0,1
100124535,4,2,4,7,2,0,2,3,3
100124536,20,21,17,29,6,36,8,16,25
100124537,3,0,1,3,2,0,2,1,4
100124538,1,0,2,8,2,1,1,3,1
100124539,7,6,3,7,0,2,2,0,1
100124540,1,1,0,2,0,0,0,1,0
100124541,11,4,5,3,4,5,0,0,5
100124700,0,0,0,2,0,0,0,0,0
100125288,81,73,42,145,112,81,32,26,85
100125556,37,44,40,70,37,26,9,10,40
100126270,38,35,15,41,30,13,7,15,33
100126296,0,0,0,1,0,0,0,0,0
100126297,3,4,1,5,4,2,2,3,6
100126299,11,0,0,2,7,0,4,2,0
100126301,0,0,0,0,0,0,0,0,0
100126302,0,0,0,0,0,0,0,0,0
100126303,0,0,0,0,0,0,0,0,0
100126304,0,0,0,0,0,0,0,0,0
100126306,0,0,0,0,0,0,0,0,0
100126307,0,0,0,0,0,0,0,1,0
100126308,1,3,6,4,2,3,0,0,0
100126309,0,3,0,3,1,0,0,0,1
100126310,9,8,5,8,12,3,2,8,8
100126311,0,0,0,0,0,0,0,0,0
100126313,11,10,6,15,8,10,2,4,4
100126314,0,0,0,0,0,0,0,0,0
100126315,0,0,0,0,0,0,0,0,0
100126316,3,5,1,1,2,0,3,0,4
100126317,2,3,0,0,0,0,0,1,1
100126318,0,0,0,0,0,0,0,0,1
100126319,0,0,0,0,0,0,0,0,0
100126320,17,12,3,8,21,0,7,5,13
100126321,0,0,0,0,0,0,0,0,0
100126323,0,0,0,0,0,0,0,0,0
100126324,0,0,0,0,0,0,1,0,0
100126325,0,0,0,0,0,0,0,0,0
100126326,0,0,0,0,0,0,0,0,0
100126327,0,1,0,0,0,0,0,0,1
100126328,4,2,1,3,3,3,2,0,2
100126329,1,0,0,0,0,0,0,0,0
100126330,0,0,0,0,0,0,0,0,0
100126331,0,0,0,1,0,0,1,0,0
100126332,1,0,0,1,0,0,0,0,0
100126333,12,1,0,1,0,0,2,0,0
100126334,2,0,0,0,0,0,0,0,0
100126335,3,3,0,1,0,0,1,0,2
