signatureid,compound,concentration,time,cellline,similarity,pValue,sig_direction
LINCSCP_261794,PK04_096316,10uM,24h,NPC,-0.92024232,2e-20,Down
LINCSCP_42936,Nifedipine,10uM,24h,NPC,-0.91339962,1.4e-19,Down
LINCSCP_262631,W13,10uM,24h,NPC,-0.90977936,3.5e-19,Down
LINCSCP_262830,Digoxigenin,10uM,24h,NPC,-0.89875909,4.37e-18,Down
LINCSCP_42923,AC1O7M2R,10uM,24h,NPC,-0.89784349,5.32e-18,Down
LINCSCP_260962,BRD-K94390774,1uM,24h,NKDBA,-0.89708355,6.26e-18,Down
LINCSCP_42282,SUGA1_010064,10uM,24h,NPC,-0.89656427,6.98e-18,Down
LINCSCP_284852,Thiorphan,10uM,24h,SKB,-0.89523942,9.22e-18,Down
LINCSCP_42383,Daph,10uM,24h,NPC,-0.88453581,7.673e-17,Down
LINCSCP_262299,Clofibric acid,10uM,24h,NPC,-0.88218957,1.1874e-16,Down
LINCSCP_42350,CHEMBL97698,10uM,24h,NPC,-0.87728728,2.8712e-16,Down
LINCSCP_64853,Azacitidine,0.5uM,24h,VCAP,-0.87641919,3.3439e-16,Down
LINCSCP_42375,ST50982848,10uM,24h,NPC,-0.87278248,6.256e-16,Down
LINCSCP_218170,Raloxifene,3.33uM,24h,HCC515,-0.87032963,9.4432e-16,Down
LINCSCP_145781,C24H25CLFN5O3,0.12uM,3h,MDAMB231,-0.86971942,1.04483e-15,Down
LINCSCP_42318,CGP 60474,10uM,24h,NPC,-0.86332867,2.92565e-15,Down
LINCSCP_49868,CHEMBL2134949,10uM,24h,PHH,-0.86101946,4.19081e-15,Down
LINCSCP_42301,MEGXP0_001010,10uM,24h,NPC,-0.85810954,6.53188e-15,Down
LINCSCP_259103,BRD-K86048057,10uM,24h,NEU,-0.85614017,8.77151e-15,Down
LINCSCP_7409,SPBIO_002561,10uM,6h,A549,-0.85439381,1.135108e-14,Down
LINCSCP_34700,Granisetron,10uM,6h,MCF7,-0.85132745,1.770736e-14,Down
LINCSCP_261684,NCGC00170203-01,10uM,24h,NPC,-0.84778717,2.922898e-14,Down
LINCSCP_29225,SCHEMBL17497612,0.5uM,6h,JURKAT,-0.8391871,9.384147e-14,Down
LINCSCP_29938,"Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-",1uM,6h,MCF10A,-0.83773992,1.1342978e-13,Down
LINCSCP_42675,GW843682X,10uM,24h,NPC,-0.83428124,1.7712681e-13,Down
LINCSCP_258946,BRD-K30126976,10uM,24h,NEU,-0.83384169,1.8731182e-13,Down
LINCSCP_56307,Betahistine,10uM,24h,VCAP,-0.82964871,3.1673802e-13,Down
LINCSCP_262460,Trapidil,10uM,24h,NPC,-0.82669583,4.5466053e-13,Down
LINCSCP_52765,Veratridine,10uM,24h,SKB,-0.82650443,4.6532974e-13,Down
LINCSCP_262760,Orphenadrine,10uM,24h,NPC,-0.82506357,5.5361101e-13,Down
LINCSCP_281833,313981-55-4,10uM,24h,PHH,-0.823536,6.6442027e-13,Down
LINCSCP_42409,Rivaroxaban,10uM,24h,NPC,-0.82136602,8.5844203e-13,Down
LINCSCP_252778,SA-103013,1uM,24h,MCF7,-0.82048111,9.5204359e-13,Down
LINCSCP_76687,3-(4-Pyridyl)indole,0.37uM,24h,A375,-0.81834086,1.21999253e-12,Down
LINCSCP_17118,Broad-Sai-296,0.5uM,24h,HA1E,-0.81751218,1.34177607e-12,Down
LINCSCP_136336,SB 242235,1.11uM,24h,MCF7,-0.815906,1.61132933e-12,Down
LINCSCP_244754,Mephenytoin,10uM,6h,MCF7,-0.81276452,2.2934019e-12,Down
LINCSCP_42455,Xanthohumol,10uM,24h,NPC,-0.81273086,2.30200777e-12,Down
LINCSCP_262394,Nicergoline,10uM,24h,NPC,-0.81033483,2.99979781e-12,Down
LINCSCP_13597,AC1LDBAO,20uM,6h,H1299,-0.80996987,3.12222259e-12,Down
LINCSCP_64676,BRD-K57879743,10uM,24h,VCAP,-0.80901393,3.46569939e-12,Down
LINCSCP_29758,Palbociclib,0.5uM,6h,MCF10A,-0.80769135,4.00024774e-12,Down
LINCSCP_13443,CHEMBL436817,40uM,6h,H1299,-0.80758126,4.04809518e-12,Down
LINCSCP_42692,PI828,10uM,24h,NPC,-0.80717114,4.23115104e-12,Down
LINCSCP_132928,GW843682X,0.04uM,3h,MCF7,-0.80582585,4.88816877e-12,Down
LINCSCP_50051,MDL 72832,10uM,24h,PHH,-0.80364627,6.16148049e-12,Down
LINCSCP_128740,N-[4-Chloro-3-(trifluoromethyl)phenyl]-2-ethoxybenzamide,3.33uM,24h,HUVEC,-0.80254621,6.91758966e-12,Down
LINCSCP_11016,Lapatinib,10uM,24h,ASC,-0.80232143,7.08252004e-12,Down
LINCSCP_113446,BRD-A24396574-001-01-5,3.33uM,3h,HME1,-0.8022042,7.17000906e-12,Down
LINCSCP_204010,Pifithrin,10uM,24h,ASC,-0.80193495,7.37482819e-12,Down
