signatureid,compound,concentration,time,cellline,similarity,pValue,sig_direction
LINCSCP_118431,PRX-08066 Maleic acid,10uM,24h,HT29,0.96144247,0,Up
LINCSCP_282968,MLS002699429,40uM,6h,RKO,0.95462354,0,Up
LINCSCP_12970,AZD-2014,10uM,6h,EFO27,0.93071278,0,Up
LINCSCP_40262,Verapamil,10uM,6h,NCIH596,0.8992511,3.93e-18,Up
LINCSCP_133481,GSK 1059615,0.37uM,24h,MCF7,-0.89204443,1.777e-17,Up
LINCSCP_64557,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",5uM,6h,VCAP,0.88983213,2.764e-17,Up
LINCSCP_108312,Nemonapride,3.33uM,24h,HELA,0.88861845,3.509e-17,Up
LINCSCP_65541,BRD-K92431661,10uM,6h,VCAP,0.8839986,8.487e-17,Up
LINCSCP_27458,BRD-K96539190,5uM,24h,HT29,0.87834892,2.3791e-16,Up
LINCSCP_50727,NSC23766,100uM,6h,RKO,0.87781896,2.6138e-16,Up
LINCSCP_29360,423735-93-7,10uM,6h,LOVO,0.87765752,2.6895e-16,Up
LINCSCP_117108,MLN-0128,0.04uM,24h,HT29,0.87620441,3.4718e-16,Up
LINCSCP_282977,Capsaicin,100uM,6h,RKO,0.87176049,7.4344e-16,Up
LINCSCP_57122,LY 2183240,10uM,6h,VCAP,0.87113431,8.2577e-16,Up
LINCSCP_293786,ST029676,10uM,6h,VCAP,0.86901269,1.17393e-15,Up
LINCSCP_50755,M3M3FBS,80uM,6h,RKO,0.85689554,7.83773e-15,Up
LINCSCP_312365,BRD-K81224183,10uM,24h,VCAP,0.85595852,9.01133e-15,Up
LINCSCP_228757,BRD-K53022123,5uM,24h,HT29,0.85487314,1.057917e-14,Up
LINCSCP_70493,galantamine,0.04uM,24h,A375,0.85232831,1.533199e-14,Up
LINCSCP_39990,AC1LDBAO,20uM,6h,NCIH1836,0.85075218,1.922659e-14,Up
LINCSCP_312013,BRD-K44070326,10uM,24h,VCAP,0.8505708,1.97307e-14,Up
LINCSCP_283007,Ursolic acid,70uM,6h,RKO,0.84583239,3.833986e-14,Up
LINCSCP_56259,SG-209,10uM,24h,VCAP,0.84446151,4.627252e-14,Up
LINCSCP_64558,Radicicol,1uM,6h,VCAP,0.8443532,4.696156e-14,Up
LINCSCP_53241,JSH-23,5uM,6h,SKM1,0.83939173,9.134566e-14,Up
