Gene,SRR5961806,SRR5961810,SRR5961811,SRR5961815,SRR5961817,SRR5961819,SRR5961822,SRR5961823,SRR5961829
A1BG,1.055223291,1.704722331,1.938364529,0.875549002,0.902063362,1.004393182,1.544518648,1.383167736,1.0461035
A1BG-AS1,1.685064053,0.718226484,0.770896717,0.974987912,0.614895992,0.581156076,1.044245999,0.748125574,0.725951069
A1CF,0.845864709,0.929442476,0.516757819,0.511293883,0.181344474,0.705739727,0.333329987,0.829189088,0.749708928
A2M,92.63773302,126.2541235,89.97198818,114.879789,158.9398508,129.7620473,129.2982636,131.3951541,90.08511624
A2M-AS1,2.683003572,2.098769572,1.88441595,2.540447056,3.12932309,1.80545125,3.33802023,1.641188682,2.489185971
A2ML1,9.88626632,7.668416583,5.523906234,7.86670776,8.480458096,8.202904804,6.739247353,8.1607551,5.211198957
A2MP1,0.87255674,0.558284875,0.371241405,1.37876618,0.545382729,0.456306259,0.64605913,0.833971032,0.55695583
A4GALT,0.8407142,0.544165958,0.834618293,0.646273143,0.503943813,0.537355017,1.00943068,0.401768308,0.165117118
AA06,3.36930536,1.545743556,1.953211662,1.588059673,1.137016495,1.349000279,1.157534623,2.482224239,1.352451043
AAAS,7.039633344,7.105518045,6.094732469,6.65878027,9.862410139,6.472589814,7.67465276,9.282501396,7.084351076
AACS,34.59732502,35.11459402,43.71745981,39.34372371,32.61173815,32.90436376,32.91064937,37.76843124,35.4669237
AACSP1,0.592372411,0.515062564,0.555203316,0.607157391,0.798043643,0.239445792,0.346348354,0.39386216,0.809339406
AADAT,13.49914654,13.19703496,10.36562012,14.92537467,15.21364357,11.11132875,11.35468545,10.7209399,9.916538948
AAGAB,52.78111061,85.36186466,86.42651292,80.48865233,87.02985569,87.07498695,91.30492731,89.04205845,113.7763241
AAK1,437.9197338,385.3585593,408.4342313,398.8685947,393.8647847,432.3151865,420.484453,503.5714236,422.5826177
AAMDC,2.835809404,2.768054313,2.842059204,2.809701892,4.405083125,2.21900044,3.177912478,3.035654557,3.397430566
AAMP,30.23479148,33.13689337,29.81596398,29.29818306,34.8132421,33.36547651,33.72683366,32.24675239,39.80367187
AAR2,7.227211362,8.567975472,8.478684446,8.087884122,9.28546701,8.63884034,7.249030137,6.014792912,7.744109869
AARD,0.683513898,0.901260227,0.715841226,0.808354236,0.413754838,0.464373924,0.555539299,0.402023345,0.516318537
AARS1,166.7096923,172.8880689,205.1371712,181.824884,189.8949688,208.6778504,195.5909975,185.6088905,216.2528341
AARS2,20.59673631,16.06789214,22.25330477,18.71541475,14.11565994,17.76785459,14.37127804,19.90720308,13.89874038
AARSD1,0.243105115,0.115754479,0.061293306,0.885947582,0.185993911,0.075337822,0.72648679,0.660919918,0.445630173
AASDH,27.59026523,29.59228072,26.2022512,23.91336553,32.33022092,28.22436655,33.86582795,32.42220935,26.65693322
AASDHPPT,69.32639798,141.5256328,128.3491189,122.8024212,134.5112214,131.0690813,163.5527336,148.2417897,184.8895652
AASS,32.10611048,23.2737891,12.84867072,22.08455168,32.02202513,23.81879654,25.96739065,20.23438157,20.38197178
AATBC,3.124521396,0.841145639,1.69068735,0.985386492,0.992975521,1.027870033,0.85420081,1.102652525,0.434281865
AATK,63.12692293,21.1157705,33.88593283,30.23102966,19.10206905,31.4836176,24.98233603,23.45881452,22.20353572
ABAT,253.8086385,274.0688626,263.9149475,256.4777168,264.404355,270.8326858,277.3695883,279.3702473,247.7007273
ABCA1,47.12904317,32.2281151,20.38937143,32.76071062,38.65956152,29.09417031,31.12481303,30.52456395,24.63620288
ABCA10,30.50819926,35.08813891,37.33647852,34.43619813,39.43897187,36.69790763,33.57037297,44.50319364,36.49280463
ABCA11P,11.62381942,7.170756497,12.78225597,9.216936249,7.890712268,12.23164615,10.45358274,11.95463045,9.994717152
