Name_GeneSymbol,AI,AI_Pval,CG,CG_Pval,DLPFC,DLPFC_Pval,NAC,NAC_Pval,OFC,OFC_Pval,SUB,SUB_Pval
INTS3,0.974974919,0.063605752,0,0,0.256555192,0.77737259,0,0,0,0,0,0
S100A4,0.526264165,0.472250593,0.496258242,0.676490568,0.619065503,0.561525119,0.901018037,0.599930808,0.450133364,0.558118669,0.893094537,0.488380239
COL1A1,0.432613862,0.559092035,0,0,0.522107331,0.472847973,2.092115545,0.078747334,0,0,0,0
GATA2,0.397589334,0.485293069,0,0,0,0,0,0,0.196687212,0.744491748,0,0
LAMA3,0.374781224,0.027698429,0,0,0,0,0,0,0,0,0,0
ICAM1,0.352831353,0.452476974,0.386666346,0.637087125,0.322807568,0.55450109,1.02012868,0.253195303,0.153457651,0.751840373,0.2530907,0.763283732
CD58,0.329371387,0.405100263,0,0,0,0,1.484357827,0.107568371,-0.001508474,0.997091249,0.206469408,0.771680482
NOS3,0.325758526,0.516043264,0,0,0,0,-0.127712255,0.931300311,0.482902738,0.359242232,-0.021097081,0.979320446
KIF2C,0.294709791,0.569605629,0,0,-0.020475554,0.978772796,0,0,0.354863939,0.498744979,0,0
RAC2,0.283471945,0.700552302,0,0,0.296202868,0.770228386,1.125052924,0.504033422,0.225726741,0.753305134,0,0
SERPINE1,0.266382021,0.672537589,0,0,0.645572444,0.394914629,1.016285033,0.394650213,0,0,0,0
BDH1,0.26179084,0.239682021,0,0,0,0,-0.071927365,0.90344698,0,0,-0.013060776,0.972799731
EDN1,0.257381932,0.342456181,0.573665194,0.193829561,0,0,0,0,-0.019257763,0.946638259,0.407139692,0.415249419
MKNK1,0.250485129,0.065267703,0,0,0,0,-0.021589798,0.971789628,0,0,0,0
CCL2,0.246361533,0.71070074,0,0,0,0,1.935215999,0.14028917,0.241529588,0.733986005,0,0
MYL9,0.243683031,0.723092872,0,0,0.408417097,0.529173464,0,0,0.49303336,0.303753004,0.4284957,0.564554208
TSPAN4,0.242126856,0.615848878,0,0,0,0,0,0,0,0,0.489503155,0.560575519
NUSAP1,0.239878085,0.642896047,0,0,0,0,0,0,0,0,0,0
PXN,0.238896367,0.328825883,0,0,0.273810942,0.357674261,1.348001592,0.005211554,0.172933737,0.497698267,0,0
GSTM2,0.238244971,0.178456097,-0.025923411,0.92969279,0,0,0,0,0,0,0,0
PPIC,0.235902293,0.545510571,0,0,0.423490084,0.435913425,1.436591978,0.101805232,0,0,0.41440921,0.545586642
NPEPL1,0.23395821,0.767953353,0.361803608,0.789481829,0.543170855,0.640047211,0,0,0,0,0,0
TBX2,0.232621834,0.669606064,0,0,0,0,0,0,0.332102847,0.538568831,0,0
PLCB3,0.230758702,0.318455557,0,0,0,0,0,0,0.188839011,0.433236902,0,0
