Name_GeneSymbol,AI,AI_Pval,CG,CG_Pval,DLPFC,DLPFC_Pval,NAC,NAC_Pval,OFC,OFC_Pval,SUB,SUB_Pval
CPSF4,7.08E-06,0.999981145,0,0,0,0,-0.010634359,0.959211673,-0.002621274,0.985970949,0,0
INTS3,0.77860409,0.049570237,0,0,0,0,0,0,0.470875091,0.182622455,0,0
S100A4,0.460233994,0.388415622,0.601708991,0.371878509,0.311081061,0.590759204,0.199145555,0.70778566,0,0,0,0
GATA2,0.432736093,0.310005057,0,0,0,0,0.086950421,0.846945718,0.281757775,0.517855495,0.377904642,0.397506828
IL1B,0.378483662,0.392786172,0.706842164,0.145511231,0.7079166,0.13104746,0,0,0.447553726,0.276334416,0,0
MYL9,0.342074409,0.48503829,0,0,0.308543235,0.390501046,-0.000363767,0.998961522,0.226452095,0.476034656,0,0
LAMA3,0.332020373,0.006919383,0,0,0,0,0.289990984,0.063766538,0,0,0,0
PLK1,0.31760567,0.391350256,0,0,-0.006819306,0.986430464,-0.003983441,0.992583823,0.121295175,0.713908098,0.12621908,0.7411879
IGF2BP2,0.277495086,0.603517715,0,0,0,0,0,0,0,0,0,0
RAC2,0.26975139,0.608817299,0.257155923,0.650029744,0,0,0,0,0,0,0.209111308,0.699957592
KIF2C,0.258673311,0.498653526,0,0,0,0,0,0,-0.014642178,0.968608297,0,0
STAP2,0.246524801,0.557093114,0,0,0,0,0,0,0.394411187,0.328678933,0,0
NUSAP1,0.240439841,0.517395841,0,0,0,0,0,0,0,0,-0.009359813,0.979098975
MKNK1,0.236656809,0.016132878,0,0,0,0,-0.009336103,0.938775597,-0.015238609,0.854037154,0,0
GSTM2,0.229351693,0.077799461,0,0,0,0,0,0,0,0,0,0
ICAM1,0.227912889,0.482621345,0.366376733,0.263248125,0.109648889,0.755440555,-0.001594925,0.994929983,0.279618766,0.405189144,0,0
PTPN6,0.227367221,0.469431896,0,0,0.151064119,0.633097501,0.089521873,0.715417243,0,0,0.201058589,0.432539867
COL1A1,0.225595566,0.680095369,0.403706494,0.387222309,0,0,0,0,-0.007467904,0.989455844,0,0
PPARG,0.224396965,0.246310156,0.129993499,0.556865695,0.105122473,0.515545796,0.183988839,0.325864049,0.26775987,0.100046016,0.184213117,0.363622425
LSR,0.222860294,0.380362055,0.145889185,0.674655127,0.16213898,0.558245798,0.097602129,0.727977856,0,0,0,0
IL4R,0.222339813,0.389261588,0.240344855,0.323124653,0.345090217,0.192142555,0.135297726,0.558506374,0.187839631,0.447470509,0.211463791,0.409489135
PRKCH,0.210940953,0.191852898,0,0,0,0,0,0,0,0,0.10565806,0.514180376
GPER1,0.210356545,0.346382203,0,0,0.104008345,0.672585172,0,0,0,0,0,0
CCDC85B,0.201858056,0.392579252,0.217591152,0.130819542,0.227357656,0.312250467,0,0,0.148091618,0.228501114,0,0
CASP10,0.200730743,0.339364285,0.165865144,0.484669306,0,0,0.137234322,0.420677389,0.149099442,0.504709021,0.115504204,0.529623978
ADRB2,0.200666801,0.44636362,0.246538742,0.337987692,0,0,0.079604802,0.702460794,0.242974145,0.358875643,0.105991907,0.629477514
MRPL12,0.195863872,0.417156365,0,0,0.166728097,0.428571619,0,0,0,0,-0.01443047,0.951043521
TSPAN4,0.189196022,0.586035817,0.134453577,0.747563953,0,0,0.167380901,0.628671236,0.146970997,0.675202372,0,0
