Name_GeneSymbol,AI,AI_Pval,CG,CG_Pval,DLPFC,DLPFC_Pval,NAC,NAC_Pval,OFC,OFC_Pval,SUB,SUB_Pval
DUSP4,0.868151978,0.011279457,0,0,0.986624589,0.005305925,0,0,1.000196386,0.001812047,0.326652418,0.531547348
CXCL2,0.82698234,0.547215513,-0.062356611,0.973278381,1.05924936,0.442340217,0.855115681,0.422413926,0.505354127,0.689983905,0,0
EGR1,0.728247547,0.138735712,0,0,0.790981016,0.052653226,0.332619937,0.48669854,0.471651647,0.152524488,1.136890343,0.014115525
TOP2A,0.631048654,0.655238883,0,0,0,0,0,0,0.408005018,0.747451336,0,0
APOE,0.616171344,0.021373536,0,0,0.502720574,0.076282264,0.296764385,0.099057526,0.346038397,0.137194666,0,0
ZFP36,0.613499959,0.476344113,1.089249102,0.205744407,0,0,0.479731808,0.509744234,0,0,0,0
DDIT4,0.611371242,0.042629077,0,0,0.407619832,0.152006646,0.321165457,0.257696818,0.496078439,0.085281693,0.24427042,0.334039305
EDN1,0.573665194,0.193829561,0,0,0.407139692,0.415249419,0.373659912,0.3989605,0.396458358,0.329141036,0.477836459,0.362141636
PAK4,0.570300611,0.438854048,0,0,-0.000998887,0.998839801,0.261188244,0.774041396,0,0,0.185469079,0.785469493
FOS,0.566241655,0.197308567,0,0,0.700382813,0.022876555,0,0,0.527459776,0.207022863,0,0
MBOAT7,0.55594256,0.694818998,0,0,0.29416295,0.825128038,0,0,0,0,0,0
CASP7,0.546961809,0.211453539,0,0,0.42180026,0.309336341,0.2456023,0.450632823,0,0,0,0
GHR,0.541548928,0.139847988,0,0,0,0,0,0,0,0,0,0
FUT1,0.516883948,0.248581706,0,0,0,0,0,0,0,0,0,0
POLE2,0.503687376,0.46023444,0,0,0.305251029,0.643194997,0.533086441,0.426151256,0,0,0.230687502,0.692370148
TRAM2,0.499815108,0.12321418,0,0,0,0,0.498357896,0.202341703,-0.023776227,0.936982087,0,0
S100A4,0.496258242,0.676490568,0.901018037,0.599930808,0.893094537,0.488380239,0,0,0,0,0,0
KIF14,0.479054395,0.666568493,0,0,0.227635248,0.840071683,0,0,0.266534694,0.819766234,0.286176041,0.776810344
TRIB1,0.468024929,0.10498404,0,0,0.569952393,0.064147033,0.351689541,0.196689019,0.390325306,0.179512855,-0.012963028,0.960979261
BHLHE40,0.467273122,0.06422546,-0.055851197,0.803719469,0.489932698,0.013578713,0,0,0.377814183,0.010664739,0.341558495,0.084509573
PLP2,0.461709376,0.701355441,2.243420313,0.044171839,0,0,-0.009428242,0.994353094,0,0,0,0
HES1,0.44078727,0.229180719,0,0,0.435260931,0.302261853,0.313526535,0.404724588,0.41447988,0.229312865,0,0
TUBB6,0.409135368,0.45734527,0,0,0,0,0,0,0,0,0,0
EGFR,0.393203407,0.080021234,0,0,0.515807762,0.025676986,0.417833442,0.038311466,0.38600509,0.127835836,0.239146413,0.276736598
BCL2,0.388303631,0.059835988,0,0,0.454388789,0.042916644,0.334630463,0.044993996,0.35348407,0.124855673,0,0
DYRK3,0.388030701,0.415711009,1.375184049,0.032546076,0.278562935,0.579969046,0,0,0,0,0,0
ICAM1,0.386666346,0.637087125,1.02012868,0.253195303,0.2530907,0.763283732,0.280354779,0.653146206,0,0,0,0
FZD1,0.374286804,0.3060392,0,0,0.2444314,0.566218854,0,0,0.278402173,0.486043923,0,0
SOX2,0.373118722,0.109314176,1.335204082,4.00E-05,0.383254677,0.15091142,0.2811773,0.129493147,0.352381921,0.118778573,0,0
HMOX1,0.369650624,0.709266612,0,0,0,0,0,0,0,0,0,0
NPEPL1,0.361803608,0.789481829,0,0,0,0,0.336976938,0.803946817,0,0,0,0
LOXL1,0.360420974,0.778408877,0.913542086,0.637009936,0.424173359,0.748468589,0,0,0.23074086,0.865943416,0.818707268,0.541087573
GLI2,0.357000568,0.677974402,0.901491577,0.315556391,0.330461957,0.703120987,0.378381412,0.578094104,0,0,0.185616785,0.820729346
HTRA1,0.354514078,0.142877666,0,0,0.357097479,0.152338865,0,0,0.349168669,0.102817763,0,0
SLC1A4,0.353282596,0.032443579,0,0,0.248825463,0.170945818,0.349176732,0.085217567,0,0,0,0
CDKN1A,0.344156726,0.646181407,1.280195477,0.093296794,0.246411634,0.703445413,0,0,0.432995228,0.525517012,0,0
TP53BP2,0.339101848,0.09703294,0,0,0.355104063,0.184139527,0.288729787,0.044869161,0.271505754,0.156520841,0,0
GPER1,0.334833838,0.520046415,0,0,0,0,0.347682169,0.596594256,0,0,0,0
TLR4,0.331303735,0.354592769,0,0,0.48025492,0.206128449,0.377958925,0.176606647,0.30342918,0.263425083,0,0
JUN,0.328236354,0.145815014,0,0,0,0,0,0,-0.00080459,0.996652242,0,0
SPRED2,0.327710846,0.133952142,0,0,0,0,0.491768427,0.069656058,0,0,0.305595651,0.173938543
CD40,0.326549926,0.688233972,0,0,0,0,0,0,0,0,0,0
PNP,0.322052715,0.498909964,0,0,0.306800495,0.536614212,0,0,0,0,0,0
GMNN,0.314752962,0.419043846,0,0,0.312674444,0.414777966,0.459928491,0.148352184,0.401596779,0.408024334,-0.032730354,0.939044428
RAB31,0.314436365,0.132406785,0,0,0.314988057,0.124304814,0.399965991,0.05664388,0.353403187,0.085998648,0.223689911,0.288652942
METRN,0.311718285,0.466315571,0.992047584,0.08556023,0.25838356,0.551338166,0,0,0,0,0,0
PRKAG2,0.30458166,0.142386773,0,0,0,0,-0.031678316,0.829547235,0,0,0.243213027,0.253428478
ALDOC,0.304496493,0.090234943,0,0,0.281010263,0.096409757,0.388288432,0.028998749,0.408380554,0.013611859,0,0
TIPARP,0.300750737,0.16666081,0,0,0.229432142,0.348151075,0,0,0.364704087,0.146132849,0,0
LYN,0.300277701,0.436359307,0,0,0.33723289,0.336797572,0,0,0,0,0,0
IGF2BP2,0.300229437,0.8090772,2.842352656,0.007295672,0.701631978,0.563375855,0,0,0.489874517,0.65343956,0.263823109,0.778302182
NFE2L2,0.295426593,0.13877341,0,0,0,0,0.241678829,0.230736723,0.305585554,0.135444484,0,0
