Run,TISSUE,Phenotype,gender,RIN
SRR5956375,Nucleus Accumbens (Nac),Stress,male,9.1
SRR5956376,Nucleus Accumbens (Nac),Stress,male,9.1
SRR5956377,Nucleus Accumbens (Nac),Stress,male,8.8
SRR5956378,Nucleus Accumbens (Nac),Stress,male,9.2
SRR5956379,Nucleus Accumbens (Nac),Stress,male,9.5
SRR5956380,Nucleus Accumbens (Nac),Stress,male,9.1
SRR5956381,Nucleus Accumbens (Nac),Stress,male,8.9
SRR5956382,Nucleus Accumbens (Nac),Stress,male,9.7
SRR5956383,Nucleus Accumbens (Nac),Stress,male,9.1
SRR5956384,Nucleus Accumbens (Nac),Stress,male,9.4
SRR5956385,Nucleus Accumbens (Nac),Stress,female,9.1
SRR5956386,Nucleus Accumbens (Nac),Stress,female,8.9
SRR5956387,Nucleus Accumbens (Nac),Stress,female,9
SRR5956388,Nucleus Accumbens (Nac),Stress,female,9.1
SRR5956389,Nucleus Accumbens (Nac),Stress,female,9.4
SRR5956390,Nucleus Accumbens (Nac),Stress,female,8.9
SRR5956391,Nucleus Accumbens (Nac),Stress,female,9.1
SRR5956392,Nucleus Accumbens (Nac),Stress,female,9.3
SRR5956393,Nucleus Accumbens (Nac),Stress,female,9.3
SRR5956394,Nucleus Accumbens (Nac),Stress,female,8.8
SRR5956395,Nucleus Accumbens (Nac),CTRL,male,9.4
SRR5956396,Nucleus Accumbens (Nac),CTRL,male,8.5
SRR5956397,Nucleus Accumbens (Nac),CTRL,male,9
SRR5956398,Nucleus Accumbens (Nac),CTRL,male,8.5
SRR5956399,Nucleus Accumbens (Nac),CTRL,male,9.4
SRR5956400,Nucleus Accumbens (Nac),CTRL,male,9
SRR5956401,Nucleus Accumbens (Nac),CTRL,male,9.5
SRR5956402,Nucleus Accumbens (Nac),CTRL,male,9.5
SRR5956403,Nucleus Accumbens (Nac),CTRL,male,9.2
SRR5956404,Nucleus Accumbens (Nac),CTRL,male,8.8
SRR5956405,Nucleus Accumbens (Nac),CTRL,female,9
SRR5956406,Nucleus Accumbens (Nac),CTRL,female,9.3
SRR5956407,Nucleus Accumbens (Nac),CTRL,female,9.8
SRR5956408,Nucleus Accumbens (Nac),CTRL,female,9.4
SRR5956409,Nucleus Accumbens (Nac),CTRL,female,8.9
SRR5956410,Nucleus Accumbens (Nac),CTRL,female,9
SRR5956411,Nucleus Accumbens (Nac),CTRL,female,9.2
SRR5956412,Nucleus Accumbens (Nac),CTRL,female,9.3
SRR5956413,Nucleus Accumbens (Nac),CTRL,female,9
SRR5956414,Nucleus Accumbens (Nac),CTRL,female,9.2
