Run,TISSUE,Phenotype,gender,RIN
SRR5956337,prefrontal cortex (PFC),Stress,male,9
SRR5956338,prefrontal cortex (PFC),Stress,male,8.5
SRR5956339,prefrontal cortex (PFC),Stress,male,8.7
SRR5956340,prefrontal cortex (PFC),Stress,male,9.1
SRR5956341,prefrontal cortex (PFC),Stress,male,9.2
SRR5956342,prefrontal cortex (PFC),Stress,male,8.9
SRR5956343,prefrontal cortex (PFC),Stress,male,9.1
SRR5956344,prefrontal cortex (PFC),Stress,male,8.8
SRR5956345,prefrontal cortex (PFC),Stress,male,8.8
SRR5956346,prefrontal cortex (PFC),Stress,female,7.7
SRR5956347,prefrontal cortex (PFC),Stress,female,8.8
SRR5956348,prefrontal cortex (PFC),Stress,female,8.5
SRR5956349,prefrontal cortex (PFC),Stress,female,8.5
SRR5956350,prefrontal cortex (PFC),Stress,female,8.3
SRR5956351,prefrontal cortex (PFC),Stress,female,8.2
SRR5956352,prefrontal cortex (PFC),Stress,female,8.8
SRR5956353,prefrontal cortex (PFC),Stress,female,9
SRR5956354,prefrontal cortex (PFC),Stress,female,9.3
SRR5956355,prefrontal cortex (PFC),Stress,female,9.3
SRR5956356,prefrontal cortex (PFC),CTRL,male,8.9
SRR5956357,prefrontal cortex (PFC),CTRL,male,8.6
SRR5956358,prefrontal cortex (PFC),CTRL,male,8.7
SRR5956359,prefrontal cortex (PFC),CTRL,male,8.7
SRR5956360,prefrontal cortex (PFC),CTRL,male,8.3
SRR5956361,prefrontal cortex (PFC),CTRL,male,9.4
SRR5956362,prefrontal cortex (PFC),CTRL,male,8.8
SRR5956363,prefrontal cortex (PFC),CTRL,male,10
SRR5956364,prefrontal cortex (PFC),CTRL,male,8.7
SRR5956365,prefrontal cortex (PFC),CTRL,male,9.2
SRR5956366,prefrontal cortex (PFC),CTRL,female,8.9
SRR5956367,prefrontal cortex (PFC),CTRL,female,8.8
SRR5956368,prefrontal cortex (PFC),CTRL,female,9
SRR5956369,prefrontal cortex (PFC),CTRL,female,9
SRR5956370,prefrontal cortex (PFC),CTRL,female,8.9
SRR5956371,prefrontal cortex (PFC),CTRL,female,8.7
SRR5956372,prefrontal cortex (PFC),CTRL,female,8.5
SRR5956373,prefrontal cortex (PFC),CTRL,female,8.9
SRR5956374,prefrontal cortex (PFC),CTRL,female,9.1
SRR5956375,Nucleus Accumbens (Nac),Stress,male,9.1
SRR5956376,Nucleus Accumbens (Nac),Stress,male,9.1
SRR5956377,Nucleus Accumbens (Nac),Stress,male,8.8
SRR5956378,Nucleus Accumbens (Nac),Stress,male,9.2
SRR5956379,Nucleus Accumbens (Nac),Stress,male,9.5
SRR5956380,Nucleus Accumbens (Nac),Stress,male,9.1
SRR5956381,Nucleus Accumbens (Nac),Stress,male,8.9
SRR5956382,Nucleus Accumbens (Nac),Stress,male,9.7
SRR5956383,Nucleus Accumbens (Nac),Stress,male,9.1
SRR5956384,Nucleus Accumbens (Nac),Stress,male,9.4
SRR5956385,Nucleus Accumbens (Nac),Stress,female,9.1
SRR5956386,Nucleus Accumbens (Nac),Stress,female,8.9
SRR5956387,Nucleus Accumbens (Nac),Stress,female,9
SRR5956388,Nucleus Accumbens (Nac),Stress,female,9.1
SRR5956389,Nucleus Accumbens (Nac),Stress,female,9.4
SRR5956390,Nucleus Accumbens (Nac),Stress,female,8.9
SRR5956391,Nucleus Accumbens (Nac),Stress,female,9.1
SRR5956392,Nucleus Accumbens (Nac),Stress,female,9.3
SRR5956393,Nucleus Accumbens (Nac),Stress,female,9.3
SRR5956394,Nucleus Accumbens (Nac),Stress,female,8.8
SRR5956395,Nucleus Accumbens (Nac),CTRL,male,9.4
SRR5956396,Nucleus Accumbens (Nac),CTRL,male,8.5
SRR5956397,Nucleus Accumbens (Nac),CTRL,male,9
SRR5956398,Nucleus Accumbens (Nac),CTRL,male,8.5
SRR5956399,Nucleus Accumbens (Nac),CTRL,male,9.4
SRR5956400,Nucleus Accumbens (Nac),CTRL,male,9
SRR5956401,Nucleus Accumbens (Nac),CTRL,male,9.5
SRR5956402,Nucleus Accumbens (Nac),CTRL,male,9.5
SRR5956403,Nucleus Accumbens (Nac),CTRL,male,9.2
SRR5956404,Nucleus Accumbens (Nac),CTRL,male,8.8
SRR5956405,Nucleus Accumbens (Nac),CTRL,female,9
SRR5956406,Nucleus Accumbens (Nac),CTRL,female,9.3
SRR5956407,Nucleus Accumbens (Nac),CTRL,female,9.8
SRR5956408,Nucleus Accumbens (Nac),CTRL,female,9.4
SRR5956409,Nucleus Accumbens (Nac),CTRL,female,8.9
SRR5956410,Nucleus Accumbens (Nac),CTRL,female,9
SRR5956411,Nucleus Accumbens (Nac),CTRL,female,9.2
SRR5956412,Nucleus Accumbens (Nac),CTRL,female,9.3
SRR5956413,Nucleus Accumbens (Nac),CTRL,female,9
SRR5956414,Nucleus Accumbens (Nac),CTRL,female,9.2
