Name_GeneSymbol,AI,AI_Pval,CG,CG_Pval,DLPFC,DLPFC_Pval,NAC,NAC_Pval,OFC,OFC_Pval,SUB,SUB_Pval
UBR7,0.584401179,0.35155451,0,0,0,0,0,0,0,0,0.404075992,0.670255621
ADRB2,0.579903601,0.169317011,0.571939924,0.111576341,0.291407444,0.49615867,0.351766191,0.297076791,0.494229494,0.253572486,0.366419747,0.31251059
INTS3,0.558080306,0.357588498,0,0,0,0,0,0,1.214949335,0.023498556,0,0
IL1B,0.549112623,0.419364487,1.303855784,0.055030843,1.322747754,0.076348469,0,0,0.726265367,0.3101305,0.434247551,0.516789704
GATA2,0.510727383,0.433949029,0,0,0,0,0.308673427,0.67421916,0,0,0.370325928,0.588373618
LSR,0.50198352,0.197574537,0,0,0,0,0,0,0,0,0,0
PLK1,0.436171385,0.413248683,0,0,0,0,0,0,0,0,0,0
CCDC85B,0.410997924,0.241349964,0,0,0.433672938,0.2013422,0.280481511,0.46877866,0.374161892,0.062266704,0,0
IGF2BP2,0.391375018,0.625345662,0.293597604,0.506092074,0,0,0,0,-0.011535883,0.987760439,0.262999872,0.636332242
MYL9,0.383974011,0.58806747,0,0,0,0,0,0,-0.005279104,0.990830098,0,0
CDC20,0.381312189,0.654435205,0.328193708,0.721592751,0,0,0.285565256,0.743855672,0,0,0.344031047,0.700746278
TOP2A,0.371885061,0.67635883,0,0,0,0,0.263755462,0.735068809,0,0,0,0
S100A4,0.364883428,0.642850375,1.059432002,0.274426486,0,0,0,0,0,0,0.291799772,0.733371626
CASP10,0.358665136,0.282102019,0,0,-0.003478079,0.992034507,0,0,0,0,0,0
IKZF1,0.327367752,0.360120797,0.492449625,0.115860085,0.402564254,0.277013996,0,0,0.673178734,0.067071281,0.50684527,0.142128728
CDKN2A,0.324648984,0.647699017,0,0,0,0,0.230904256,0.751139279,0.294417774,0.662161912,0,0
PTPRK,0.320465776,0.444889008,0.841316332,0.1276536,0.47967289,0.301787191,0,0,1.732171332,0.027177388,0,0
S100A13,0.3191662,0.046680737,0.393331829,0.032880688,0,0,0,0,0,0,0.461915383,0.002654744
STAP2,0.315130575,0.617831719,0,0,0,0,0,0,0,0,0,0
BAD,0.306423327,0.423229856,0,0,0.53193251,0.135276817,0.420401695,0.341943739,0.483812446,0.205439294,0,0
PTPN6,0.299808811,0.52375378,0,0,0,0,0,0,0,0,0.257589991,0.514728195
GPER1,0.298389894,0.361730403,0,0,0,0,0.264801941,0.572475336,0,0,0,0
PRKCH,0.284653481,0.245886904,0.399276048,0.135024031,0,0,0,0,0,0,0,0
LYN,0.269992373,0.308198645,-0.008652103,0.965993016,0,0,0,0,0,0,0.254477358,0.428972714
KIF20A,0.266806293,0.721831259,0.28333374,0.740338335,0,0,0,0,0.313756005,0.686407105,0.332798993,0.679773612
CRYZ,0.26526461,0.200314094,0,0,0.514686599,0.044571883,0,0,0.498018122,0.02753628,0.296017859,0.119106238
LAMA3,0.255833533,0.154099101,0,0,0,0,0.2883118,0.256056172,0,0,0,0
CASP7,0.249188845,0.392615594,0.384729915,0.174858737,0,0,0,0,0.29628645,0.397269959,0,0
PMAIP1,0.24895706,0.662107244,0,0,0.593490029,0.32048795,0,0,0.531134459,0.355661017,0,0
CCDC92,0.240895034,0.549577751,0,0,0,0,0.516129263,0.245899937,0,0,0,0
POLD4,0.236561844,0.463646768,0,0,0,0,0,0,0,0,0,0
POLG2,0.235669176,0.402734661,0,0,0,0,0,0,0,0,0,0
EZH2,0.233585919,0.496734474,0,0,0,0,0,0,0,0,-0.014933307,0.963692831
TGFBR2,0.232696192,0.29428163,0.361908752,0.144851168,0,0,0.273396003,0.092027357,0.285227028,0.26205259,-0.008156574,0.970356687
RAB27A,0.22331248,0.530130868,0,0,0,0,0,0,0,0,0,0
KIF2C,0.219163967,0.701883654,0,0,0,0,-0.01313845,0.982222835,0,0,0,0
GSTM2,0.214670589,0.268480889,0,0,0,0,0,0,0,0,0,0
TP53,0.212568191,0.560422131,0.33203626,0.39182988,0,0,0,0,0,0,0,0
SYNE2,0.208790516,0.151952082,0,0,0,0,0,0,0,0,0,0
IL4R,0.203657919,0.592472226,0,0,0.26142951,0.495478008,0,0,0,0,0,0
NUSAP1,0.202648829,0.707380093,0,0,0,0,0,0,0,0,0,0
RAC2,0.199510611,0.793357606,0,0,0,0,0.243545846,0.76751596,-0.015995691,0.983681997,0,0
CCNA2,0.197250281,0.649046418,0,0,0,0,0,0,0,0,0,0
MKNK1,0.196307745,0.214542317,0,0,0,0,0,0,0,0,-0.002143739,0.98769829
PHKA1,0.19624492,0.266509793,0.330853189,0.128658988,0,0,0,0,-0.012542403,0.948566153,0,0
CETN3,0.196021105,0.195176338,0,0,0,0,0.235634218,0.054529321,0,0,0,0
TERF2IP,-0.000533738,0.99617343,0,0,0,0,0,0,0,0,0,0
RUVBL1,-0.00062993,0.996582244,0,0,0,0,0,0,0,0,0,0
AMDHD2,-0.000718895,0.998672919,0,0,0,0,0,0,0,0,0,0
ELAC2,-0.00117003,0.98648138,0,0,0,0,0,0,0,0,0,0
PHKB,-0.001826811,0.988001502,0,0,0,0,-0.012246186,0.85025116,0,0,0,0
RHEB,-0.001887485,0.988252642,0,0,0.215401085,0.015468867,0,0,0,0,0,0
TRIM13,-0.002109447,0.988126748,0,0,0,0,0,0,0,0,0,0
MYCBP2,-0.002721217,0.976047727,0,0,0,0,0,0,0,0,0,0
RPS6,-0.002786886,0.973365016,0,0,-0.005629772,0.928826617,0,0,0,0,0,0
NUDT9,-0.002948542,0.983637405,0,0,0,0,0,0,0,0,0,0
TIMM17B,-0.003002789,0.99228239,0,0,0,0,0,0,0,0,0,0
TCTA,-0.004436571,0.976798525,0,0,0,0,0,0,0,0,0,0
PARP2,-0.005085205,0.963807157,0,0,0,0,0,0,0,0,0,0
MTA1,-0.005218254,0.972899876,0,0,0,0,0,0,0,0,0,0
DPH2,-0.005224094,0.982129652,0,0,0,0,0,0,-0.013903413,0.95616746,-0.015073818,0.959261931
CTSL,-0.005299645,0.973735907,0,0,0,0,0,0,0,0,0,0
CCNB1,-0.005402289,0.977617693,0,0,0,0,0,0,0,0,0,0
TRAM2,-0.005977057,0.976948496,0,0,0,0,0,0,0,0,0,0
SYPL1,-0.006565822,0.973656495,0.30111305,0.102291543,0,0,0.296045755,0.040692267,0.342288027,0.144359283,0.291244306,0.0950231
DHRS7,-0.006849105,0.960579346,0,0,0,0,0,0,0,0,0,0
BIRC2,-0.006915119,0.951662076,0,0,0,0,0,0,0,0,0,0
CCP110,-0.007035002,0.921442258,0,0,0,0,0,0,0,0,0,0
DCUN1D4,-0.007100923,0.930162807,0,0,0,0,0,0,0,0,0,0
PPP1R13B,-0.007136739,0.945140311,0,0,0,0,0,0,0,0,0,0
JMJD6,-0.007275738,0.957746408,0,0,0,0,0,0,0,0,0,0
AGL,-0.007278579,0.931599739,0,0,0,0,0,0,0,0,0,0
CALU,-0.007284943,0.940541185,0,0,0,0,0,0,0,0,0,0
ECH1,-0.008205812,0.964167618,0,0,0,0,0,0,0,0,-0.007031664,0.971071212
ATF1,-0.008285126,0.960260922,0,0,0,0,0,0,0,0,0,0
DRAP1,-0.009099904,0.944614174,0,0,0,0,0,0,0,0,-0.015691333,0.905053119
EBNA1BP2,-0.009115578,0.930104792,0,0,0,0,0,0,0,0,0,0
XPO7,-0.009268167,0.895733572,0,0,0,0,0,0,0,0,0,0
THAP11,-0.009454007,0.96875282,0,0,0,0,0,0,0,0,0,0
FAM20B,-0.009736545,0.929447681,0,0,0,0,0,0,0,0,0,0
HIF1A,-0.009789705,0.896633269,0,0,0,0,0,0,0,0,0,0
IGHMBP2,-0.009983075,0.956209289,0,0,0,0,0,0,0,0,0,0
ABL1,-0.010179362,0.934720628,0,0,0,0,0,0,0,0,0,0
RNMT,-0.010223438,0.902195752,-0.008964433,0.938243457,0,0,0,0,0,0,0,0
