compound,num_concordant,num_discordant,ratio,mechanism,RMGI,EFO27,RMUGS,HA1E,SNGM,HEPG2,NPC,SKB,VCAP,SKLU1,COV644,HEC108,MCF7,A375,HCC515,MDAMB231,LNCAP,BT20,MCF10A,HME1,ASC,SKBR3,HT29,PC3,HS578T,SW620,SW480,CORL23,OV7,THP1,A549,HCT116,LOVO,CD34,NOMO1,PHH,NPC.TAK,HUVEC,HEK293T,RKO,PL21,ASC.C,SKL,HELA,SW948,SNU1040,TYKNU,NCIH1694,AGS,HUH7,DV90,SKMEL1,U937,T3M10,YAPC,NCIH2073,MDST8,NKDBA,NEU,HL60,SNUC4,U266,HUES3,SKL.C,HCC15,A673,WSUDLCL2,SNUC5,SKMEL28,NCIH1836,NPC.CAS9,H1299,JHUEM2,FIBRNPC,NCIH508,NCIH596,SKM1,MNEU.E,JURKAT,HT115,CL34,HS27A
Cefaclor,0,3,0,Bacterial cell wall synthesis inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39054248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.65101004,NA,NA,NA,NA,NA,NA,-0.49913621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Resveratrol,5,11,0.45454545,Cytochrome P450 inhibitor|SIRT activator,NA,NA,NA,-0.39285933,NA,0.50550128,-0.34412038,NA,NA,NA,NA,NA,0.5796184,-0.51454909,-0.43563337,NA,NA,NA,NA,-0.34917192,-0.56689194,NA,-0.3464188,-0.64864832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34056072,NA,NA,0.39492354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44057658,NA,NA,NA,NA,NA,NA,NA,NA,0.45719938,NA,-0.37055274,NA,NA,NA,NA,-0.35344486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morin,0,2,0,Cytochrome P450 inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56910161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.61187751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Momelotinib,1,9,0.11111111,Tyrosine-protein kinase JAK1  inhibitor|Tyrosine-protein kinase JAK2 inhibitor,NA,NA,NA,-0.63204118,NA,-0.42663123,NA,NA,NA,NA,NA,NA,0.43720102,-0.41995998,-0.49445919,-0.57242622,NA,-0.60057735,-0.55243993,NA,NA,NA,NA,NA,-0.48721141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34078387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Farnesol,0,3,0,FXR agonist|Monoamine oxidase B inhibitor|NFkB pathway activator|PPAR receptor agonist,NA,NA,NA,-0.32968853,NA,-0.36478076,-0.6002923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duloxetine,2,6,0.33333333,Norepinephrine reuptake inhibitor|Serotonin reuptake inhibitor,NA,NA,NA,0.39424236,NA,NA,NA,NA,-0.59539981,NA,NA,NA,0.44219463,-0.32522105,NA,NA,NA,NA,NA,NA,NA,NA,-0.39313897,-0.43460593,NA,NA,NA,NA,NA,NA,-0.40712298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41099203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-Sulforaphane,9,7,1.28571429,Anticancer agent|Aryl hydrocarbon receptor antagonist,NA,NA,NA,-0.44982704,NA,-0.59365121,NA,NA,NA,NA,NA,NA,0.71469449,-0.55930098,-0.56596064,NA,NA,NA,NA,NA,NA,NA,0.58099025,-0.39984595,NA,NA,NA,0.45355554,NA,NA,-0.5505494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43491758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38408764,NA,NA,0.331653,NA,0.40040591,NA,NA,NA,NA,NA,NA,NA,0.62423055,NA,NA,NA,0.45675708,-0.3834718,NA,NA
Cefotiam,0,2,0,Bacterial cell wall synthesis inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,-0.41611558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.58187702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-",0,11,0,Rho associated kinase inhibitor,NA,NA,NA,-0.58434164,NA,-0.36996942,NA,NA,NA,NA,NA,NA,-0.47742464,-0.55129996,NA,NA,NA,NA,NA,NA,-0.47213633,NA,NA,-0.58072478,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3998825,NA,NA,NA,-0.32424131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45046577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34431705,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.49320682,NA,NA,NA,NA,NA,NA
Flavoxate,2,1,2,Acetylcholine receptor antagonist,NA,NA,NA,0.44882172,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42947743,NA,NA,NA,NA,NA,NA,NA,NA,-0.57979021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
