compound,num_concordant,num_discordant,ratio,mechanism,HELA,HT29,A375,PC3,HA1E,MCF7,NPC,A549,VCAP,HUH7,FIBRNPC,SKBR3,HEPG2,MDAMB231,BT20,HCC515,MCF10A,NEU,HME1,SKB,ASC,HS578T,LNCAP,YAPC,SW620,AGS,SNGM,WSUDLCL2,HCT116,SW948,RMUGS,HCC15,OV7,H1299,SNUC5,A673,NCIH508,TYKNU,CORL23,SNU1040,U266,NCIH2073,THP1,RMGI,SKMEL28,CL34,NPC.TAK,NPC.CAS9,HUVEC,NCIH596,SKM1,LOVO,MDST8,SKLU1,PHH,HEK293T,PL21,CD34,T3M10,NOMO1,SKMEL1,SKL,ASC.C,SKL.C,HEC108,JHUEM2,U937,COV644,HL60,HT115,JURKAT,EFO27,SNUC4,NCIH1836,HUES3,SW480,NCIH1694,MNEU.E,RKO,DV90,NKDBA,HS27A
Tetrahydrobiopterin,0,2,0,Nitric oxide stimulant|Nitric oxide synthase stimulant|Phenylalanine 4-hydroxylase stimulant,NA,NA,NA,NA,-0.43281601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9057743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pictilisib,4,10,0.4,PI3K inhibitor,NA,NA,NA,-0.50429077,-0.54942084,-0.436955,NA,-0.41609048,NA,NA,NA,-0.47854239,0.32408931,-0.86615439,-0.42420686,-0.3226998,0.36750379,0.33515019,NA,NA,NA,-0.49060039,-0.42179201,0.40480261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glimepiride,2,3,0.66666667,Insulin secretagogue,NA,0.45641563,-0.60204993,-0.38734413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4673502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.85419583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linsitinib,2,9,0.22222222,IGF-1 inhibitor,NA,NA,-0.84978352,-0.49052334,-0.54597909,0.40452325,NA,-0.48839351,NA,NA,NA,-0.39838538,NA,0.41602869,-0.71460633,-0.56141506,-0.54241259,NA,NA,NA,NA,-0.49379564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamatinib,2,16,0.125,SYK inhibitor,0.38009252,-0.3835954,-0.59105145,NA,0.5367284,-0.40502271,NA,-0.47821655,NA,NA,NA,-0.45159024,NA,-0.40216138,-0.38328289,NA,-0.46303319,NA,-0.84963576,NA,NA,-0.38883136,-0.33422458,NA,NA,-0.47918102,NA,-0.32808799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.49395385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.50615045,NA,NA,NA,NA,-0.34063305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sunitinib,4,5,0.8,Macrophage colony stimulating factor  receptor  inhibitor|Platelet-derived growth factor receptor inhibitor|Stem cell growth factor receptor inhibitor|Tyrosine-protein kinase receptor FLT3 inhibitor|Tyrosine-protein kinase receptor RET inhibitor|Vascular endothelial growth factor receptor inhibitor,NA,-0.51994503,NA,NA,0.46379314,0.35568104,0.62753153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.66606341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8274512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36570179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38851369,NA,NA,-0.38623785,NA,NA,NA,NA
Sirolimus,11,20,0.55,MTOR inhibitor,NA,-0.38250719,NA,-0.81727694,-0.54369,0.50668048,NA,-0.52716089,-0.44173489,NA,NA,-0.36501863,NA,0.54113596,-0.55955861,-0.6112514,0.46556278,NA,0.36813735,NA,0.46069246,0.43769126,NA,NA,-0.44554142,-0.36368937,NA,NA,NA,-0.33287965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36987519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4311366,0.4309118,NA,NA,NA,NA,NA,NA,NA,-0.46530418,NA,-0.35462405,0.34810055,NA,-0.44370825,NA,NA,NA,-0.43175468,NA,NA
Sirolimus,11,20,0.55,FK506-binding protein 1A inhibitor,NA,NA,0.52661616,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47498778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39312416,-0.41713792,NA,NA,NA,NA,NA,NA,NA,NA,-0.52009369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.47565505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanoxerine,2,4,0.5,Dopamine uptake inhibitor,-0.55126064,0.35586325,-0.37387669,NA,0.39267919,-0.39624275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.80576259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruxolitinib,2,10,0.2,JAK inhibitor,NA,0.38059972,-0.47797722,-0.55608866,NA,-0.51195175,NA,NA,-0.60771963,NA,NA,-0.34604315,NA,NA,-0.39529166,-0.48674871,-0.80111374,NA,NA,NA,0.51175381,-0.51419348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
