compound,HELA,HT29,A375,PC3,VCAP,HA1E,MCF7,NPC,A549,HUH7,FIBRNPC,SKBR3,HEPG2,MDAMB231,BT20,HCC515,MCF10A,HS578T,HME1,YAPC,SW620,AGS,SNGM,SKB,HCC15,A673,THP1,NCIH508,SKLU1,U266,NCIH2073,NCIH596,TYKNU,SKMEL28,LNCAP,RKO,SKM1,MDST8,NEU,HCT116,PHH,HEK293T,LOVO,NOMO1,T3M10,SKMEL1,ASC,PL21,SKL,ASC.C,SKL.C,HEC108,CORL23,DV90,H1299,JHUEM2,COV644,SNU1040,HL60,CD34,HT115,JURKAT,CL34,EFO27,U937,SNUC4,WSUDLCL2,NPC.CAS9,NPC.TAK,HUVEC,NCIH1694,MNEU.E,RMGI,HUES3,SW948,SW480,NKDBA,OV7,RMUGS,NCIH1836,SNUC5,HS27A
Bifemelane,-0.31473056,NA,NA,NA,-0.68917421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tozasertib,NA,-0.45836365,-0.47517668,-0.67855881,NA,-0.3903358,-0.46391884,NA,-0.42286924,NA,NA,NA,-0.33186233,-0.48354984,-0.42335561,-0.34809143,-0.42068222,-0.42037759,NA,NA,NA,NA,NA,NA,-0.46963791,-0.33926694,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.50153302,NA,NA,NA,-0.37274106,NA,NA,NA,NA,NA,NA,-0.62334841,NA,NA,NA,NA,-0.42765599,-0.43615093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enzastaurin,-0.39650348,-0.48421068,NA,-0.67530078,-0.48840372,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37159336,-0.37307679,-0.44184182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sulpiride,-0.3544231,NA,-0.44085204,NA,NA,NA,-0.65057656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dabrafenib,NA,NA,-0.64784886,-0.45613351,NA,NA,NA,-0.41042039,NA,NA,NA,NA,-0.41869449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.50608958,NA,NA,NA,NA,NA,NA,NA,NA,-0.4127708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.32645971,-0.410299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamatinib,NA,-0.31873427,-0.43520769,-0.64159141,NA,-0.34115148,NA,NA,NA,NA,NA,NA,NA,-0.4337302,-0.31234907,-0.38873743,-0.60632026000000006,NA,-0.40835974,NA,NA,NA,NA,NA,-0.30599946,NA,NA,NA,-0.4417248,NA,-0.44441311,NA,NA,NA,-0.48452679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.31878239,NA,NA,-0.42885432,NA,NA,-0.35878241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acipimox,-0.36803726,-0.63713939,-0.37316126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38117935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saracatinib,-0.51099126,-0.47777167,-0.41554115,-0.63390317,-0.32388032,NA,NA,NA,NA,NA,NA,-0.46052308,NA,-0.48341266,-0.47170289,-0.32938234,-0.46631063,NA,-0.33604161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.40153242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vemurafenib,NA,NA,-0.63196695,NA,NA,-0.58736967,-0.39932971,NA,NA,NA,NA,-0.35135414,NA,-0.40693523,-0.36489483,NA,-0.52506261,NA,NA,NA,-0.37941922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42045062,NA,NA,NA,NA,NA,NA,-0.405489,NA,NA,-0.45126977,NA,NA,-0.44878097,NA,NA,NA
Dasatinib,NA,-0.4483088,-0.52860109,-0.62984153,NA,-0.44036289,-0.41141001,NA,-0.41387218,NA,NA,-0.39516835,-0.43371831,-0.42290899,-0.43148112,NA,-0.53520953,-0.46986195,-0.33435412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38040113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39783404,NA,-0.3126954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.46702823,NA,NA,NA,NA,NA,-0.30499061,-0.30788776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
