region,cellline,time,concentration,n
AI,A375,24h,0.04uM,31
AI,A375,24h,0.12uM,30
AI,A375,24h,0.37uM,35
AI,A375,24h,0.41uM,1
AI,A375,24h,0.5uM,1
AI,A375,24h,1.11uM,35
AI,A375,24h,10uM,107
AI,A375,24h,3.33uM,41
AI,A375,24h,30uM,1
AI,A375,24h,33.33uM,1
AI,A375,24h,3uM,1
AI,A375,24h,40uM,1
AI,A375,24h,5uM,1
AI,A375,24h,80uM,1
AI,A375,6h,0.1uM,4
AI,A375,6h,0.5uM,4
AI,A375,6h,100uM,1
AI,A375,6h,10uM,103
AI,A375,6h,3uM,4
AI,A375,6h,40uM,2
AI,A375,6h,5uM,1
AI,A375,6h,80uM,1
AI,A549,24h,0.001uM,4
AI,A549,24h,0.01uM,1
AI,A549,24h,0.04uM,4
AI,A549,24h,0.12uM,6
AI,A549,24h,0.1uM,4
AI,A549,24h,0.37uM,7
AI,A549,24h,0.5uM,8
AI,A549,24h,1.11uM,7
AI,A549,24h,10uM,169
AI,A549,24h,1uM,4
AI,A549,24h,3.33uM,9
AI,A549,24h,30uM,1
AI,A549,24h,3uM,2
AI,A549,24h,80uM,1
AI,A549,6h,0.001uM,6
AI,A549,6h,0.01uM,12
AI,A549,6h,0.1uM,5
AI,A549,6h,0.5uM,11
AI,A549,6h,10uM,72
AI,A549,6h,1uM,6
AI,A549,6h,3uM,1
AI,A549,6h,80uM,1
AI,A673,6h,100uM,2
AI,A673,6h,10uM,11
AI,A673,6h,40uM,3
AI,A673,6h,80uM,2
AI,AGS,6h,0.1uM,1
AI,AGS,6h,100uM,1
AI,AGS,6h,10uM,9
AI,AGS,6h,1uM,2
AI,AGS,6h,40uM,1
AI,AGS,6h,80uM,1
AI,ASC,24h,0.04uM,8
AI,ASC,24h,0.12uM,4
AI,ASC,24h,0.37uM,4
AI,ASC,24h,1.11uM,3
AI,ASC,24h,10uM,41
AI,ASC,24h,3.33uM,4
AI,ASC.C,24h,0.04uM,6
AI,ASC.C,24h,0.12uM,2
AI,ASC.C,24h,0.37uM,4
AI,ASC.C,24h,1.11uM,2
AI,ASC.C,24h,10uM,5
AI,ASC.C,24h,3.33uM,2
AI,BT20,24h,0.04uM,2
AI,BT20,24h,0.12uM,4
AI,BT20,24h,0.1uM,2
AI,BT20,24h,0.37uM,4
AI,BT20,24h,0.5uM,3
AI,BT20,24h,1.11uM,5
AI,BT20,24h,10uM,17
AI,BT20,24h,1uM,5
AI,BT20,24h,3.33uM,8
AI,BT20,3h,0.12uM,3
AI,BT20,3h,0.37uM,2
AI,BT20,3h,1.11uM,2
AI,BT20,3h,10uM,2
AI,BT20,3h,3.33uM,1
AI,BT20,6h,0.1uM,1
AI,BT20,6h,0.5uM,1
AI,BT20,6h,10uM,5
AI,CD34,24h,0.04uM,3
AI,CD34,24h,0.12uM,5
AI,CD34,24h,0.37uM,2
AI,CD34,24h,1.11uM,2
AI,CD34,24h,10uM,5
AI,CD34,24h,3.33uM,4
AI,CD34,24h,3uM,1
AI,CL34,6h,0.5uM,1
AI,CL34,6h,10uM,6
AI,CL34,6h,3uM,1
AI,CL34,6h,40uM,1
AI,CL34,6h,80uM,1
AI,CORL23,6h,10uM,4
AI,CORL23,6h,1uM,1
AI,COV644,6h,10uM,5
AI,DV90,6h,100uM,1
AI,DV90,6h,10uM,4
AI,DV90,6h,80uM,1
AI,EFO27,6h,0.1uM,1
AI,EFO27,6h,0.5uM,1
AI,EFO27,6h,100uM,1
AI,EFO27,6h,10uM,6
AI,EFO27,6h,40uM,1
AI,EFO27,6h,80uM,1
AI,FIBRNPC,24h,10uM,12
AI,FIBRNPC,24h,1uM,1
AI,FIBRNPC,6h,10uM,10
AI,H1299,6h,100uM,1
AI,H1299,6h,10uM,6
AI,H1299,6h,30uM,1
AI,H1299,6h,40uM,1
AI,H1299,6h,80uM,1
AI,H1299,6h,90uM,1
AI,HA1E,24h,0.03uM,1
AI,HA1E,24h,0.04uM,40
AI,HA1E,24h,0.12uM,33
AI,HA1E,24h,0.1uM,1
AI,HA1E,24h,0.37uM,31
AI,HA1E,24h,0.5uM,1
AI,HA1E,24h,1.11uM,40
