signatureid,compound,cellline,similarity,region,comparison
LINCSCP_50969,Dorsomorphin,RMGI,-0.80545069,NAC,05p_overall
LINCSCP_12962,Dorsomorphin,EFO27,-0.78627598,NAC,05p_overall
LINCSCP_12971,Pevonedistat,EFO27,-0.74512604,NAC,05p_overall
LINCSCP_16580,Thiostrepton,HA1E,-0.69011165,NAC,05p_overall
LINCSCP_51158,Dorsomorphin,RMUGS,-0.68422154,NAC,05p_overall
LINCSCP_14903,Rhamnetin,HA1E,-0.66456013,NAC,05p_overall
LINCSCP_16743,Linifanib,HA1E,-0.6519659,NAC,05p_overall
LINCSCP_66748,Vorinostat,EFO27,-0.63485506,NAC,05p_overall
LINCSCP_102002,Sotalol,HELA,-0.63155791,NAC,05p_overall
LINCSCP_12907,Chaetocin,EFO27,-0.62918424,NAC,05p_overall
LINCSCP_14212,Aminopurvalanol,HA1E,-0.62317071,NAC,05p_overall
LINCSCP_21405,Vorinostat,HEC108,-0.61762535,NAC,05p_overall
LINCSCP_51048,Quinacrine,RMUGS,-0.61743925,NAC,05p_overall
LINCSCP_16200,Topotecan,HA1E,-0.61025313,NAC,05p_overall
LINCSCP_66838,Wortmannin,HA1E,-0.60477978,NAC,05p_overall
LINCSCP_104133,Rifabutin,HELA,-0.58849261,NAC,05p_overall
LINCSCP_169317,Felodipine,YAPC,-0.58308216,NAC,05p_overall
LINCSCP_17303,Panobinostat,HA1E,-0.58207516,NAC,05p_overall
LINCSCP_66869,"Trichostatin A, Streptomyces Sp.",HA1E,-0.57962231,NAC,05p_overall
LINCSCP_263806,Rifampicin,NPC,-0.57905817,NAC,05p_overall
LINCSCP_75412,Vinburnine,A375,-0.57847617,NAC,05p_overall
LINCSCP_212586,Vorinostat,HA1E,-0.57357907,NAC,05p_overall
LINCSCP_15492,Quinacrine,HA1E,-0.56883624,NAC,05p_overall
LINCSCP_16528,Trichostatin,HA1E,-0.568291,NAC,05p_overall
LINCSCP_119762,Cnqx,HT29,-0.56810804,NAC,05p_overall
LINCSCP_16194,Triptolide,HA1E,-0.56664757,NAC,05p_overall
LINCSCP_128074,Ipatasertib,HUES3,-0.56268761,NAC,05p_overall
LINCSCP_14928,Dorsomorphin,HA1E,-0.55104459,NAC,05p_overall
LINCSCP_15136,Purvalanola,HA1E,-0.55017355,NAC,05p_overall
LINCSCP_51883,JNK-IN-2,SKBR3,-0.548119,NAC,05p_overall
LINCSCP_66747,"Trichostatin A, Streptomyces Sp.",EFO27,-0.54795757,NAC,05p_overall
LINCSCP_53529,Quinacrine,SNGM,-0.54617026,NAC,05p_overall
LINCSCP_68223,Vorinostat,SKLU1,-0.54519505,NAC,05p_overall
LINCSCP_174463,Duloxetine,YAPC,-0.54518274,NAC,05p_overall
LINCSCP_66961,"Trichostatin A, Streptomyces Sp.",HEC108,-0.54486321,NAC,05p_overall
LINCSCP_76871,Ethacrynic acid,A375,-0.53497602,NAC,05p_overall
LINCSCP_16722,Elliptecine,HA1E,-0.53162388,NAC,05p_overall
LINCSCP_53595,Pevonedistat,SNGM,-0.530736,NAC,05p_overall
LINCSCP_50910,Chaetocin,RMGI,-0.52580282,NAC,05p_overall
LINCSCP_88820,Pracinostat,HA1E,-0.5246077,NAC,05p_overall
LINCSCP_50946,Piplartine,RMGI,-0.523734,NAC,05p_overall
LINCSCP_17494,Apatinib Hydrochloride,HA1E,-0.52157881,NAC,05p_overall
LINCSCP_17368,Sirolimus,HA1E,-0.52043635,NAC,05p_overall
LINCSCP_39181,Lapatinib,MDAMB231,-0.51959952,NAC,05p_overall
LINCSCP_49875,Trichostatin,PHH,-0.51909653,NAC,05p_overall
LINCSCP_243540,Dyclonine,MCF7,-0.51843728,NAC,05p_overall
LINCSCP_51026,Pifithrin MU,RMGI,-0.51796036,NAC,05p_overall
LINCSCP_102969,Cnqx,HELA,-0.51604455,NAC,05p_overall
LINCSCP_82588,Dabrafenib,A549,-0.5152107,NAC,05p_overall
