region,cellline,time,concentration,n
AI,A375,24h,0.04uM,1
AI,A375,24h,10uM,1
AI,A375,6h,0.5uM,1
AI,A375,6h,10uM,2
AI,A375,6h,80uM,1
AI,A549,6h,0.5uM,1
AI,A549,6h,10uM,2
AI,A549,6h,1uM,2
AI,A549,6h,3uM,1
AI,A549,6h,80uM,1
AI,ASC,24h,10uM,1
AI,BT20,6h,10uM,1
AI,EFO27,6h,10uM,1
AI,FIBRNPC,6h,10uM,1
AI,HA1E,24h,0.04uM,2
AI,HA1E,24h,0.12uM,3
AI,HA1E,24h,10uM,6
AI,HA1E,24h,3.33uM,1
AI,HA1E,6h,10uM,1
AI,HCC515,24h,10uM,1
AI,HCC515,6h,10uM,4
AI,HCC515,6h,1uM,1
AI,HCC515,6h,80uM,1
AI,HELA,24h,0.04uM,1
AI,HELA,24h,0.12uM,1
AI,HELA,24h,10uM,2
AI,HME1,24h,0.04uM,1
AI,HME1,3h,0.04uM,1
AI,HME1,3h,0.12uM,1
AI,HME1,3h,0.37uM,1
AI,HME1,3h,1.11uM,1
AI,HME1,3h,10uM,2
AI,HME1,3h,3.33uM,2
AI,HS578T,24h,0.37uM,1
AI,HS578T,3h,0.12uM,1
AI,HS578T,3h,1.11uM,1
AI,HS578T,3h,10uM,1
AI,HS578T,3h,3.33uM,2
AI,HT29,24h,0.37uM,1
AI,HT29,24h,3.33uM,3
AI,MCF10A,24h,0.04uM,2
AI,MCF10A,3h,0.04uM,1
AI,MCF10A,3h,0.12uM,2
AI,MCF10A,3h,0.37uM,3
AI,MCF10A,3h,1.11uM,1
AI,MCF10A,3h,10uM,4
AI,MCF10A,3h,3.33uM,1
AI,MCF7,24h,0.04uM,1
AI,MCF7,24h,0.12uM,1
AI,MCF7,24h,10uM,1
AI,MCF7,24h,3.33uM,1
AI,MCF7,6h,0.1uM,1
AI,MCF7,6h,10uM,2
AI,MDAMB231,3h,0.12uM,2
AI,MDAMB231,3h,0.37uM,2
AI,MDAMB231,3h,1.11uM,2
AI,MDAMB231,3h,10uM,3
AI,MDAMB231,3h,3.33uM,5
AI,MDAMB231,6h,0.5uM,1
AI,MDAMB231,6h,10uM,1
AI,MDAMB231,6h,1uM,1
AI,NPC,24h,10uM,1
AI,PC3,24h,10uM,1
AI,PC3,24h,3.33uM,1
AI,SKBR3,24h,1.11uM,1
AI,SKBR3,24h,1uM,1
AI,YAPC,24h,0.04uM,1
AI,YAPC,24h,10uM,2
CG,HME1,24h,10uM,1
CG,HT29,24h,10uM,1
CG,HT29,24h,3.33uM,1
CG,MNEU.E,24h,0.04uM,1
CG,MNEU.E,24h,0.37uM,1
CG,NKDBA,24h,1uM,1
CG,SNUC4,6h,10uM,1
CG,YAPC,24h,10uM,1
DLPFC,A375,24h,0.12uM,1
DLPFC,A375,6h,0.5uM,1
DLPFC,A375,6h,10uM,4
DLPFC,A375,6h,80uM,1
DLPFC,A549,6h,0.5uM,1
DLPFC,A549,6h,10uM,2
DLPFC,A549,6h,1uM,1
DLPFC,A549,6h,3uM,1
DLPFC,A549,6h,80uM,1
DLPFC,A673,6h,10uM,1
DLPFC,A673,6h,80uM,1
DLPFC,AGS,6h,80uM,1
DLPFC,BT20,3h,10uM,1
DLPFC,BT20,3h,3.33uM,1
DLPFC,BT20,6h,10uM,1
DLPFC,EFO27,6h,10uM,1
DLPFC,HA1E,24h,0.04uM,2
DLPFC,HA1E,24h,10uM,1
DLPFC,HA1E,24h,3.33uM,1
DLPFC,HA1E,6h,10uM,1
DLPFC,HCC515,24h,10uM,1
DLPFC,HCC515,6h,10uM,8
DLPFC,HCC515,6h,80uM,1
DLPFC,HCT116,6h,80uM,1
DLPFC,HELA,24h,0.04uM,1
DLPFC,HELA,24h,0.37uM,1
DLPFC,HELA,24h,9.58uM,1
DLPFC,HME1,3h,0.12uM,1
DLPFC,HME1,3h,0.37uM,1
DLPFC,HME1,3h,1.11uM,1
DLPFC,HME1,3h,10uM,1
DLPFC,HS578T,24h,0.12uM,1
DLPFC,HS578T,3h,0.12uM,1
DLPFC,HT29,24h,0.04uM,1
DLPFC,HT29,24h,10uM,1
DLPFC,HT29,24h,3.33uM,1
DLPFC,HT29,6h,10uM,2
DLPFC,JHUEM2,6h,10uM,1
DLPFC,MCF10A,24h,0.04uM,1
DLPFC,MCF10A,3h,0.12uM,2
DLPFC,MCF10A,3h,0.37uM,2
DLPFC,MCF10A,3h,10uM,1
DLPFC,MCF10A,3h,3.33uM,2
DLPFC,MCF10A,6h,0.1uM,1
DLPFC,MCF10A,6h,0.5uM,2
DLPFC,MCF10A,6h,10uM,3
DLPFC,MCF10A,6h,1uM,1
DLPFC,MCF7,24h,0.04uM,2
DLPFC,MCF7,24h,0.12uM,2
DLPFC,MCF7,24h,1.11uM,4
DLPFC,MCF7,24h,10uM,3
DLPFC,MCF7,24h,3.33uM,1
DLPFC,MCF7,6h,10uM,6
DLPFC,MCF7,6h,1uM,1
DLPFC,MDAMB231,24h,0.1uM,1
DLPFC,MDAMB231,3h,0.04uM,1
DLPFC,MDAMB231,3h,0.12uM,1
DLPFC,MDAMB231,3h,0.37uM,1
DLPFC,MDAMB231,3h,1.11uM,1
DLPFC,MDAMB231,3h,10uM,3
DLPFC,MDAMB231,3h,3.33uM,5
DLPFC,MDAMB231,6h,0.5uM,1
DLPFC,MDAMB231,6h,10uM,2
DLPFC,MDAMB231,6h,1uM,1
DLPFC,MNEU.E,24h,10uM,2
DLPFC,NCIH2073,6h,80uM,1
DLPFC,NPC,24h,0.04uM,1
DLPFC,NPC,24h,0.12uM,1
DLPFC,NPC,24h,0.37uM,1
DLPFC,NPC,24h,10uM,2
DLPFC,PC3,24h,0.04uM,1
DLPFC,PC3,24h,0.12uM,1
DLPFC,PC3,24h,1.11uM,1
DLPFC,PC3,24h,10uM,2
DLPFC,PC3,24h,3.33uM,4
DLPFC,PC3,24h,40uM,1
DLPFC,PC3,6h,10uM,1
DLPFC,SKBR3,24h,10uM,1
DLPFC,SKMEL1,6h,80uM,1
DLPFC,SKMEL28,6h,80uM,1
DLPFC,SNGM,6h,80uM,1
DLPFC,SNU1040,6h,80uM,1
DLPFC,SNUC5,6h,80uM,1
DLPFC,U937,6h,80uM,1
DLPFC,VCAP,24h,10uM,2
DLPFC,YAPC,24h,1.11uM,1
DLPFC,YAPC,24h,10uM,1
DLPFC,YAPC,24h,3.33uM,1
NAC,ASC,24h,0.12uM,1
NAC,HA1E,24h,10uM,1
NAC,HELA,24h,0.37uM,2
NAC,HELA,24h,1.11uM,1
NAC,NCIH508,6h,10uM,1
NAC,VCAP,6h,10uM,1
OFC,A375,24h,10uM,1
OFC,A375,6h,0.1uM,1
OFC,A375,6h,0.5uM,1
OFC,A375,6h,10uM,4
OFC,A375,6h,80uM,1
OFC,A549,6h,0.5uM,1
OFC,A549,6h,10uM,3
OFC,A549,6h,1uM,1
OFC,A549,6h,3uM,1
OFC,A549,6h,80uM,1
OFC,AGS,6h,80uM,1
OFC,ASC,24h,10uM,3
OFC,EFO27,6h,10uM,1
OFC,HA1E,6h,10uM,2
OFC,HCC15,6h,80uM,1
OFC,HCC515,24h,10uM,3
OFC,HCC515,6h,10uM,9
OFC,HCC515,6h,80uM,1
OFC,HME1,3h,0.12uM,1
OFC,HME1,3h,0.37uM,1
OFC,HME1,3h,1.11uM,1
