compound,num_concordant,num_discordant,ratio,mechanism,HELA,HT29,A375,PC3,HA1E,MCF7,NPC,A549,VCAP,HUH7,FIBRNPC,SKBR3,HEPG2,MDAMB231,BT20,HCC515,MCF10A,NEU,HME1,SKB,ASC,HS578T,LNCAP,YAPC,SW620,AGS,SNGM,WSUDLCL2,HCT116,SW948,RMUGS,HCC15,OV7,H1299,SNUC5,A673,NCIH508,TYKNU,CORL23,SNU1040,U266,NCIH2073,THP1,RMGI,SKMEL28,CL34,NPC.TAK,NPC.CAS9,HUVEC,NCIH596,SKM1,LOVO,MDST8,SKLU1,PHH,HEK293T,PL21,CD34,T3M10,NOMO1,SKMEL1,SKL,ASC.C,SKL.C,HEC108,JHUEM2,U937,COV644,HL60,HT115,JURKAT,EFO27,SNUC4,NCIH1836,HUES3,SW480,NCIH1694,MNEU.E,RKO,DV90,NKDBA,HS27A
Linsitinib,2,9,0.22222222,IGF-1 inhibitor,NA,-0.58599815,-0.85179146,-0.66332603,NA,0.44688392,NA,-0.44781148,NA,NA,NA,0.41572145,NA,-0.50453107,-0.65272101,-0.66271976,-0.51798834,NA,NA,NA,NA,-0.46349012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetrahydrobiopterin,1,2,0.5,Nitric oxide stimulant|Nitric oxide synthase stimulant|Phenylalanine 4-hydroxylase stimulant,NA,NA,NA,0.41871672,-0.32642637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.80947714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pictilisib,5,8,0.625,PI3K inhibitor,NA,-0.38065934,0.45524383,0.47937412,-0.37404886,0.45517229,NA,-0.43119344,NA,NA,NA,-0.45690743,NA,-0.80372144,-0.38073575,NA,0.48616951,NA,NA,NA,0.43535419,-0.4476643,-0.47661336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glimepiride,2,3,0.66666667,Insulin secretagogue,NA,0.46319032,-0.42532867,NA,NA,0.4118809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.32293112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75834868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sunitinib,7,5,1.4,Macrophage colony stimulating factor  receptor  inhibitor|Platelet-derived growth factor receptor inhibitor|Stem cell growth factor receptor inhibitor|Tyrosine-protein kinase receptor FLT3 inhibitor|Tyrosine-protein kinase receptor RET inhibitor|Vascular endothelial growth factor receptor inhibitor,NA,0.48520711,NA,-0.48168705,NA,0.38893521,NA,NA,NA,NA,NA,NA,0.45217126,NA,NA,0.40060652,NA,0.4911119,-0.65944275,NA,0.48086835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74781714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33092393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36985893,NA,NA,0.37173459,NA,NA,NA,NA
Calcitriol,1,12,0.08333333,Vitamin D receptor agonist,NA,NA,NA,NA,NA,NA,NA,0.39039753,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33080058,NA,NA,NA,NA,NA,NA,NA,-0.37892957,NA,NA,NA,-0.47083441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4806754,NA,NA,NA,NA,-0.35749566,NA,NA,NA,NA,NA,NA,NA,NA,-0.74664196,NA,-0.62912993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calcitriol,1,12,0.08333333,NA,-0.37110492,NA,-0.44853922,-0.40107687,NA,-0.48198439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.50722413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isoniazid,0,3,0,Enoyl-(acyl-carrier protein) reductase Fabl inhibitor,-0.43801918,-0.46095491,NA,NA,-0.74053932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alisertib,0,6,0,Aurora kinase inhibitor,NA,-0.45350606,-0.36871101,-0.73860134,-0.40628754,-0.48349165,NA,-0.39561871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linifanib,10,8,1.25,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,NA,0.42640619,NA,-0.47019122,0.55865188,0.47492903,NA,-0.72944652,0.39977329,NA,NA,-0.53169988,0.54998917,-0.41549495,0.61183609,-0.43726442,-0.49188508,NA,-0.3894106,0.42297934,NA,-0.62033407,0.51663156,0.43910316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.50218068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydroflumethiazide,2,1,2,Sodium/potassium/chloride transporter inhibitor,-0.72800562,NA,NA,NA,0.34432314,0.39902442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
