compound,num_concordant,num_discordant,ratio,mechanism,RMGI,EFO27,RMUGS,HA1E,SNGM,HEPG2,NPC,SKB,VCAP,SKLU1,COV644,HEC108,MCF7,A375,HCC515,MDAMB231,LNCAP,BT20,MCF10A,HME1,ASC,SKBR3,HT29,PC3,HS578T,SW620,SW480,CORL23,OV7,THP1,A549,HCT116,LOVO,CD34,NOMO1,PHH,NPC.TAK,HUVEC,HEK293T,RKO,PL21,ASC.C,SKL,HELA,SW948,SNU1040,TYKNU,NCIH1694,AGS,HUH7,DV90,SKMEL1,U937,T3M10,YAPC,NCIH2073,MDST8,NKDBA,NEU,HL60,SNUC4,U266,HUES3,SKL.C,HCC15,A673,WSUDLCL2,SNUC5,SKMEL28,NCIH1836,NPC.CAS9,H1299,JHUEM2,FIBRNPC,NCIH508,NCIH596,SKM1,MNEU.E,JURKAT,HT115,CL34,HS27A
Fatostatin,3,2,1.5,SREBP inhibitor,NA,NA,NA,NA,0.37772776,NA,NA,NA,NA,NA,NA,NA,NA,0.39899429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3410924,NA,NA,NA,NA,0.33435958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.63139226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptozotocin,1,2,0.5,DNA alkylating agent,NA,NA,NA,0.33638151,NA,NA,NA,NA,-0.6277967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36730553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trichostatin A, Streptomyces Sp.",3,13,0.23076923,CDK expression enhancer|HDAC inhibitor|ID1 expression inhibitor,NA,NA,NA,-0.43488555,NA,-0.45690735,-0.44788368,NA,-0.64439426,NA,NA,NA,-0.54174156,NA,-0.61225752,NA,NA,NA,NA,NA,0.37778329,NA,0.55946532,-0.50236965,NA,NA,NA,NA,NA,NA,-0.44347008,NA,-0.42243511,NA,NA,-0.38513055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36370589,NA,NA,NA,-0.44904543,NA,-0.45480692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.40020211,NA,NA,NA,NA,NA,NA,NA,NA
Lomeguatrib,1,3,0.33333333,NA,NA,NA,NA,-0.41201093,NA,NA,NA,NA,NA,NA,NA,NA,0.39598646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34555266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.61001426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erastin,1,10,0.1,Ion channel antagonist,NA,NA,NA,NA,NA,-0.42474046,NA,NA,-0.429397,NA,NA,NA,NA,NA,-0.38136028,NA,NA,NA,NA,NA,NA,NA,-0.487551,-0.5736527,NA,NA,-0.60801955,NA,NA,-0.43344843,-0.38485898,NA,NA,NA,NA,NA,NA,NA,NA,0.32720452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.46802846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.338361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valpropylhydroxamic acid,1,1,1,HDAC inhibitor,NA,NA,NA,NA,NA,NA,-0.59339152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46171791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ozagrel,1,2,0.5,Thromboxane synthase inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,-0.40102698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.58524109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34056223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thalidomide,0,11,0,TNF production inhibitor,NA,NA,-0.43645369,NA,-0.37266587,NA,NA,NA,-0.42401139,-0.37149612,NA,NA,NA,NA,-0.58469008,NA,NA,NA,NA,NA,NA,NA,NA,-0.34367952,NA,-0.38190434,NA,NA,NA,NA,-0.44817698,-0.38473191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36996053,NA,NA,-0.42959742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEFIRACETAM,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5829549,0.37275566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38861833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bumetanide,4,1,4,Solute carrier family member inhibitor,NA,NA,NA,0.38382929,NA,NA,NA,NA,0.40544287,NA,NA,NA,0.37096519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.57934773,NA,NA,NA,NA,NA,NA,0.35865777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niacin,0,3,0,NAD precursor with lipid lowering effects|Vitamin B,NA,NA,NA,-0.49992617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5792948,NA,NA,NA,NA,NA,-0.3548504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vorinostat,8,17,0.47058824,Histone deacetylase 1 inhibitor|Histone deacetylase 3 inhibitor|Histone deacetylase 6 inhibitor|Histone deacetylase 2 inhibitor,NA,-0.4049308,NA,-0.43443615,NA,-0.44593407,-0.35970963,NA,-0.58647465,NA,NA,NA,-0.52180099,0.42329277,-0.57651519,NA,NA,NA,NA,-0.40919718,0.46571598,NA,0.52105136,0.47059358,NA,NA,NA,NA,NA,NA,0.50254984,NA,NA,-0.363613,-0.50594444,NA,-0.451451,-0.33706465,NA,NA,NA,-0.33113249,NA,NA,NA,NA,NA,NA,0.43251966,NA,NA,NA,NA,NA,NA,NA,-0.3222429,NA,-0.35237842,NA,NA,NA,NA,NA,NA,NA,-0.37451284,NA,NA,NA,-0.55555357,NA,NA,NA,NA,NA,NA,NA,0.53810854,NA,0.45951616,NA
"Triazine Scaffold, 30",1,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.57092452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36740246,NA,NA,NA,NA,NA,NA,-0.37504072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
