triple,mean_rank,AI,CG,DLPFC,NAC,OFC,SUB
HCC515-6h-10uM,34,1,100,1,100,1,1
A375-6h-10uM,34.166666666666664,1,100,1,100,1,2
A549-6h-10uM,34.166666666666664,1,100,1,100,1,2
MCF10A-3h-0.37uM,34.166666666666664,1,100,1,100,2,1
MDAMB231-3h-3.33uM,34.5,1,100,1,100,1,4
A375-6h-0.5uM,34.666666666666664,2,100,2,100,2,2
A375-6h-80uM,34.666666666666664,2,100,2,100,2,2
MCF10A-3h-0.12uM,34.666666666666664,2,100,1,100,1,4
MDAMB231-3h-0.37uM,35.166666666666664,2,100,4,100,4,1
HCC515-6h-80uM,35.333333333333336,3,100,3,100,3,3
PC3-24h-10uM,35.5,5,100,2,100,5,1
MCF7-24h-0.12uM,35.666666666666664,5,100,1,100,4,4
YAPC-24h-10uM,36.166666666666664,2,5,5,100,5,100
MDAMB231-3h-10uM,50.5,1,100,1,100,1,100
MCF7-6h-10uM,50.666666666666664,2,100,1,100,1,100
A375-24h-10uM,50.833333333333336,2,100,100,100,2,1
HME1-3h-10uM,50.833333333333336,1,100,3,100,1,100
A549-6h-0.5uM,51,2,100,2,100,2,100
A549-6h-1uM,51,1,100,2,100,3,100
HA1E-24h-10uM,51,1,100,3,2,100,100
MCF10A-3h-10uM,51,1,100,4,100,1,100
MCF10A-6h-0.5uM,51,100,100,1,100,4,1
MCF10A-6h-10uM,51,100,100,1,100,1,4
HA1E-6h-10uM,51.166666666666664,3,100,3,100,1,100
HCC515-24h-10uM,51.166666666666664,3,100,3,100,1,100
HT29-24h-3.33uM,51.166666666666664,1,2,4,100,100,100
MCF10A-3h-3.33uM,51.166666666666664,4,100,1,100,2,100
PC3-24h-3.33uM,51.166666666666664,5,100,1,100,100,1
A549-6h-3uM,51.333333333333336,3,100,2,100,3,100
A549-6h-80uM,51.333333333333336,3,100,2,100,3,100
MDAMB231-3h-1.11uM,51.333333333333336,2,100,4,100,2,100
MDAMB231-6h-10uM,51.333333333333336,5,100,2,100,1,100
PC3-6h-10uM,51.333333333333336,100,100,5,100,2,1
EFO27-6h-10uM,51.5,3,100,3,100,3,100
MCF10A-24h-0.04uM,51.5,2,100,4,100,100,3
MCF7-24h-0.04uM,51.5,4,100,1,100,4,100
NPC-24h-10uM,51.5,5,100,2,100,2,100
HME1-3h-0.12uM,51.666666666666664,4,100,3,100,3,100
HME1-3h-0.37uM,51.666666666666664,4,100,3,100,3,100
HME1-3h-1.11uM,51.666666666666664,4,100,3,100,3,100
HS578T-3h-0.12uM,51.666666666666664,4,100,3,100,3,100
MDAMB231-3h-0.12uM,51.666666666666664,2,100,4,100,4,100
MCF10A-6h-1uM,51.666666666666664,100,100,4,100,2,4
MDAMB231-6h-1uM,51.833333333333336,5,100,4,100,2,100
MCF10A-6h-0.1uM,52,100,100,4,100,4,4
MDAMB231-3h-0.04uM,52,100,100,4,100,4,4
MDAMB231-6h-0.5uM,52.166666666666664,5,100,4,100,4,100
SNUC5-6h-80uM,52.5,100,100,5,100,5,5
HA1E-24h-0.04uM,67,1,100,1,100,100,100
HELA-24h-10uM,67,1,100,100,100,100,1
A673-6h-10uM,67.16666666666667,100,100,2,100,100,1
A375-24h-0.04uM,67.33333333333333,2,100,100,100,100,2
ASC-24h-10uM,67.33333333333333,3,100,100,100,1,100
HT29-24h-10uM,67.33333333333333,100,1,3,100,100,100
HELA-24h-0.37uM,67.33333333333333,100,100,3,1,100,100
HT29-6h-10uM,67.33333333333333,100,100,1,100,100,3
MNEU.E-24h-10uM,67.33333333333333,100,100,2,100,2,100
BT20-6h-10uM,67.5,3,100,2,100,100,100
HME1-3h-3.33uM,67.5,2,100,100,100,3,100
HS578T-3h-3.33uM,67.5,2,100,100,100,100,3
AGS-6h-80uM,67.5,100,100,2,100,3,100
HA1E-24h-3.33uM,67.66666666666667,3,100,3,100,100,100
HELA-24h-0.04uM,67.66666666666667,3,100,3,100,100,100
MCF7-24h-10uM,67.66666666666667,5,100,1,100,100,100
HS578T-3h-1.11uM,67.83333333333333,4,100,100,100,100,3
JHUEM2-6h-10uM,67.83333333333333,100,100,4,100,3,100
YAPC-24h-3.33uM,67.83333333333333,100,100,5,100,100,2
MCF10A-3h-0.04uM,68,4,100,100,100,100,4
MCF10A-3h-1.11uM,68,4,100,100,100,100,4
MDAMB231-24h-0.1uM,68,100,100,4,100,4,100
NCIH2073-6h-80uM,68,100,100,4,100,4,100
MCF7-24h-3.33uM,68.16666666666667,5,100,4,100,100,100
NPC-24h-0.12uM,68.16666666666667,100,100,5,100,4,100
PC3-24h-0.04uM,68.33333333333333,100,100,5,100,5,100
SKBR3-24h-10uM,68.33333333333333,100,100,5,100,5,100
SKMEL1-6h-80uM,68.33333333333333,100,100,5,100,5,100
SKMEL28-6h-80uM,68.33333333333333,100,100,5,100,5,100
SNGM-6h-80uM,68.33333333333333,100,100,5,100,5,100
