compound,num_concordant,num_discordant,ratio,mechanism,RMGI,EFO27,RMUGS,HA1E,SNGM,HEPG2,NPC,SKB,VCAP,SKLU1,COV644,HEC108,MCF7,A375,HCC515,MDAMB231,LNCAP,BT20,MCF10A,HME1,ASC,SKBR3,HT29,PC3,HS578T,SW620,SW480,CORL23,OV7,THP1,A549,HCT116,LOVO,CD34,NOMO1,PHH,NPC.TAK,HUVEC,HEK293T,RKO,PL21,ASC.C,SKL,HELA,SW948,SNU1040,TYKNU,NCIH1694,AGS,HUH7,DV90,SKMEL1,U937,T3M10,YAPC,NCIH2073,MDST8,NKDBA,NEU,HL60,SNUC4,U266,HUES3,SKL.C,HCC15,A673,WSUDLCL2,SNUC5,SKMEL28,NCIH1836,NPC.CAS9,H1299,JHUEM2,FIBRNPC,NCIH508,NCIH596,SKM1,MNEU.E,JURKAT,HT115,CL34,HS27A
Dorsomorphin,3,6,0.5,AMPK inhibitor,-0.80545069,-0.78627598,-0.68422154,-0.55104459,-0.41514731,-0.41380489,0.45600341,0.54126668,0.50626094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pevonedistat,3,4,0.75,Nedd activating enzyme inhibitor,NA,-0.74512604,NA,-0.37891782,-0.530736,NA,NA,NA,NA,-0.35921382,0.6901428,0.61848124,0.45632269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thiostrepton,2,2,1,FOXM1 inhibitor|Protein synthesis inhibitor,NA,NA,NA,-0.69011165,NA,-0.35269821,NA,NA,NA,NA,NA,NA,0.59268332,0.40901224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhamnetin,2,1,2,Aldose reductase inhibitor,NA,NA,NA,-0.66456013,NA,NA,NA,NA,NA,NA,NA,NA,0.42207562,NA,0.41365193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linifanib,9,4,2.25,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,NA,NA,NA,-0.6519659,NA,-0.36400523,NA,NA,-0.40565023,NA,NA,NA,NA,NA,NA,-0.35101813,0.55100551,0.52811576,0.43724261,0.51249223,0.48421336,0.48283131,0.42179255,0.41011459,0.40475891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vorinostat,24,12,2,Histone deacetylase 1 inhibitor|Histone deacetylase 3 inhibitor|Histone deacetylase 6 inhibitor|Histone deacetylase 2 inhibitor,-0.51408393,-0.63485506,-0.41686877,-0.57357907,-0.40000157,0.48426553,0.53333602,0.41322557,-0.47078022,-0.54519505,NA,-0.61762535,0.66277259,0.5307884,0.46549884,NA,NA,NA,NA,0.41798883,0.42405033,NA,0.5346164,0.59377558,NA,-0.39051208,-0.38880911,-0.36855768,-0.32331251,0.60679275,0.58373062,0.57999782,0.49894943,0.49519328,0.49177157,0.48117577,0.47644267,0.45426822,0.44651495,0.44431516,0.40763622,0.39610138,0.39495423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sotalol,1,2,0.5,Adrenergic receptor antagonist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60159252,NA,NA,NA,NA,NA,NA,-0.33703209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.63155791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetocin,2,12,0.16666667,Histone lysine methyltransferase inhibitor,-0.52580282,-0.62918424,-0.39822317,-0.57852236,NA,NA,NA,NA,NA,NA,NA,NA,-0.43315701,-0.49320199,-0.49146114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.60205317,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62360552,NA,NA,NA,-0.55776694,-0.43912144,-0.42733398,-0.41836445,0.49410758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aminopurvalanol,1,2,0.5,CDK inhibitor|Tyrosine kinase inhibitor,NA,NA,NA,-0.62317071,NA,NA,NA,NA,-0.52686225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4671776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quinacrine,4,12,0.33333333,Cytokine production inhibitor|NFkB pathway inhibitor|TP53 activator,NA,NA,-0.61743925,-0.56883624,-0.54617026,NA,NA,NA,-0.39848051,NA,NA,-0.44407493,0.5410557,0.39265713,0.43777888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51011881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3442836,-0.64655097,-0.63955259,-0.513264,-0.49650803,-0.43677545,-0.42110936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Topotecan,2,1,2,Topoisomerase inhibitor,NA,NA,NA,-0.61025313,NA,NA,NA,NA,NA,NA,NA,NA,0.41525402,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45275381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wortmannin,13,10,1.3,PI3K inhibitor,NA,NA,NA,-0.60477978,NA,-0.52979805,-0.50061083,0.51566512,-0.62596887,NA,NA,NA,0.61793846,-0.56257655,0.55294904,NA,NA,NA,NA,NA,0.47858744,NA,0.45664818,-0.64958664,NA,0.42140117,NA,-0.60966032,NA,NA,0.60189847,NA,NA,0.41844167,NA,0.4520361,NA,NA,NA,0.43172585,0.64939012,NA,NA,NA,-0.44532228,NA,NA,NA,NA,NA,NA,NA,0.4202312,NA,NA,NA,NA,-0.5325345,-0.45768443,0.5091923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rifabutin,3,2,1.5,Protein synthesis inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,-0.42198201,NA,NA,NA,0.34351164,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43550894,0.64465296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.58849261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Felodipine,5,2,2.5,Mineralocorticoid receptor antagonist|Voltage-gated L-type calcium channel blocker,NA,NA,NA,0.50656816,NA,NA,NA,NA,0.5404871,NA,NA,NA,0.68690293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.51624014,NA,NA,NA,NA,NA,NA,0.3999316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41168953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.58308216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
