source,signatureid,compound,concentration,time,cellline,similarity,pValue,gene_direction,region,comparison,triple
entire_overall,LINCSCP_19527,O-Demethylated Adapalene,10uM,6h,HCC515,-0.42808561,0,none,AI,entire_overall,HCC515-6h-10uM
entire_overall,LINCSCP_14551,Penfluridol,10uM,6h,HA1E,-0.42719946,0,none,AI,entire_overall,HA1E-6h-10uM
entire_overall,LINCSCP_17018,Iodoacetic acid,10uM,6h,HA1E,-0.41788403,0,none,AI,entire_overall,HA1E-6h-10uM
entire_overall,LINCSCP_6564,Calmidazolium,10uM,6h,A549,-0.41639807,0,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_1861,Cladribine,10uM,6h,A375,-0.41354838,0,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_6544,Calmidazolium,10uM,6h,A549,-0.41100584,0,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_168589,Camostat Mesilate,10uM,24h,YAPC,-0.38210473,0,none,AI,entire_overall,YAPC-24h-10uM
entire_overall,LINCSCP_2144,Sepantronium,10uM,6h,A375,-0.37449482,0,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_7704,Niclosamide,10uM,6h,A549,-0.37390844,0,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_46468,Floxuridine,10uM,24h,PC3,-0.37290104,0,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_8053,Heliomycin,10uM,6h,A549,-0.3703457,0,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_154350,Colforsin,10uM,24h,PC3,-0.36659834,0,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_4866,pyrvinium-pamoate,10uM,6h,A549,-0.35070038,0,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_168469,Ornidazole,10uM,24h,YAPC,-0.34850306,0,none,AI,entire_overall,YAPC-24h-10uM
entire_overall,LINCSCP_47352,Cladribine,10uM,24h,PC3,-0.34834579,0,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_6681,Nilotinib,10uM,6h,A549,-0.34758607,0,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_46091,Etoposide,10uM,24h,PC3,-0.3474599,0,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_46689,Withaferin-A,10uM,24h,PC3,-0.34634038,0,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_3124,Cladribine,10uM,6h,A375,-0.34453701,0,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_7723,Bufalin,10uM,6h,A549,-0.34040138,0,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_7737,Strophanthidin,10uM,6h,A549,-0.33932736,0,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_154351,Colforsin,3.33uM,24h,PC3,-0.33921306,0,none,AI,entire_overall,PC3-24h-3.33uM
entire_overall,LINCSCP_269273,Raltitrexed,10uM,24h,PC3,-0.33632673,0,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_6937,Proscillaridin A,10uM,6h,A549,-0.33405555,0,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_7642,Cymarin,10uM,6h,A549,-0.33174191,0,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_34704,Diloxanide Furoate,10uM,6h,MCF7,-0.32993927,0,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_457,Cercosporin,10uM,6h,A375,-0.32544456,0,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_152287,Chelerythrine,10uM,24h,PC3,-0.32089175,0,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_954,O-Demethylated Adapalene,10uM,6h,A375,-0.32021948,0,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_2510,Terfenadine,10uM,6h,A375,-0.31941839,0,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_45970,Cladribine,10uM,24h,PC3,-0.3161278,0,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_8009,Lanacordin,10uM,6h,A549,-0.31430766,0,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_47613,Irinotecan,10uM,24h,PC3,-0.31110777,0,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_153996,Fluorouracil,10uM,24h,PC3,-0.30459916,1e-20,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_47607,Betaescin,10uM,24h,PC3,-0.30416318,1e-20,none,AI,entire_overall,PC3-24h-10uM
entire_overall,LINCSCP_15580,O-Demethylated Adapalene,10uM,6h,HA1E,-0.30305701,1e-20,none,AI,entire_overall,HA1E-6h-10uM
entire_overall,LINCSCP_34571,Haloprogin,10uM,6h,MCF7,-0.30025041,3e-20,none,AI,entire_overall,MCF7-6h-10uM
entire_overall,LINCSCP_174557,Floxuridine,10uM,24h,YAPC,-0.30008265,3e-20,none,AI,entire_overall,YAPC-24h-10uM
entire_overall,LINCSCP_2745,Anisomycin,10uM,6h,A375,-0.29962037,4e-20,none,AI,entire_overall,A375-6h-10uM
entire_overall,LINCSCP_15535,Narciclasine,10uM,6h,HA1E,-0.29949464,4e-20,none,AI,entire_overall,HA1E-6h-10uM
entire_overall,LINCSCP_7995,Prostratin,10uM,6h,A549,-0.29889432,5e-20,none,AI,entire_overall,A549-6h-10uM
entire_overall,LINCSCP_2689,Irinotecan,10uM,6h,A375,-0.29888977,5e-20,none,AI,entire_overall,A375-6h-10uM
