compound,HELA,HT29,A375,PC3,VCAP,HA1E,MCF7,NPC,A549,HUH7,FIBRNPC,SKBR3,HEPG2,MDAMB231,BT20,HCC515,MCF10A,HS578T,HME1,YAPC,SW620,AGS,SNGM,SKB,HCC15,A673,THP1,NCIH508,SKLU1,U266,NCIH2073,NCIH596,TYKNU,SKMEL28,LNCAP,RKO,SKM1,MDST8,NEU,HCT116,PHH,HEK293T,LOVO,NOMO1,T3M10,SKMEL1,ASC,PL21,SKL,ASC.C,SKL.C,HEC108,CORL23,DV90,H1299,JHUEM2,COV644,SNU1040,HL60,CD34,HT115,JURKAT,CL34,EFO27,U937,SNUC4,WSUDLCL2,NPC.CAS9,NPC.TAK,HUVEC,NCIH1694,MNEU.E,RMGI,HUES3,SW948,SW480,NKDBA,OV7,RMUGS,NCIH1836,SNUC5,HS27A
Selumetinib,-0.40973514,NA,-0.59682543,NA,NA,-0.58134689,-0.52946729,NA,-0.66728746,NA,NA,-0.70726166,NA,-0.6580553,-0.57415501,-0.61723035,-0.66808294,NA,-0.48521006,-0.54522401,NA,-0.72097632,NA,NA,-0.69975829,-0.50014477,NA,NA,NA,NA,-0.64516759,-0.7734302,NA,-0.42934267,NA,NA,NA,-0.39827745,NA,NA,NA,NA,NA,NA,NA,-0.64889275,NA,NA,NA,NA,NA,NA,NA,-0.74226414,NA,NA,NA,-0.68633927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41166874,NA,NA,-0.64545895,NA,NA,-0.62915458,NA
Trametinib,NA,NA,-0.44364059,-0.43794,NA,NA,-0.59981496,NA,-0.42386513,NA,NA,-0.46937292,NA,-0.7135806,-0.65231343,-0.5805646,-0.76507096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Troglitazone,NA,-0.4444756,-0.39587672,-0.75344068,-0.39959672,-0.41356591,-0.39882525,-0.41255669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36930358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.59646897,NA,NA,NA,NA,NA,NA,-0.47855702,NA,NA,NA,NA
Vorinostat,NA,NA,-0.54080293,-0.54829895,-0.41619073,-0.48454387,-0.49282349,NA,-0.54565234,-0.37189959,NA,NA,-0.51071596,NA,NA,-0.67231412,NA,NA,-0.4324408,NA,NA,-0.53061844,NA,-0.38720249,-0.50697603,NA,NA,NA,-0.3819397,NA,-0.58216234,-0.5187893,NA,NA,NA,NA,-0.53318993,NA,-0.51819103,NA,NA,-0.42500685,-0.42221147,NA,NA,NA,-0.36450797,NA,NA,-0.46396682,-0.48840715,NA,-0.68786762,NA,NA,NA,-0.37415812,-0.74012421,NA,NA,NA,NA,-0.50516635,-0.55182833,-0.37665103,NA,NA,NA,NA,NA,NA,-0.37558325,-0.47890273,NA,NA,NA,-0.38789847,-0.5552358,NA,NA,-0.51655641,NA
Linifanib,NA,NA,-0.50194404,-0.62459481,-0.40620612,NA,NA,NA,-0.48733672,NA,NA,-0.39571208,NA,-0.73356672,-0.41515727,-0.49102198,NA,NA,-0.43522327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.40850531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitoxantrone,NA,-0.51037463,-0.5727196,-0.73351582,NA,-0.41917044,-0.53050351,NA,-0.61149375,NA,NA,-0.47834411,-0.50834217,-0.60423222,NA,-0.62793384,-0.62905585,-0.42902702,-0.58484267,-0.39882007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42345732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37497173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38375615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pelitinib,-0.37872811,NA,NA,-0.48059918,NA,-0.62997201,NA,NA,-0.55584157,NA,NA,NA,NA,-0.40636525,-0.64287982,-0.52744744,-0.71448494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panobinostat,NA,NA,-0.47047849,-0.56515114,NA,-0.41722639,-0.52730138,NA,NA,NA,NA,NA,NA,NA,NA,-0.70340544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39352124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39835699,NA,NA,NA,NA,NA
Rosiglitazone,NA,-0.41548416,-0.4014083,-0.69728984,NA,-0.54590242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlotinib,NA,NA,NA,-0.3711022,NA,-0.48269789,NA,NA,-0.43793574,NA,NA,NA,NA,NA,-0.67266372,-0.57464836,-0.69462283,-0.38917845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
