compound,HELA,HT29,A375,PC3,VCAP,HA1E,MCF7,NPC,A549,HUH7,FIBRNPC,SKBR3,HEPG2,MDAMB231,BT20,HCC515,MCF10A,HS578T,HME1,YAPC,SW620,AGS,SNGM,SKB,HCC15,A673,THP1,NCIH508,SKLU1,U266,NCIH2073,NCIH596,TYKNU,SKMEL28,LNCAP,RKO,SKM1,MDST8,NEU,HCT116,PHH,HEK293T,LOVO,NOMO1,T3M10,SKMEL1,ASC,PL21,SKL,ASC.C,SKL.C,HEC108,CORL23,DV90,H1299,JHUEM2,COV644,SNU1040,HL60,CD34,HT115,JURKAT,CL34,EFO27,U937,SNUC4,WSUDLCL2,NPC.CAS9,NPC.TAK,HUVEC,NCIH1694,MNEU.E,RMGI,HUES3,SW948,SW480,NKDBA,OV7,RMUGS,NCIH1836,SNUC5,HS27A
Alvocidib,NA,-0.37537386,NA,NA,-0.41958118,NA,-0.38387801,NA,-0.35790359,NA,NA,-0.33043222,NA,-0.43007768,-0.87766066,-0.37038687,NA,-0.38748174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5378531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N-Arachidonoyl-gaba (na-gaba),NA,NA,NA,NA,NA,-0.82329742,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.31597685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.51651468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ricolinostat,NA,-0.35453128,-0.37404459,-0.81826501,NA,-0.42702623,-0.40184721,-0.37709259,NA,NA,NA,NA,-0.37558097,NA,NA,-0.35923064,NA,NA,-0.43177522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3752433,NA,NA,NA,NA,NA,NA,NA,NA,-0.37625872,NA,NA,NA,NA,NA,NA,NA,-0.33558839,-0.38158871,-0.35104711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entinostat,NA,-0.44950147,-0.46846106,-0.55783537,-0.56286461,-0.43104242,-0.58393797,-0.39029214,-0.8099527,NA,NA,NA,-0.51347868,NA,NA,-0.52936753,NA,NA,NA,-0.3904142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.49839519,NA,-0.58957882,NA,NA,NA,NA,NA,-0.43263948,NA,-0.59407153,-0.3879504,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41366097,NA,NA,NA,NA,NA,NA,NA,-0.5763466,-0.41277243,-0.49240582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-Sulforaphane,NA,NA,-0.51575307,-0.39273917,NA,NA,-0.80682299,NA,-0.32995922,NA,NA,NA,-0.41995479,NA,NA,-0.3662927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.44302805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38932938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duloxetine,NA,-0.61103866,-0.45263846,-0.45745783,NA,-0.79911182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Labetalol,NA,NA,NA,NA,NA,-0.3471312,-0.79101972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valyltryptophan,NA,NA,NA,NA,NA,-0.79018914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33591061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosutinib,-0.35155757,NA,-0.44524037,NA,NA,NA,-0.39230575,-0.54366073,NA,NA,NA,NA,NA,NA,NA,-0.42085898,NA,NA,-0.35271577,NA,NA,NA,NA,-0.3926309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.77540936,NA,-0.41274637,NA,NA,NA,NA,NA,-0.67368781,NA,NA,-0.39365033,-0.38550495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39510474,-0.38254779,-0.49846942,NA,NA,NA,-0.45266576,NA,NA,NA,NA,NA,NA,NA,NA
Neratinib,-0.42942051,-0.76678194,-0.45386985,-0.64460928,NA,-0.56162115,-0.33730211,NA,-0.47436829,NA,NA,-0.46842406,-0.49150048,-0.4792127,-0.67324859,-0.35273756,-0.4859571,-0.31219654,NA,NA,-0.39767509,-0.39922522,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38518187,NA,NA,NA,NA,NA,-0.3786077,NA,NA,NA,NA,NA,-0.46188336,NA,NA,NA,-0.41931754,NA,NA,NA,-0.47115463,NA,NA,NA,-0.49420828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.40772134,NA,NA,NA,NA
Griseofulvin,-0.76398453,NA,NA,NA,NA,NA,-0.36067641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penitrem A,-0.76234317,-0.41769203,-0.36877864,NA,NA,NA,NA,-0.49001843,-0.49858366,NA,NA,NA,-0.46251816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.31438893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
