compound,num_concordant,num_discordant,ratio,mechanism,HELA,HT29,A375,PC3,HA1E,MCF7,NPC,A549,VCAP,HUH7,FIBRNPC,SKBR3,HEPG2,MDAMB231,BT20,HCC515,MCF10A,NEU,HME1,SKB,ASC,HS578T,LNCAP,YAPC,SW620,AGS,SNGM,WSUDLCL2,HCT116,SW948,RMUGS,HCC15,OV7,H1299,SNUC5,A673,NCIH508,TYKNU,CORL23,SNU1040,U266,NCIH2073,THP1,RMGI,SKMEL28,CL34,NPC.TAK,NPC.CAS9,HUVEC,NCIH596,SKM1,LOVO,MDST8,SKLU1,PHH,HEK293T,PL21,CD34,T3M10,NOMO1,SKMEL1,SKL,ASC.C,SKL.C,HEC108,JHUEM2,U937,COV644,HL60,HT115,JURKAT,EFO27,SNUC4,NCIH1836,HUES3,SW480,NCIH1694,MNEU.E,RKO,DV90,NKDBA,HS27A
Selumetinib,2,26,0.07692308,MEK inhibitor,NA,-0.44649092,-0.53274446,0.46692648,-0.70881126,-0.80182676,NA,-0.85995538,NA,NA,NA,-0.75667881,NA,-0.57862753,-0.73209932,-0.71375025,-0.658491,NA,-0.54787287,NA,NA,NA,-0.40958408,-0.62348879,NA,-0.64555037,0.41788646,NA,-0.48209292,-0.47077944,NA,-0.61420776,-0.534284,NA,-0.50247374,NA,NA,NA,NA,-0.87205212,NA,-0.87293908,NA,NA,-0.44390546,NA,NA,NA,NA,-0.80629927,NA,NA,-0.58439298,NA,NA,NA,NA,NA,NA,NA,-0.65633099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83619354,NA,NA
Trametinib,0,10,0,MEK inhibitor,NA,NA,-0.60592725,NA,-0.45605298,-0.84047594,NA,-0.63398056,NA,NA,NA,-0.59212064,NA,-0.68452543,-0.86871001,-0.558262,-0.71262706,NA,NA,NA,NA,-0.3717935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUDAHWBOROXANE-UHFFFAOYSA-N,0,7,0,MAP kinase inhibitor|MEK inhibitor|Protein kinase inhibitor,NA,-0.49679663,-0.77617306,NA,-0.56638252,-0.84643109,-0.63184675,-0.80812242,NA,NA,NA,NA,NA,NA,NA,-0.71017074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neratinib,2,12,0.16666667,EGFR inhibitor,NA,-0.40101162,NA,-0.62425911,-0.45711905,-0.47447079,NA,-0.45973633,NA,NA,NA,-0.68951205,NA,NA,-0.78258457,-0.46838194,-0.79147771,NA,NA,NA,NA,0.4072333,NA,-0.42372096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40896399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35807073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.84296916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlotinib,2,8,0.25,EGFR inhibitor,NA,NA,-0.40427715,NA,-0.61781836,NA,NA,-0.52246088,NA,NA,NA,0.48550045,0.46972511,-0.5164443,-0.84064716,-0.47128523,-0.74845112,NA,NA,-0.40750483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quinacrine,4,9,0.44444444,Cytokine production inhibitor|NFkB pathway inhibitor|TP53 activator,NA,NA,-0.56753205,-0.6151891,0.62660514,-0.55372774,NA,NA,0.61666307,NA,NA,NA,NA,NA,NA,-0.47266,NA,NA,NA,NA,NA,NA,NA,-0.36758399,NA,NA,NA,NA,NA,NA,NA,NA,-0.50315817,NA,NA,0.46668845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83839688,-0.46892348,0.41947748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.48961589,NA,NA,NA
Tivozanib,5,17,0.29411765,VEGFR inhibitor,-0.46075607,0.40804382,-0.37535699,NA,-0.62890597,0.89132934,-0.58258036,-0.40680179,NA,NA,NA,NA,0.55047452,NA,-0.36236035,NA,0.40905911,NA,0.49294682,NA,NA,NA,NA,NA,NA,NA,-0.40009272,NA,-0.37765266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74435264,-0.49612478,-0.42315873,NA,NA,-0.45628257,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4592017,NA,NA,NA,NA,NA,NA,NA,NA,-0.44220264,-0.82616394,NA,NA,-0.37368906,NA,NA,-0.667907,NA,NA,NA,NA
Canertinib,2,9,0.22222222,EGFR inhibitor,NA,NA,NA,NA,-0.44356704,-0.48273515,NA,NA,NA,NA,NA,-0.6092491,NA,-0.36598678,-0.81989314,-0.61427527,-0.72957948,NA,-0.47394858,NA,0.52975781,0.59332593,NA,-0.41418952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamatinib,5,19,0.26315789,SYK inhibitor,NA,-0.52350461,-0.41032587,NA,-0.48575667,-0.50498992,NA,NA,-0.47127167,NA,NA,-0.63427645,-0.36690677,0.46685414,-0.54442434,-0.5859151,-0.77371539,NA,-0.46944471,NA,NA,0.55106938,-0.43912355,NA,NA,NA,NA,NA,NA,NA,-0.41887304,0.54539032,NA,NA,NA,NA,-0.36216689,NA,NA,NA,NA,NA,NA,-0.41321918,NA,NA,NA,NA,NA,NA,NA,-0.59677159,NA,-0.44890096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.81904462,NA,NA,NA,0.45780367,-0.39787436,NA,0.36563508,NA,NA,NA
Pelitinib,1,12,0.08333333,EGFR inhibitor,NA,-0.39311322,-0.47505207,-0.46913615,-0.44559903,-0.45077708,NA,-0.46329178,NA,NA,NA,-0.70818603,0.48690496,-0.50066792,-0.81858884,-0.46588568,-0.75411399,NA,NA,NA,NA,-0.51863449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
