compound,num_concordant,num_discordant,ratio,mechanism,HELA,HT29,A375,PC3,HA1E,MCF7,NPC,A549,VCAP,HUH7,FIBRNPC,SKBR3,HEPG2,MDAMB231,BT20,HCC515,MCF10A,NEU,HME1,SKB,ASC,HS578T,LNCAP,YAPC,SW620,AGS,SNGM,WSUDLCL2,HCT116,SW948,RMUGS,HCC15,OV7,H1299,SNUC5,A673,NCIH508,TYKNU,CORL23,SNU1040,U266,NCIH2073,THP1,RMGI,SKMEL28,CL34,NPC.TAK,NPC.CAS9,HUVEC,NCIH596,SKM1,LOVO,MDST8,SKLU1,PHH,HEK293T,PL21,CD34,T3M10,NOMO1,SKMEL1,SKL,ASC.C,SKL.C,HEC108,JHUEM2,U937,COV644,HL60,HT115,JURKAT,EFO27,SNUC4,NCIH1836,HUES3,SW480,NCIH1694,MNEU.E,RKO,DV90,NKDBA,HS27A
Vitinoin,2,2,1,Retinoid receptor agonist|Retinoid receptor ligand,NA,NA,NA,NA,0.42103555,-0.70159202,-0.35383435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39494394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olaparib,20,7,2.85714286,PARP inhibitor,-0.3247463,-0.42353127,0.43499714,0.40452808,0.46836603,0.34242342,0.39202915,-0.41384277,0.4405758,NA,NA,NA,0.38727385,NA,NA,0.53795785,NA,0.37481777,NA,NA,-0.68646749,-0.39705824,NA,NA,0.38567222,0.43476216,0.44432051,NA,0.35219254,NA,NA,NA,0.37362609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37977454,NA,0.38319809,NA,0.37370749,NA,NA,NA,NA,NA,NA,NA,0.52217172,0.36273349,0.38314557,-0.41155993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4938559,NA,NA,NA
Arvanil,0,2,0,TRPV agonist,NA,NA,NA,-0.38233472,-0.65474489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flavokawain B,3,1,3,Anticancer agent,NA,NA,NA,NA,-0.64622274,0.42465918,NA,NA,0.35357366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35859198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linifanib,6,4,1.5,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,NA,0.40704564,NA,-0.44912278,NA,0.39525166,NA,NA,NA,NA,NA,0.58387084,NA,0.54018139,NA,NA,0.43904758,NA,-0.6433501,NA,NA,-0.47149854,NA,-0.41309549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41252132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acitretin,2,4,0.5,Retinoid receptor agonist,NA,NA,NA,-0.4689198,NA,-0.6369325,0.49537387,0.38820736,-0.32538155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.32615361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenpaullone,6,2,3,CDK inhibitor|Glycogen synthase kinase inhibitor,NA,NA,NA,NA,-0.63521713,0.47503782,0.36263866,0.72952004,-0.37320137,0.45012549,NA,NA,0.37628469,NA,NA,NA,NA,NA,NA,0.41940044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mibefradil,0,6,0,T-type calcium channel blocker,NA,NA,-0.63458961,-0.6162363,-0.66919008,-0.57207576,NA,-0.58052752,-0.73753807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gefitinib,9,11,0.81818182,EGFR inhibitor,-0.41555562,0.35603195,0.44235346,-0.39492252,0.4982148,-0.5860966,0.48476959,-0.51118807,0.32294499,NA,NA,-0.63391678,-0.38645012,0.42944289,-0.4265777,-0.50885733,-0.45562963,NA,-0.50380541,-0.41569159,NA,0.51927685,0.5384694,0.53213479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
galantamine,5,1,5,NA,NA,NA,0.42193742,NA,NA,-0.63259174,NA,NA,NA,NA,NA,NA,0.7045737,NA,NA,0.44420273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46993565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32199974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irinotecan,4,3,1.33333333,DNA topoisomerase I inhibitor,-0.43960983,0.59644318,NA,-0.54001896,-0.62258379,NA,0.45424831,0.43238629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45310955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butein,3,1,3,EGFR inhibitor|Src inhibitor,NA,0.4505047,NA,NA,0.45665903,-0.61494161,0.38784939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arundine,3,3,1,"CHK inhibitor|Cytochrome P450 activator|Indoleamine 2,3-dioxygenase inhibitor",-0.38158099,-0.48821455,NA,NA,0.36556928,-0.61414089,NA,0.37070495,NA,NA,NA,NA,0.36539086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curcumin,5,4,1.25,Cyclooxygenase inhibitor|Histone acetyltransferase inhibitor|Lipoxygenase inhibitor|NFkB pathway inhibitor,0.57463499,-0.44292897,0.34115194,0.54979213,-0.51478711,-0.60966337,NA,0.46849456,NA,NA,NA,NA,NA,NA,NA,0.5487202,NA,NA,NA,NA,NA,NA,NA,-0.38245337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pergolide,0,2,0,Dopamine receptor agonist,NA,NA,NA,NA,NA,NA,NA,NA,-0.38311312,NA,NA,NA,NA,NA,NA,-0.60868235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isotretinoin,2,2,1,Retinoic acid receptor agonist,NA,NA,NA,-0.59158701,NA,-0.59578659,NA,NA,0.43130057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35658922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tasisulam,0,6,0,NA,-0.40290463,-0.33253909,NA,-0.59056411,-0.33133198,-0.46015408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.44477973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triclosan,5,2,2.5,Enoyl-[acyl-carrier-protein] reductase [NADH] inhibitor,NA,NA,0.36922235,0.40151123,-0.43541587,NA,0.40830238,NA,0.42067928,NA,NA,NA,0.4017973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.58734704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
