compound,num_concordant,num_discordant,ratio,mechanism,RMGI,EFO27,RMUGS,HA1E,SNGM,HEPG2,NPC,SKB,VCAP,SKLU1,COV644,HEC108,MCF7,A375,HCC515,MDAMB231,LNCAP,BT20,MCF10A,HME1,ASC,SKBR3,HT29,PC3,HS578T,SW620,SW480,CORL23,OV7,THP1,A549,HCT116,LOVO,CD34,NOMO1,PHH,NPC.TAK,HUVEC,HEK293T,RKO,PL21,ASC.C,SKL,HELA,SW948,SNU1040,TYKNU,NCIH1694,AGS,HUH7,DV90,SKMEL1,U937,T3M10,YAPC,NCIH2073,MDST8,NKDBA,NEU,HL60,SNUC4,U266,HUES3,SKL.C,HCC15,A673,WSUDLCL2,SNUC5,SKMEL28,NCIH1836,NPC.CAS9,H1299,JHUEM2,FIBRNPC,NCIH508,NCIH596,SKM1,MNEU.E,JURKAT,HT115,CL34,HS27A
Alvocidib,6,5,1.2,CDK inhibitor,NA,NA,NA,NA,NA,-0.45097628,NA,NA,NA,NA,NA,NA,-0.65971532,0.37864141,NA,NA,0.39478974,NA,-0.3371972,NA,NA,0.38121975,NA,0.42878809,0.35055392,NA,NA,NA,NA,NA,0.38410353,NA,NA,NA,NA,-0.39417264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45688375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dasatinib,3,25,0.12,Bcr-Abl kinase inhibitor|Ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|Src inhibitor|Tyrosine kinase inhibitor,NA,NA,NA,-0.51743452,NA,-0.4918151,-0.60993664,NA,NA,NA,NA,NA,0.46445856,-0.35371636,-0.5295396,-0.34077295,0.38636252,-0.38176104,-0.43313282,-0.59182655,-0.64251819,-0.65119063,-0.52470638,-0.52706619,-0.51398084,NA,NA,NA,NA,NA,-0.3874648,NA,NA,-0.5748079,NA,NA,-0.56134266,-0.43931584,NA,NA,NA,-0.35221729,-0.32827617,-0.39189436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35854712,NA,NA,NA,-0.35605949,-0.4538111,NA,NA,NA,NA,NA,NA,-0.59120014,NA,NA,NA,NA,NA,NA,NA,-0.3414073,NA,NA,NA
Tozasertib,5,12,0.41666667,Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor,NA,NA,NA,-0.48273003,NA,-0.53776509,NA,NA,NA,-0.39342923,-0.40683869,NA,0.43026229,0.4559586,-0.64800385,0.33646491,NA,NA,-0.35040383,NA,NA,NA,NA,0.38830643,-0.66769744,NA,NA,NA,NA,NA,-0.59729826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37630815,-0.32308066,-0.34284941,NA,NA,0.3691167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35265586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tadalafil,2,1,2,Phosphodiesterase inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.62687849,NA,NA,NA,NA,NA,NA,NA,0.35947028,NA,0.34387486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Motesanib,6,6,1,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,NA,NA,NA,-0.43848701,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34614352,NA,NA,NA,-0.33276879,-0.38498303,NA,NA,NA,0.36080669,NA,NA,NA,NA,NA,NA,NA,0.49640894,NA,NA,-0.6202445,NA,NA,-0.39091529,-0.34536417,NA,NA,NA,0.33461357,0.41034444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40272411,NA,NA,NA,NA
Methylprednisolone,0,2,0,Glucocorticoid receptor agonist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34330316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.61907853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niacin,0,3,0,NAD precursor with lipid lowering effects|Vitamin B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41329857,NA,NA,NA,NA,NA,NA,NA,-0.61697166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37032096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fluticasone Propionate,0,5,0,Glucocorticoid receptor agonist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42690822,NA,NA,NA,NA,NA,NA,NA,-0.41729106,-0.43379797,NA,NA,NA,NA,NA,NA,-0.61475641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39985651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Masitinib,3,8,0.375,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|Src inhibitor,NA,NA,NA,-0.72447415,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56524783,0.34941627,NA,NA,NA,NA,NA,NA,-0.5430237,0.45075068,0.38296636,-0.38354452,NA,NA,NA,NA,NA,NA,NA,NA,-0.6091684,NA,NA,NA,-0.36520392,NA,NA,NA,NA,NA,-0.46423509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.40731327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panobinostat,1,7,0.14285714,HDAC inhibitor,NA,NA,NA,0.35570816,NA,-0.48115893,NA,NA,NA,NA,NA,NA,-0.60506331,-0.44350339,-0.5386018,NA,NA,NA,NA,NA,NA,NA,NA,-0.53639003,NA,NA,NA,NA,NA,NA,-0.60980183,NA,NA,NA,NA,-0.57097654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
