compound,num_concordant,num_discordant,ratio,mechanism,HELA,HT29,A375,PC3,HA1E,MCF7,NPC,A549,VCAP,HUH7,FIBRNPC,SKBR3,HEPG2,MDAMB231,BT20,HCC515,MCF10A,NEU,HME1,SKB,ASC,HS578T,LNCAP,YAPC,SW620,AGS,SNGM,WSUDLCL2,HCT116,SW948,RMUGS,HCC15,OV7,H1299,SNUC5,A673,NCIH508,TYKNU,CORL23,SNU1040,U266,NCIH2073,THP1,RMGI,SKMEL28,CL34,NPC.TAK,NPC.CAS9,HUVEC,NCIH596,SKM1,LOVO,MDST8,SKLU1,PHH,HEK293T,PL21,CD34,T3M10,NOMO1,SKMEL1,SKL,ASC.C,SKL.C,HEC108,JHUEM2,U937,COV644,HL60,HT115,JURKAT,EFO27,SNUC4,NCIH1836,HUES3,SW480,NCIH1694,MNEU.E,RKO,DV90,NKDBA,HS27A
Guaifenesin,0,2,0,Expectorant,NA,NA,NA,NA,-0.4042884,-0.64438719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tubastatin A,4,2,2,HDAC inhibitor,NA,NA,0.36407854,-0.35886162,0.51763129,-0.62445544,NA,NA,NA,NA,NA,NA,0.3608653,NA,NA,0.40430346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selumetinib,11,4,2.75,MEK inhibitor,NA,NA,0.44642264,NA,0.42675548,0.44855404,NA,NA,-0.40771793,NA,NA,-0.48442133,0.40851095,0.389127,0.46066772,-0.61758678,0.44307098,NA,NA,NA,NA,0.49220375,0.57443547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34185443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47239954,NA,0.36831525,NA,NA,NA
Genistein,3,9,0.33333333,Tyrosine kinase inhibitor,-0.60916894,-0.35776651,0.35475748,-0.48572792,-0.47867007,-0.39545906,0.60782236,-0.46439891,-0.38468007,NA,-0.4003613,NA,0.47263417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.482297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clopidogrel,1,1,1,Purinergic receptor antagonist,NA,NA,0.35146592,NA,NA,-0.59691735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quinacrine,5,9,0.55555556,Cytokine production inhibitor|NFkB pathway inhibitor|TP53 activator,0.41793851,0.44555759,NA,-0.37935468,0.35963374,-0.5909559,NA,-0.53869881,NA,NA,NA,NA,NA,NA,NA,0.37824312,NA,NA,NA,NA,NA,NA,NA,0.57027019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37519606,NA,NA,NA,NA,NA,NA,-0.49552175,NA,NA,NA,NA,NA,-0.42259386,NA,-0.57350153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5270139,-0.40168174,NA,NA
Zafirlukast,2,2,1,Leukotriene receptor antagonist,0.41752791,-0.3880556,NA,-0.58990989,NA,0.35637139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dacomitinib,7,9,0.77777778,Epidermal growth factor receptor erbB1 inhibitor|Epidermal growth factor receptor inhibitor|Receptor protein-tyrosine kinase erbB-2 inhibitor|Receptor protein-tyrosine kinase erbB-4 inhibitor,0.47340977,-0.40772057,NA,-0.45969378,0.72192203,-0.53137507,0.38640355,NA,NA,NA,NA,NA,-0.4285098,NA,NA,0.36074175000000003,NA,NA,0.464576,NA,NA,NA,NA,-0.43631014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52773119,0.36009241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.57364048,-0.35748023,NA,NA,NA,NA,NA,NA,-0.35730889,NA,NA,NA,NA,NA,NA,-0.42051604,NA,NA,NA,NA
Tretinoin,2,4,0.5,Retinoic acid receptor agonist,NA,NA,NA,NA,NA,-0.57288127,0.5153891,0.5415676,NA,NA,-0.44904289,NA,NA,NA,NA,NA,NA,-0.38305548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35710729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ttnpb,3,1,3,Retinoid receptor agonist,NA,0.36165319,NA,NA,NA,-0.57061752,0.50242587,NA,NA,NA,0.35098058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
